epoch,train_loss,train_accuracy,train_1st degree av block_rocauc,train_1st degree av block_prauc,train_anterior myocardial infarction_rocauc,train_anterior myocardial infarction_prauc,train_complete right bundle branch block_rocauc,train_complete right bundle branch block_prauc,train_incomplete right bundle branch block_rocauc,train_incomplete right bundle branch block_prauc,train_left anterior fascicular block_rocauc,train_left anterior fascicular block_prauc,train_left atrial enlargement_rocauc,train_left atrial enlargement_prauc,train_left axis deviation_rocauc,train_left axis deviation_prauc,train_left bundle branch block_rocauc,train_left bundle branch block_prauc,train_left ventricular hypertrophy_rocauc,train_left ventricular hypertrophy_prauc,train_myocardial infarction_rocauc,train_myocardial infarction_prauc,train_nonspecific intraventricular conduction disorder_rocauc,train_nonspecific intraventricular conduction disorder_prauc,train_nonspecific st t abnormality_rocauc,train_nonspecific st t abnormality_prauc,train_normal ecg_rocauc,train_normal ecg_prauc,train_premature atrial contraction_rocauc,train_premature atrial contraction_prauc,train_qwave abnormal_rocauc,train_qwave abnormal_prauc,train_right axis deviation_rocauc,train_right axis deviation_prauc,train_s t changes_rocauc,train_s t changes_prauc,train_sinus arrhythmia_rocauc,train_sinus arrhythmia_prauc,train_sinus bradycardia_rocauc,train_sinus bradycardia_prauc,train_sinus tachycardia_rocauc,train_sinus tachycardia_prauc,train_st depression_rocauc,train_st depression_prauc,train_t wave abnormal_rocauc,train_t wave abnormal_prauc,train_mean_rocaucs,train_mean_praucs,valid_accuracy,valid_incomplete right bundle branch block_rocauc,valid_incomplete right bundle branch block_prauc,valid_left anterior fascicular block_rocauc,valid_left anterior fascicular block_prauc,valid_left axis deviation_rocauc,valid_left axis deviation_prauc,valid_left ventricular hypertrophy_rocauc,valid_left ventricular hypertrophy_prauc,valid_myocardial infarction_rocauc,valid_myocardial infarction_prauc,valid_normal ecg_rocauc,valid_normal ecg_prauc,valid_t wave abnormal_rocauc,valid_t wave abnormal_prauc,valid_mean_rocaucs,valid_mean_praucs
0,5.252851563931858,0.45393481413632547,0.32897435359064264,0.027829412234791857,0.5081839058351767,0.018864268182848466,0.8508822598166815,0.5002142037337851,0.7590347466577002,0.29679462959424135,0.8964811875059837,0.3540155030396177,0.4034794221290524,0.015813873077101095,0.6962691533635252,0.4680555205569925,0.7837480971230896,0.05958578128811846,0.617731751173367,0.15552356902682798,0.505059003138272,0.2703567681174526,0.4088663389563474,0.03195627531863999,0.5180430591589509,0.02120788403553936,0.8972588797574514,0.7003463441538861,0.49892826601215007,0.020939872900304052,0.4000840719879886,0.019489000417420077,0.30678904761975456,0.011037252837046036,0.7644728436434303,0.11756014652485142,0.5717380990036375,0.04258170197607583,0.6142571064230179,0.04538917687377175,0.4809014682868584,0.08540571128414645,0.6013944723781692,0.06709092120544483,0.7780930670704101,0.30603562600523604,0.599575936392348,0.1652769746538245,0.516941391941392,0.7732882983701955,0.3124623812610635,0.8992558376548783,0.3824015558366278,0.7015757865646259,0.4527247994069851,0.6065652227744074,0.13872033145502569,0.5224575124565008,0.2826055792445096,0.8882627813309586,0.6663647651270351,0.759272774991903,0.261796345155572,0.735811173449067,0.35672510821240266
1,4.811033094687258,0.19502328066559804,0.32998404266487497,0.027718305920294253,0.3768487190471611,0.012363601492281613,0.8552441122656167,0.46991741004463866,0.7308311469664752,0.1570192219193295,0.4516051851911478,0.06073413858777164,0.2979712971886575,0.012954010115532693,0.5561986611790656,0.30246955072608117,0.5206268075492374,0.027570362134453037,0.48221959484064775,0.11130229658847282,0.4384371708370196,0.2867425025652314,0.378819491388532,0.028092136516582933,0.5666196048587495,0.02513993644935668,0.9152180058531657,0.7789041014805561,0.4879331115171716,0.01779289721873651,0.3840478553059284,0.018467866257881445,0.34674706468311645,0.011315402111322431,0.7328617816674294,0.10242424348715348,0.5832627438985181,0.04611832523722731,0.7449998142920815,0.16698714175845783,0.7298058376487782,0.18186495118969878,0.5454845687332414,0.05565915584495258,0.7476523895993885,0.28794441949987126,0.5547008639625456,0.14497736259754015,0.20306776556776557,0.736062221498769,0.18283108508408727,0.4619184218252478,0.06655914130509206,0.5750147628495843,0.3083297254232832,0.482984264851951,0.10370781837936247,0.4456531765714392,0.28931696530133133,0.9086468790479275,0.7601475682529734,0.7295443884787634,0.28628632661771947,0.6199748735890974,0.2853112329091213
2,4.619672221979489,0.5140065643843982,0.43166578104533465,0.0382038661127347,0.6503352829578338,0.024216909826644865,0.9239299377450391,0.73548454199898,0.8884569301514987,0.5252066452346156,0.9076222340700468,0.4607076077101259,0.5006732034235342,0.023120830152949905,0.8157510116703506,0.6310386845773008,0.9511985340862346,0.3669668460140778,0.6955249377049885,0.2950670137625544,0.8382834371659069,0.7044561301135941,0.5224135649849435,0.048139832058446796,0.7323834741195416,0.05958972297373731,0.8688660719925326,0.618805696969106,0.5964562222307876,0.03619168213075403,0.5905733425089847,0.03853675384501194,0.38207181635582765,0.012991986295377242,0.8036264059985694,0.1408798758244303,0.6288100480888714,0.06153880891563466,0.8312858003598607,0.31049882531634876,0.834547266268916,0.26989467647797366,0.7251932245415678,0.11354960609178505,0.8677335926508316,0.4587012552600616,0.726700096369182,0.2715358089846475,0.5544871794871795,0.9033888131523795,0.5509333001296112,0.9042813495959603,0.4528148475278981,0.8169191113945578,0.6260131492047675,0.6950170643158422,0.2844454172785103,0.8314240193161808,0.6974691010964142,0.8642218871437823,0.6142395954832376,0.8422053518578495,0.4002042689667661,0.8367796566823645,0.5180170970981721
3,4.478256830176582,0.548584077551332,0.5240627084507656,0.051792219642004964,0.7126172616081342,0.03468762502113534,0.9518091864265031,0.7622650746970914,0.9267936890560107,0.39891416465761215,0.9482672470768689,0.6159331168422093,0.4975528626102286,0.023479719819897698,0.8035032700840912,0.6416458823678356,0.981293716798133,0.8188192980994624,0.6858271237315637,0.3295183149605029,0.8776471390105878,0.7231818039690469,0.560324191720492,0.051219595773461774,0.7436570925657627,0.05590201487996277,0.8755843831367073,0.6236042079698738,0.6485391948896483,0.037794776703617965,0.7031692294561955,0.0832004078247404,0.5473581034638891,0.019175150384399584,0.8099538189612018,0.11818419689562162,0.619780045985961,0.06647564705482223,0.8805468891860215,0.1865296383607779,0.9035567804822399,0.4981112475853209,0.7991111345519991,0.14879764591262767,0.8537464826615907,0.3930482150404932,0.7661227978142997,0.3037399983846599,0.5350274725274725,0.9266618511811504,0.4247571481360307,0.9425078944613207,0.6467171407143654,0.8037660029289494,0.6295454168469127,0.6813439585326297,0.3290482776012566,0.8642608576181336,0.7078978081999561,0.8689407585816061,0.6057396355799741,0.8407506784753015,0.35198418471242504,0.8468902859684417,0.5279556588272744
4,4.373262446815299,0.45362949393176094,0.49914423137489894,0.05544694514711924,0.4941128771386857,0.02017013008614566,0.9295314173202002,0.7740652404672571,0.8392907291730797,0.5113633496285956,0.7828753443095645,0.25782589042404985,0.468756460294622,0.020470305595746953,0.5639966397641865,0.34103467045146485,0.9829139195839911,0.8552800153442125,0.6732742461020098,0.3281892332451555,0.6166985758836451,0.3823204453185562,0.4524110858018921,0.034083671402336396,0.6631473536458757,0.04550248128268934,0.909641033918884,0.7454542890253821,0.5581003294577569,0.03296884537426763,0.4118312193528419,0.019145019944121412,0.3661233478868242,0.015851068496905422,0.8036700236609042,0.15355181301879425,0.6310309649231047,0.08073811259749188,0.819489014344905,0.3330112024389531,0.8806672377042886,0.2741163611672172,0.6370941633491298,0.09529747684854584,0.8163143040051409,0.3999605550656623,0.6727324781362015,0.2625385055623032,0.41895604395604397,0.8546320223004454,0.5433625999638032,0.7562447330599466,0.23793856731132157,0.5515093537414966,0.33281714227347764,0.6751123046847891,0.3136439629830554,0.6081743182749875,0.3715409004131723,0.8981065819300518,0.7073451560959723,0.7823197154312646,0.33935415465659724,0.7322998613461403,0.40657178338534283
5,4.298478065397109,0.5051522784520266,0.5042303896787699,0.09820061717828792,0.5351835823548783,0.02087013871440855,0.9237086640557746,0.7109648031109402,0.8337592407545097,0.35938479315475946,0.7886447934433766,0.26878030986269064,0.4724995068703475,0.022222295734158376,0.5654496496490804,0.3456025364421851,0.9602821320961078,0.745670937905466,0.6924539458681125,0.33822443911635636,0.7389585810208369,0.5560308659397475,0.42570784369200454,0.03394569793535266,0.6752988470427369,0.052856237884651255,0.9240663920217284,0.7929523749911713,0.5916660841433674,0.06126007039006869,0.4929397188150068,0.025358844758082796,0.3472172943570954,0.013631327988013454,0.7869451665590764,0.156211527067949,0.6205854085816128,0.08855465352943029,0.8173783406791133,0.2471008579959631,0.8230705891087957,0.3943992383546173,0.6470640287854104,0.09002924005933577,0.8456343623272367,0.4486248773522542,0.6823974800865898,0.2668580311575405,0.48374542124542125,0.839587360367876,0.3917974936928,0.7817039589817479,0.26462369852379247,0.5612156320861679,0.33677545443957235,0.6959592521793301,0.32934197586824937,0.7209005299743304,0.5309975476003608,0.9155645340835492,0.7534846036892405,0.8096946581936362,0.3800855124575181,0.7606608465523766,0.4267294694673619
6,4.2007816110473675,0.46088084879016866,0.4598641526865014,0.09266052967312646,0.571692049670254,0.022850093721560414,0.8894674465609618,0.5941941948416313,0.8356661157337906,0.3838830538680955,0.8736913753183627,0.4801230492545158,0.419173384385827,0.01777196398360686,0.7753768697434922,0.5743625801891176,0.9116390729381174,0.42057936866227424,0.6940590796695588,0.3004723996631348,0.7616491495161943,0.5874578876409555,0.4468880793364267,0.03990879423667135,0.686526270549049,0.041634061527978126,0.9203504319692323,0.7712385729007467,0.6226433121643278,0.05757084998462275,0.5444178701534141,0.03029169724074973,0.4276510636023676,0.013494626998945852,0.8055405503341113,0.17501348733803312,0.6614783287248889,0.13578369537099816,0.8181477904884531,0.3051388200305311,0.6864489617599174,0.22577869722565078,0.6205260786389699,0.07456526180585873,0.8691699811597237,0.4794419607656547,0.6955485188683611,0.2647370748602027,0.44207875457875456,0.8342553970740839,0.3942757668462857,0.8680916599491444,0.44372349783295384,0.7626517620937263,0.549534729470178,0.6918051864193918,0.2796843627789892,0.7443607492934652,0.5563607493319133,0.9097947194786269,0.7366475930939593,0.8413018349546006,0.4186986815708202,0.8074659013232913,0.48270362584644283
7,4.152839563300742,0.4426379665674376,0.5652615436299061,0.10480880101631887,0.44552817629967684,0.016049332590356978,0.8712393568179574,0.6451130334760695,0.8018704092215745,0.4506193278260118,0.8116699255796382,0.2167100638881679,0.5131141389304684,0.022408777207508203,0.6723032873260121,0.38075273660268044,0.9489001655077484,0.31960773001202597,0.7496469750354309,0.368822869669838,0.5157913494027522,0.293524930264914,0.3904295024067665,0.029233816063594965,0.6063482797346562,0.029736500917842173,0.9380410423407048,0.8395294965897927,0.5392652824170949,0.05045261444726229,0.37796538922044076,0.017835602972191313,0.4557956271238274,0.015191865461259484,0.7552550895101534,0.1574157398699911,0.6433385529542417,0.12015448570303722,0.7560249839053138,0.25661819226574906,0.7746931549095692,0.28552423427335,0.5997527637458018,0.06656036045776634,0.7599067235931862,0.3426043727311206,0.6587337145278601,0.22860340383212946,0.4823717948717949,0.7954290190652532,0.46822959926237695,0.8120664269591186,0.22382285850063027,0.6512645856953894,0.3640897633549158,0.7514050924782095,0.3292478364625162,0.5030737507897223,0.283491090792807,0.9221859314281088,0.7968411569363726,0.7128885178525559,0.2710461173009113,0.7354733320383369,0.39096691751579005
8,4.09017041260737,0.5584306541485383,0.5424128362871092,0.14218903180051895,0.5888558122998284,0.024250028405136157,0.9321066804545859,0.7629086547212371,0.8712364496559433,0.5520774024294978,0.7528955143462104,0.30341725419995713,0.4334842142238139,0.01994586223013982,0.5592932240672916,0.3994195992691058,0.9150728650067711,0.4908106153444511,0.6996162901902819,0.34727662353656036,0.8432571337082365,0.6991036733440501,0.48283751813223746,0.04039718810267358,0.6809079393019021,0.04132437590648975,0.9369071143332375,0.8212252521349869,0.6568399885803657,0.10058623869035993,0.4743830592491695,0.023751970291600796,0.3975645294659942,0.017493821734720316,0.8179741005031465,0.17622551838155537,0.7203544360115608,0.20371679757222536,0.867445195529804,0.4133228339260323,0.8629234067110304,0.4514276574661056,0.6458467304519273,0.08681755757062833,0.8698582962937718,0.4699158993296816,0.7069124243092827,0.29943653892671424,0.5753205128205128,0.8558630231753717,0.49168083798136486,0.7493485650860172,0.28801950088776596,0.5446009306500378,0.38356527743026886,0.6858244865575831,0.27930413542999133,0.8158781613622322,0.6491220985847025,0.9219595004857513,0.7633763768356298,0.8299788360379277,0.3950972747925062,0.7719219290507029,0.4643093574203185
9,4.042204592211739,0.4528661934203496,0.5648632562977367,0.14381688932602518,0.5081299924521263,0.023764788337953358,0.9356428565188877,0.6974692410228243,0.8647978755144277,0.4424973384593495,0.8744966696404212,0.4945706603335643,0.466277780377527,0.018700395651459686,0.5628832336795978,0.34603744965025796,0.939354162631216,0.6127498147670124,0.7063163917965201,0.3192830706327604,0.708823090050487,0.519358231398023,0.4559659195826238,0.034197766768405476,0.5527272465968016,0.019234043051183144,0.9418328128180115,0.8541758694491512,0.5985789480217182,0.07496917809324742,0.4053079148822625,0.020705735081195532,0.39252839563721875,0.017735773365463448,0.7603665762550814,0.12503254834610006,0.6946412278216801,0.22902832225799208,0.7554963353637398,0.17482069718810533,0.7560837653557976,0.3647978759001089,0.5856378981858055,0.05502791080147636,0.7905091803749555,0.357671402678598,0.6736937059024838,0.27025659102546623,0.4709249084249084,0.8535058091033023,0.44505091790881174,0.8510060907974705,0.4568669635161329,0.5426847127739984,0.33725107310487346,0.6891651726946516,0.26165498044730606,0.6943254539004265,0.4905194282404662,0.9284764107027201,0.8150286170386098,0.7537969488155999,0.29991526624207127,0.7589943712554528,0.44375532092832454
