epoch,train_loss,train_accuracy,train_1st degree av block_rocauc,train_1st degree av block_prauc,train_abnormal QRS_rocauc,train_abnormal QRS_prauc,train_anterior myocardial infarction_rocauc,train_anterior myocardial infarction_prauc,train_atrial fibrillation_rocauc,train_atrial fibrillation_prauc,train_complete right bundle branch block_rocauc,train_complete right bundle branch block_prauc,train_incomplete right bundle branch block_rocauc,train_incomplete right bundle branch block_prauc,train_left anterior fascicular block_rocauc,train_left anterior fascicular block_prauc,train_left atrial enlargement_rocauc,train_left atrial enlargement_prauc,train_left axis deviation_rocauc,train_left axis deviation_prauc,train_left bundle branch block_rocauc,train_left bundle branch block_prauc,train_left ventricular hypertrophy_rocauc,train_left ventricular hypertrophy_prauc,train_myocardial infarction_rocauc,train_myocardial infarction_prauc,train_myocardial ischemia_rocauc,train_myocardial ischemia_prauc,train_nonspecific intraventricular conduction disorder_rocauc,train_nonspecific intraventricular conduction disorder_prauc,train_nonspecific st t abnormality_rocauc,train_nonspecific st t abnormality_prauc,train_premature atrial contraction_rocauc,train_premature atrial contraction_prauc,train_qwave abnormal_rocauc,train_qwave abnormal_prauc,train_right axis deviation_rocauc,train_right axis deviation_prauc,train_s t changes_rocauc,train_s t changes_prauc,train_sinus arrhythmia_rocauc,train_sinus arrhythmia_prauc,train_sinus bradycardia_rocauc,train_sinus bradycardia_prauc,train_sinus rhythm_rocauc,train_sinus rhythm_prauc,train_sinus tachycardia_rocauc,train_sinus tachycardia_prauc,train_st depression_rocauc,train_st depression_prauc,train_t wave abnormal_rocauc,train_t wave abnormal_prauc,train_ventricular ectopics_rocauc,train_ventricular ectopics_prauc,train_mean_rocaucs,train_mean_praucs,valid_accuracy,valid_abnormal QRS_rocauc,valid_abnormal QRS_prauc,valid_atrial fibrillation_rocauc,valid_atrial fibrillation_prauc,valid_incomplete right bundle branch block_rocauc,valid_incomplete right bundle branch block_prauc,valid_left anterior fascicular block_rocauc,valid_left anterior fascicular block_prauc,valid_left axis deviation_rocauc,valid_left axis deviation_prauc,valid_left ventricular hypertrophy_rocauc,valid_left ventricular hypertrophy_prauc,valid_myocardial infarction_rocauc,valid_myocardial infarction_prauc,valid_myocardial ischemia_rocauc,valid_myocardial ischemia_prauc,valid_sinus rhythm_rocauc,valid_sinus rhythm_prauc,valid_st depression_rocauc,valid_st depression_prauc,valid_t wave abnormal_rocauc,valid_t wave abnormal_prauc,valid_ventricular ectopics_rocauc,valid_ventricular ectopics_prauc,valid_mean_rocaucs,valid_mean_praucs
0,5.415405425267605,0.2289901534234028,0.35138894678483,0.02626259116307321,0.3287409689291636,0.11311169797751183,0.5803802678588597,0.019365442182200075,0.3296065593957803,0.04869885744153188,0.6034701212634805,0.08887179832834437,0.5860580935527937,0.06255854672970806,0.8998291930030385,0.30673893546637176,0.6029691528135834,0.0237962922360875,0.2876181710479364,0.1665278763025811,0.8299429883975914,0.07231638711414644,0.443079429150226,0.14323550959510084,0.5146801179160819,0.2509432248093356,0.5709407082397013,0.11169329191473071,0.3762807176060775,0.027114234716511663,0.36819226560146967,0.012610831235136209,0.47797898722184107,0.019448354069422927,0.3826151485698682,0.018767510967616648,0.42321079118663085,0.012919637060534592,0.6509402863530998,0.05732485713031436,0.549782568774036,0.03950432248638673,0.5470352101341563,0.031059471087054518,0.7686767915254891,0.9441536632502134,0.32544290529119246,0.026872994703954618,0.48537159306390076,0.04626576626621849,0.5356642449512854,0.11974539733974884,0.5761225409273795,0.05506805380898547,0.5152314911369036,0.10942213636087776,0.304029304029304,0.33341508995627084,0.10713979330731588,0.3147740182350077,0.04581492430147553,0.5948043624229353,0.07254194803288819,0.8824019722028108,0.2516972191412576,0.29768788669618507,0.16587198016904053,0.420937158345481,0.10610137924576318,0.526934917800628,0.25393001718240926,0.590478348263562,0.11963800331596644,0.7749298153859103,0.948042252545376,0.4837516116730528,0.051827852519389886,0.5469227301764642,0.12462721142083724,0.5664942541062891,0.05571582913778041,0.5277943471053831,0.19191236752662502
1,5.029404376465058,0.4398137546752156,0.30152333947493476,0.024398440256963718,0.4221259443721221,0.14030435187882215,0.6224214828302997,0.02492802845176203,0.622366577670856,0.09208924370989617,0.7685083981317653,0.2145259385929509,0.6796318012180287,0.08235472919628492,0.8973382781583982,0.426228156451422,0.6423983719187737,0.028377052575989752,0.5667425541903202,0.3225432575172196,0.8914859789582978,0.11432343695664451,0.8274136777130111,0.3722991414883797,0.7420094391585007,0.44257349870986507,0.855779935667261,0.3361971491927952,0.42565095254513063,0.029517654921393993,0.39599218955490956,0.015465761748724322,0.49599377903771946,0.02154319171045977,0.48725135718827634,0.02583451546282916,0.41591292830337273,0.013723425468989836,0.5983824595276548,0.05167449183262443,0.5638222662102729,0.04634156695325449,0.5402673948238381,0.03678644944222652,0.8066323847960648,0.9536441585225441,0.3448754147732411,0.027859016148275174,0.4551071956049332,0.04153038489255895,0.6165488907912562,0.1645370275472721,0.8519610005386222,0.18325250188130596,0.6091593843522254,0.1628020219812098,0.48603479853479853,0.41863968766640003,0.130741274194191,0.6217954533159666,0.08923942329539516,0.6379870592304719,0.07630842539887264,0.8683818619458032,0.3682867659858898,0.5812680702577486,0.3300866356822016,0.8251665565779884,0.30904416707196947,0.741145025776514,0.4409434717338338,0.854184821127726,0.34302345604484274,0.8147111159203352,0.9581135059375587,0.4864925908438811,0.04935465026258419,0.628493679532526,0.16611979315394015,0.841144500723663,0.17976328068302783,0.6932842019099187,0.2867520707870256
2,4.722796055790341,0.3806579650408366,0.3658222381551852,0.026395182628113387,0.27454361953460854,0.10339690825356442,0.5209373778259808,0.018245343481685824,0.7098968279180334,0.13704464445016512,0.8792955590177343,0.4506905192158447,0.7819444048036155,0.30458284743417086,0.8836052790052893,0.30164882786529545,0.6118459736103528,0.02512300580071918,0.5505984769726332,0.31667757426576904,0.9217860390748718,0.180594444234448,0.755569155615643,0.3626977519125282,0.6504142782563858,0.39398889696323014,0.7996034856120698,0.27249671848222884,0.4013231350343331,0.02911325100101411,0.3865158409890959,0.015493628903964704,0.5650777714030726,0.028573805990616652,0.37802574695479985,0.018764334883318134,0.41326949925123346,0.013314741467255253,0.6066945487851864,0.06722511415244851,0.5636714576629248,0.04393579817338501,0.5700856080012218,0.04679331794255917,0.8049039451219389,0.9541937557611615,0.4854747427601699,0.039745005991962123,0.46300941934426093,0.042101331592856464,0.6283150496417649,0.2270371065697162,0.8809785946658689,0.26678404327039695,0.6097387721160875,0.18025607310340064,0.42536630036630035,0.28255911250547383,0.09811843899452874,0.7190169241844806,0.14598271953780734,0.7894856247583779,0.390712823069138,0.8800225172761861,0.2856707568715049,0.555218602468991,0.32067704019618254,0.760714855138484,0.3145038905089549,0.6488297014850183,0.38346290071867833,0.8131827529715222,0.30140831642695926,0.809553223081871,0.9567934880507126,0.47243017596745784,0.04690510765929061,0.6333072457916555,0.2158154672952579,0.8651392629771605,0.22466772989246847,0.6857883332172232,0.3070598899351236
3,4.527619713108536,0.4185940004579803,0.3581551852067997,0.027839016737100326,0.3203492021296235,0.11161135322476674,0.5852666945345085,0.022969740852022434,0.7289619346594661,0.16799129371200033,0.8658326489491683,0.5515068353674321,0.7765843427802075,0.2699013053851723,0.9406777823960571,0.6413385053284676,0.6121596522865524,0.025679514362824712,0.7537574057503341,0.5542121406723841,0.9001634503848992,0.1452066434489611,0.7591844199343407,0.3231746320560071,0.786821143788441,0.5565980486010372,0.7557621203459531,0.20176132215194895,0.43663608988588476,0.031450588871574266,0.4839380602130666,0.020590295564301815,0.6033474076823946,0.043590537201152246,0.5063128588696049,0.02810257272906265,0.4627223925922832,0.014521680152375418,0.6828651282714456,0.0960975269417797,0.5686174441803737,0.0453310696622687,0.6907687266730855,0.15443955363290504,0.8511895254200815,0.9641352959048735,0.5456399267534886,0.06678724425520235,0.4318330562674454,0.039265450091734405,0.738278751074307,0.3437857452327926,0.8823226708484468,0.33622504616234666,0.6549287700722407,0.22246588301163436,0.529532967032967,0.3246279319823274,0.105791818966202,0.7350480843254671,0.16748785065514973,0.7616049809754413,0.3067861364432933,0.9398439319822968,0.5661068136429679,0.7463956250183268,0.5358357557152522,0.7500381514212828,0.2664026983342461,0.7769850154771034,0.5437008654651966,0.7628423205177363,0.2104884115215386,0.858993925348819,0.968226154268076,0.4568258893711297,0.04584531876304214,0.7382294947774215,0.31673782542318146,0.8778761387349125,0.3215576508970835,0.727442624161022,0.3629139416746025
4,4.323917062434884,0.49133653919548126,0.40641725095250403,0.03165082714938579,0.33237789566547693,0.1121877917715145,0.5539743008174487,0.021772581894032195,0.7933618108029968,0.22744926537435695,0.8929067103867375,0.5534786009402424,0.8341690098497345,0.3600703361832768,0.8691999972410753,0.27835877158567296,0.46293988037031863,0.016830384574127645,0.48148915550072735,0.24292902434912117,0.9434876039985183,0.2893442322514845,0.6214320689296878,0.21358449661525686,0.7101433489623012,0.49313192460568345,0.7144884335425947,0.17490576847524614,0.39469370285890915,0.02862880459914962,0.5399537451568017,0.025039495424577278,0.6507830262850343,0.04525695099263246,0.44506215950948363,0.022615131997231946,0.593261884803322,0.023767037384469582,0.7246289930592105,0.11599202156250257,0.5884852914065998,0.04601672678170371,0.7032802061803898,0.07687173261735891,0.8298063879589835,0.9592466171019216,0.6837351381141027,0.22699969321939578,0.3902944737786367,0.034194867080691645,0.7762840465822158,0.3763730565295424,0.8941311546327532,0.4018531992112387,0.6473379875902524,0.20763651308737757,0.5469322344322345,0.332627471458852,0.10467107420164626,0.7928990832560017,0.22017016271127787,0.8361415752741774,0.4282563540198792,0.8705574967000543,0.25215624765510536,0.49132627628067904,0.24880787284934403,0.5949304163629737,0.15938293894056185,0.6921959574813463,0.46239390786896106,0.7324613382597278,0.18948377252709175,0.8376390917780304,0.9617615690599601,0.4044879419616104,0.03832772353188124,0.7670196320273891,0.32670241841329467,0.8850473981330824,0.35943305457298697,0.6864444732478271,0.31262892469599923
5,4.1615255241329985,0.5946110983894359,0.3610401260556746,0.028386906642951203,0.2972848473475919,0.10723021606482437,0.522663391839185,0.019737353345267272,0.7774858296777233,0.29246170446436864,0.9207217267146675,0.7049690413320218,0.8567448856769428,0.4414366324841542,0.8961368732088544,0.46177629288177163,0.38594255997358495,0.015569731830866417,0.5015906456118606,0.27760701683942013,0.9251406700789807,0.2321923936674277,0.625617101976574,0.3038680144645483,0.6288783689926823,0.40036983625543776,0.7381357534069743,0.2236394871057938,0.3732409292940959,0.028821531890338238,0.530220671308505,0.02132858347416683,0.6296502536757674,0.04660199662864761,0.3857506926768164,0.01991539743887561,0.7092755684360625,0.03963775209152735,0.734857977964973,0.11995991095947708,0.5828003874934428,0.04739195967173719,0.7089164333031878,0.09199794946203607,0.8353157741943997,0.9617642841114653,0.6887155276170545,0.23157846978429558,0.43646552175963943,0.04315680344013276,0.7910258803099799,0.3976539268789277,0.9018778930873821,0.5209254578143128,0.6440575496801001,0.23384533273172284,0.6078296703296703,0.3019010984718433,0.1011547274486074,0.776537512432014,0.27957649650211325,0.8475430850306225,0.48465712361079094,0.9018215699976705,0.40003111309100736,0.5074761751165586,0.2820925703465378,0.6109810609511661,0.23593864721293592,0.6245738898746718,0.383828901727731,0.7541967304541811,0.24452748937741864,0.8353468202011458,0.961535106717682,0.4475445820545881,0.04770122408140622,0.7776091459418203,0.3385176109548175,0.8928999322810856,0.41742415131261573,0.6898693002339473,0.3480820968653053
6,4.033037766164773,0.516754446225479,0.3336601999216321,0.02644819597469409,0.3784111309617664,0.13501926425428995,0.5765727112110619,0.024823620147782277,0.6663501693656906,0.19295969749652422,0.8685074084585858,0.657964972741863,0.8201215371412149,0.4514850485484449,0.8823809240722583,0.42536675836942056,0.3920097659474493,0.01575661811035297,0.6583138426114961,0.45945874070343,0.8758718931132723,0.21193399647326802,0.56176026051644,0.24546140192307847,0.6944158067981883,0.5099874688614797,0.659574599105875,0.1551674846452347,0.37244625002759896,0.028924244333450734,0.565189482678965,0.024992312976679948,0.6021932423125431,0.041838229791188244,0.46280454388353487,0.025090258962792298,0.633349417394054,0.03724510527106933,0.7585706437782008,0.12196009806057524,0.5882210428015121,0.04954077838400843,0.7668183272006385,0.14211692563999895,0.8536241405001797,0.9661927251100415,0.6652534888901163,0.2874883543684339,0.41585081177841354,0.041440997386461655,0.8224279379813255,0.4382240819675246,0.7773568028744151,0.32219990489024897,0.6404637069740934,0.23227258789970526,0.5748626373626373,0.3785655104923284,0.12229436856431115,0.6499877240363368,0.18714065422434523,0.8421144729078073,0.5126974773342553,0.897058001397624,0.37667317447983917,0.6543793801131865,0.4567015931995505,0.536164700255102,0.1766584709882727,0.6783512266933854,0.4702481131547255,0.6669339003334611,0.16789700055935775,0.8552626437507138,0.9683824247782306,0.44133850582018264,0.04617706290999782,0.799429484821752,0.3710336041675588,0.7404567911448582,0.2619768449110939,0.6783368618138949,0.34315673243929484
7,3.940126262760446,0.7013968399358828,0.5304129323784671,0.052402247572115986,0.43850245266357135,0.1483740110736753,0.6872373592395069,0.03462598950330131,0.8897582835706357,0.4148013900406599,0.9405792674539769,0.6997443623794071,0.9147286402091199,0.5117588324729526,0.9351612468303159,0.5462971274002464,0.6425225099373914,0.031146196447644936,0.7929157379816333,0.548600671042406,0.9461269424097642,0.3880793554252259,0.7428481201441426,0.3783276437463607,0.8052072262899403,0.6075081163848741,0.8064664018188094,0.2652805293020178,0.4714400355983702,0.03627065412743748,0.7134761863876659,0.04163497371932019,0.7073244737430894,0.04970541952975877,0.5382800610281214,0.030052388515713888,0.7318558370970534,0.0354263009019526,0.7929971573204428,0.137924389738457,0.5852363681529361,0.04781429745720576,0.7879015151920551,0.11806639027305615,0.8802488920648905,0.9722515325928107,0.7774257140897568,0.370065935064935,0.553611711756508,0.06015595052199154,0.8555238966072121,0.49437491433720027,0.9010304072442212,0.5209929668516114,0.7449545914311385,0.29006471486239765,0.7174908424908425,0.4341924289118282,0.13351962875372275,0.8829838498254315,0.3980209277953811,0.8926953832380409,0.536170730365101,0.927759919248389,0.48421991286547306,0.7794504882268422,0.5403957540844572,0.7097371537900875,0.274824438378693,0.7822556268926565,0.5558584974290981,0.8075998931065331,0.28441255581398933,0.8780540451586143,0.9725591540121117,0.5743106125265585,0.06882175596060942,0.8348874317967493,0.4132036731090486,0.8782857207059519,0.39888740802655454,0.7818510461189736,0.42174120304951995
8,3.822312540939205,0.6380428974887413,0.4533800762003217,0.07901383379878324,0.3887455254581397,0.1425710395389151,0.6526561922510783,0.03613007741156472,0.788981280540257,0.3467868282433324,0.9298824939227358,0.6130491611808307,0.8991828056783601,0.5681867424218983,0.8966596730115913,0.5002021219001209,0.5165611546423174,0.027021861702898248,0.667875767120383,0.43149558891841233,0.9441150200403603,0.3238146302959538,0.6049522096168203,0.2534037521593459,0.7176862807103713,0.5393552769119605,0.6762989377985137,0.19855341072754662,0.43502218953754385,0.03580795389556571,0.6291765983746751,0.030920722419116073,0.6607378783731253,0.05659272511219069,0.5573069527375771,0.03708622289231334,0.6879362832544793,0.06502218553914821,0.7920153184573009,0.16754252408534182,0.5901179385121078,0.06068822161524353,0.7873527010956524,0.13331747450206832,0.8689930021945541,0.9703047234637895,0.7490387457536384,0.3939892462325666,0.5037352154999214,0.055081800903798925,0.8521541431759792,0.49140836776575963,0.8381029894832887,0.47479457201168734,0.6957179759015806,0.2704669640634674,0.6668956043956044,0.3894433216900389,0.12290446205671841,0.7685352486610877,0.3329430259010289,0.8616446578631455,0.5001904584118728,0.9009899836943862,0.46317513822642425,0.6655213617570301,0.4361449990259857,0.5684203033892128,0.1746503457451328,0.6974243077284762,0.4896573467543571,0.6651353015673837,0.1971705970355654,0.8628972869964592,0.9692627483319968,0.5184292543628671,0.06304237907799219,0.8175911151179609,0.36546518872388,0.7894176684061133,0.3559932028372925,0.7087874842695134,0.3725499910106873
9,3.7513467590732983,0.6075108770322876,0.5112327111140753,0.12623906357120596,0.39868308059583235,0.15671165289367603,0.6543268385120282,0.03387475496671925,0.9059407826872213,0.45380458845048993,0.9115677530258837,0.7028044553185541,0.8486757899077623,0.4572703683506041,0.9275198466037883,0.6168199796993883,0.5523206824733626,0.03017960683557984,0.7727818947201783,0.6028840326599382,0.9466952107730342,0.5090537922088242,0.666959484899074,0.3581574223328996,0.7723862715048674,0.6440853917971001,0.7894742405601849,0.2529208532469275,0.4586961247709288,0.03790594274685463,0.6207256177420168,0.030361484249677252,0.7408221432258758,0.0845601128196104,0.5336681032589704,0.03378479992810798,0.6002537900709389,0.030241707575994863,0.8191068198579228,0.14891447950676845,0.6191828828117047,0.06911777984279927,0.8237149023454624,0.17160670480512155,0.864581400494942,0.9693097600174985,0.8196030771060951,0.5069718729240281,0.5466745373985193,0.058520694040936655,0.8734080065462252,0.5186660296342211,0.9428031473862653,0.6781992968333096,0.7277617361689676,0.3185756395098783,0.6483516483516484,0.4008217465763986,0.13153211226713854,0.8885900119430562,0.4389823467880304,0.8271227134921766,0.43118961546159107,0.9236870098610142,0.5668306782294936,0.7608538838225375,0.5655829159618495,0.6309698432944606,0.2370518477487518,0.7369824406244577,0.5600864442031511,0.7880209604145608,0.2565984112572102,0.8607047692474166,0.9691351224781958,0.5739349338079067,0.07052591713475129,0.8401891024134203,0.38314648144052843,0.905345708632987,0.5100584695507676,0.7614352603441995,0.42672669687678827
