epoch,train_loss,train_accuracy,train_1st degree av block_rocauc,train_1st degree av block_prauc,train_abnormal QRS_rocauc,train_abnormal QRS_prauc,train_anterior myocardial infarction_rocauc,train_anterior myocardial infarction_prauc,train_atrial fibrillation_rocauc,train_atrial fibrillation_prauc,train_complete right bundle branch block_rocauc,train_complete right bundle branch block_prauc,train_incomplete right bundle branch block_rocauc,train_incomplete right bundle branch block_prauc,train_left anterior fascicular block_rocauc,train_left anterior fascicular block_prauc,train_left atrial enlargement_rocauc,train_left atrial enlargement_prauc,train_left axis deviation_rocauc,train_left axis deviation_prauc,train_left bundle branch block_rocauc,train_left bundle branch block_prauc,train_left ventricular hypertrophy_rocauc,train_left ventricular hypertrophy_prauc,train_myocardial infarction_rocauc,train_myocardial infarction_prauc,train_myocardial ischemia_rocauc,train_myocardial ischemia_prauc,train_nonspecific intraventricular conduction disorder_rocauc,train_nonspecific intraventricular conduction disorder_prauc,train_nonspecific st t abnormality_rocauc,train_nonspecific st t abnormality_prauc,train_premature atrial contraction_rocauc,train_premature atrial contraction_prauc,train_qwave abnormal_rocauc,train_qwave abnormal_prauc,train_right axis deviation_rocauc,train_right axis deviation_prauc,train_s t changes_rocauc,train_s t changes_prauc,train_sinus arrhythmia_rocauc,train_sinus arrhythmia_prauc,train_sinus bradycardia_rocauc,train_sinus bradycardia_prauc,train_sinus rhythm_rocauc,train_sinus rhythm_prauc,train_sinus tachycardia_rocauc,train_sinus tachycardia_prauc,train_st depression_rocauc,train_st depression_prauc,train_t wave abnormal_rocauc,train_t wave abnormal_prauc,train_ventricular ectopics_rocauc,train_ventricular ectopics_prauc,train_mean_rocaucs,train_mean_praucs,valid_accuracy,valid_abnormal QRS_rocauc,valid_abnormal QRS_prauc,valid_atrial fibrillation_rocauc,valid_atrial fibrillation_prauc,valid_incomplete right bundle branch block_rocauc,valid_incomplete right bundle branch block_prauc,valid_left anterior fascicular block_rocauc,valid_left anterior fascicular block_prauc,valid_left axis deviation_rocauc,valid_left axis deviation_prauc,valid_left ventricular hypertrophy_rocauc,valid_left ventricular hypertrophy_prauc,valid_myocardial infarction_rocauc,valid_myocardial infarction_prauc,valid_myocardial ischemia_rocauc,valid_myocardial ischemia_prauc,valid_sinus rhythm_rocauc,valid_sinus rhythm_prauc,valid_st depression_rocauc,valid_st depression_prauc,valid_t wave abnormal_rocauc,valid_t wave abnormal_prauc,valid_ventricular ectopics_rocauc,valid_ventricular ectopics_prauc,valid_mean_rocaucs,valid_mean_praucs
0,5.662940656508247,0.03618044424089764,0.5199553135968387,0.04741819245110152,0.47755479454137384,0.1579333315744261,0.563158760531445,0.018716294958277264,0.6346353729793013,0.11735114984430425,0.49424286982409316,0.07273498980982024,0.48068639352877957,0.046325059600483914,0.686261860707477,0.1311524768862857,0.6995180523983084,0.050225457899674406,0.6089555000194666,0.29406540665854397,0.8711987758571118,0.10555768351398044,0.7813877928452285,0.29493628688116813,0.587077062912126,0.3196739667729823,0.6954918345895165,0.20000386411662255,0.5849219842015247,0.05136000360371928,0.5854266579989942,0.024516468561513828,0.45319310231901777,0.016857272021325746,0.5304478243932991,0.02927621922415266,0.6319033434958743,0.03422567849622133,0.5570550882360116,0.05268028385505385,0.505618797275588,0.03515664723824098,0.46449925061611663,0.024895594241961774,0.6947276905617936,0.8943544946141064,0.5467759062192163,0.06487833644978366,0.6150163215774076,0.07125054442630244,0.5156973165233392,0.11271961212546375,0.5583623522655548,0.06733911797376618,0.5901450007698001,0.12829247822304934,0.048534798534798536,0.4755677904947132,0.14904335622177278,0.6597752042179379,0.12092026905124023,0.4735950312328321,0.04926878153020259,0.7055640965913502,0.12483723358852772,0.6070023165117437,0.28707440125127787,0.7835561680029154,0.27616275658082123,0.591170494427683,0.3097734088455254,0.6888845318182346,0.2037900266761694,0.7116828827691513,0.9092586279419272,0.5914386111464216,0.07470062939472398,0.5443652292707748,0.12216052632450249,0.5873849774321356,0.07445078259438263,0.6183322778263244,0.22512006666675613
1,5.360581198572866,0.5319441264025647,0.6275273245683509,0.04731896068465607,0.4351260820670396,0.1516959803843262,0.6305530650946736,0.022171841577802925,0.6919992111734954,0.10992770838326306,0.7453058878509062,0.309575900718704,0.6198115554273926,0.08594555415120848,0.8717664540707194,0.3395380223113815,0.7365388034491955,0.04185106355239447,0.6256501116996135,0.2990333659708085,0.8913038041082963,0.10383176895255401,0.7547228563317729,0.2005444609174133,0.7498558619945115,0.44328227162701667,0.848139863115106,0.2780619953579456,0.5521767486255734,0.03841196925996918,0.6225281460857146,0.023841714381065676,0.5635976836071331,0.022668129575777587,0.6197087320242967,0.034106250030129084,0.6118255508355757,0.02579829054029212,0.7354622186266854,0.07613770160713887,0.5329760016000832,0.03587677417179269,0.6170899454129103,0.0392885067174589,0.7958716602075183,0.9496163942317677,0.3921305066136114,0.03524529546051039,0.7567000444828499,0.09163471671997946,0.7250416412790781,0.19928652280929354,0.7982490172682621,0.13083948229658307,0.6750637991392446,0.15905887086120127,0.5425824175824175,0.42937605236809806,0.13887699414978533,0.6866662227900145,0.10668483662521847,0.5870632998962297,0.08920163037770483,0.8502826306390248,0.29246768533433093,0.6331091106354279,0.3025107509770455,0.7549386160714285,0.18383347858212082,0.7446935645476375,0.4288769171938113,0.8461387639861968,0.28145097553030596,0.8048792584176451,0.9542772448956048,0.74431658252674,0.09222242981447143,0.7246704258537678,0.1980486810919046,0.7930824567155612,0.12364532705302204,0.7166014153706476,0.2660080793021105
2,5.062275981932194,0.42561636516296464,0.6970351905424895,0.06470218730585583,0.511288681086843,0.17024726382541971,0.6477282842690779,0.02429108537016408,0.7846663370966187,0.19805272882099154,0.7838253518707508,0.24315408486765291,0.6852254229047662,0.0843976667767952,0.9474683499610548,0.6096675601214433,0.7242940642342811,0.04373934390662333,0.66207950155234,0.3254606697520186,0.8074316072576118,0.060243095851611334,0.7359218081132908,0.2768779305915487,0.7839939684070778,0.46030759516083064,0.7658490498934374,0.1802227532881457,0.6390798262881057,0.052143370920714645,0.7168313320004742,0.034723918005669964,0.5691796129429014,0.023199344136977544,0.6693031508918393,0.04747135548281446,0.6725794855884827,0.024517413798987177,0.6507265925037066,0.04852512073565114,0.482617513223107,0.031124144291064124,0.5566033871904545,0.037245501875699805,0.8007080431115161,0.9533949248962879,0.6007531013536767,0.06050390828147901,0.7191727802587531,0.08838453111092681,0.6063963201869992,0.12723652253242856,0.8137353511162894,0.12580971165798294,0.6936343889940748,0.16906322051406864,0.48946886446886445,0.5044317160872774,0.1527794272373541,0.7848094312691682,0.19659901537586083,0.6460460455368588,0.07856692586234076,0.9326554856743535,0.564760475587563,0.6684766736064276,0.3200490144631045,0.7492512071793004,0.284738718462716,0.7788694157883247,0.4546738249875565,0.7640501005030964,0.182657796123546,0.805471769854581,0.9559328024744193,0.7184514999909202,0.08771166850381246,0.6126558684524188,0.12777903103127564,0.8133920026311301,0.14059122757759424,0.7315467680478215,0.2955699939739286
3,5.034307741407274,0.2506678879474849,0.3707493309545049,0.02703720648605006,0.3060340996902516,0.10820122483954403,0.6110020174513457,0.023709124568556103,0.42109713809460925,0.05842158914299932,0.8037982985672887,0.2482851592773332,0.7459279300204317,0.1365576686445633,0.9374655237054854,0.5161278079143179,0.503709377341478,0.020453182050799764,0.27200545128863995,0.16187112365616987,0.8591059484764009,0.08160562870882535,0.5402156536391649,0.19108597229154634,0.6545801510375459,0.38136142889151065,0.7367124376628407,0.23943358794021427,0.4160923825262275,0.02892997059564961,0.34482259891163475,0.012028479020990121,0.44354026751262754,0.01639563764954196,0.457343567700924,0.02243907184109445,0.3098953516815923,0.011931165041386617,0.5340400601617523,0.0372243398712636,0.5441756938260849,0.03703749014172381,0.5352622061482821,0.03122764869911957,0.8007823250091863,0.9526787766448314,0.35280481394912677,0.02810392358122739,0.3790831829293368,0.03307769500359529,0.6103140773177474,0.12842098001304525,0.8176866446479345,0.14091189578872942,0.5503171742404787,0.1413291453194088,0.3500457875457875,0.31411689483823085,0.10237771722985922,0.3996017594160803,0.055008823549634676,0.7107071642216208,0.12618545818805132,0.9200186349871885,0.4540026545947081,0.2805781016332874,0.15991746087984599,0.5131491435860058,0.13611980233551157,0.6542534046828732,0.3854337409179545,0.7477799272659672,0.2602058270707589,0.8081750798030622,0.9558410294152595,0.4097996531497994,0.03765981450662132,0.6199796461865638,0.13213797086078843,0.8200755428493217,0.171054116302458,0.5998529127183335,0.24799536798762098
4,4.8537115237429145,0.3598961911304481,0.2914665643992764,0.023170522701580275,0.3239789400618802,0.11370024083252372,0.5650070820874106,0.022794850990291993,0.543900515057306,0.08466186096953822,0.8810214483984403,0.377970613358133,0.8111392396965559,0.21531475013483675,0.9385161320730082,0.48312667850807034,0.3762112187750022,0.014558674880515649,0.5150758119096274,0.26608679597780127,0.8167335655076876,0.06458921569515347,0.49731598284820655,0.12655114115594973,0.6626706267663633,0.4044777400269629,0.8346725339775388,0.3581368382196038,0.4213911218072287,0.030925775805330756,0.4154872976350611,0.014876549605554353,0.4560096908018004,0.01819676514911877,0.4612053244935487,0.02388490027602583,0.5554210245273226,0.022142081416639092,0.714346459381962,0.10425359744639509,0.5270029154539703,0.03680731473654138,0.5470265657718655,0.03853121824262992,0.8236741828280716,0.9582139792161285,0.4107292968444155,0.03295450080961498,0.5791360651089158,0.06907775420361419,0.7225789294946777,0.22443592530272743,0.8663109382818257,0.22320664695894615,0.5983857489995758,0.1674094974084703,0.42857142857142855,0.3330343357257254,0.10576764741171565,0.5216111057938387,0.08165988349023741,0.8054591328056647,0.23281266803439762,0.940958148924606,0.45678141944030304,0.5287046594141278,0.27594313675479876,0.47397218932215746,0.101624051851859,0.6693570145143324,0.40552849265930446,0.8515935259739505,0.40935447014729875,0.828963326660535,0.9605793692855964,0.6007193509724518,0.07821993248381426,0.7242290578341439,0.23026654839265803,0.8516434859613481,0.20423931293077355,0.6775204444919068,0.2952314110735631
5,4.687687196564869,0.36966643767651325,0.3998093324551677,0.02724781017150528,0.33842263739194534,0.11314647490147543,0.629082348048456,0.02467844328230209,0.7384962950139741,0.15307191834734432,0.8414920564469324,0.27651783581473777,0.8084182726943473,0.19542885533115634,0.9578161649666163,0.6486070872924403,0.6498428431733614,0.026416875349627347,0.6938188751271361,0.3890946197410428,0.9146051729095068,0.14080591689684918,0.6329361779835725,0.1600366161531376,0.7362672385292847,0.48716665296365236,0.8559813706403506,0.40407735564911407,0.4327999239118805,0.03252691345705641,0.47350755218661117,0.017759389527482898,0.5186219512347554,0.031569087831172564,0.4871568361616443,0.02507510735214267,0.5604985039586179,0.018505798759841034,0.6951775028996534,0.08178747437518975,0.5402522693349904,0.03735636903532355,0.6248775896554152,0.06635778407547699,0.84970520704125,0.9641551080526177,0.4526979455409639,0.036835324146401414,0.5932607810435865,0.06175757754481626,0.7726923391273978,0.3154271377761546,0.9018958392908039,0.3290487663098895,0.6576974241064701,0.19478685769761347,0.4990842490842491,0.3444933522202782,0.10692607204881133,0.7291381441239748,0.1447193132946913,0.7815838199686655,0.17687963832148063,0.9514729404456869,0.5918246540744679,0.6982148198105739,0.38984634302380716,0.6315307261297376,0.13621191646599556,0.7350153371657591,0.46996627416591397,0.87113179267315,0.44645473717619505,0.8540370430485671,0.9654393146872693,0.6049914195434652,0.0720035474950015,0.7729703569937196,0.30917488395089987,0.8848155400098259,0.2568623689715648,0.7382829410111169,0.3388590886396748
6,4.574191938874448,0.4332493702770781,0.3671789206899714,0.026405704147876057,0.3497683076686513,0.11468399698915807,0.6059448587036327,0.023624518331774903,0.7690621620271056,0.16680499509559313,0.89323036706475,0.4172777004915209,0.8388924880027715,0.28653670199767944,0.857485857637188,0.23741839988018168,0.5718171773998959,0.021392540401336403,0.5436874997787887,0.28733951075095365,0.9172912661523862,0.14602021767128176,0.7232348477813125,0.2649110702183962,0.7247302649747704,0.4412899969986382,0.84523929170761,0.32467955590765646,0.3987446309471442,0.028577401328085728,0.6199806544637831,0.025494419427621498,0.5493120943156379,0.027253489414392366,0.6120595702062087,0.034758847168522566,0.584670647160952,0.023901997599270305,0.7418734518056045,0.10763809671656141,0.5603975331102613,0.042607594691434006,0.5924012350735531,0.04286121782008698,0.8621803838134892,0.9670621722370192,0.4874836655059793,0.05354892226191017,0.6628979434409299,0.07596225153594767,0.8314891491223189,0.38094897044058007,0.9111853018704903,0.3238534414779841,0.6700861373240456,0.18818668196159477,0.48786630036630035,0.3561384284225221,0.10837051437420425,0.7653426658399465,0.17304806046644225,0.8290790892628238,0.35095911583850875,0.8428542588710304,0.21222515951568105,0.5430129314136586,0.28687810794858104,0.7243693627004373,0.250070716213436,0.7219111563887132,0.4427137525311573,0.8492819547561784,0.345996527587934,0.8634364461036268,0.9680044882212107,0.6620298908602248,0.07421091235280067,0.8199915376808267,0.3447947370994611,0.8938375787883523,0.25929859873903277,0.7392737750906951,0.3180475575740375
7,4.423861046600283,0.4682085336997176,0.40248459736383574,0.029365955489473787,0.2884712649819237,0.10507079929559072,0.5107595031358444,0.019722464273155015,0.6772282117909931,0.13359268093478766,0.9057675552925373,0.5556924347609788,0.8439692274532808,0.4326298519917436,0.8834661011090056,0.2682184500501365,0.5221387932895623,0.019787677168755385,0.5121916838085272,0.3154213728681399,0.9494772922485673,0.27858138744110184,0.5921878903193248,0.1946412490825821,0.6163617432716484,0.3970194531172058,0.7778296723561536,0.3364411459349957,0.386504039633758,0.028255779836899354,0.4931343448343535,0.020104373847277247,0.6412258120561924,0.04631525772201795,0.46739072319087716,0.02638862209718588,0.5617721154591937,0.027144260434530377,0.7046274826664047,0.10068845266725554,0.5748574481094035,0.044270561622395094,0.6455426580755426,0.07631018962925433,0.8313398148129352,0.961143641031879,0.5687280853757647,0.0610142773393321,0.5551550381867124,0.062234559552443336,0.7752915312075084,0.4040144385640423,0.9053853132521615,0.3573698142400386,0.6382033824339235,0.2039015058074307,0.5128205128205128,0.295692460778408,0.10044755461967898,0.6840691282401261,0.1439163686675491,0.8413789244511364,0.4839400052983711,0.8824699122602686,0.2448111186256075,0.5197196727560625,0.32067859045610053,0.5792217110058309,0.16297235625631248,0.6155007528645235,0.3962351015141104,0.7879030290355189,0.3794299974426636,0.8335942713123772,0.9629773416788887,0.5782194871701746,0.06862608087155342,0.7576784484641996,0.36004534755691736,0.8910358746822165,0.28717491591891203,0.6888736394184035,0.32593789824222213
8,4.372058677396723,0.42668498587894055,0.43743520054690826,0.03182753417039273,0.3088404046406228,0.10815271456227159,0.5996096128387669,0.02437786949952127,0.8350910898298491,0.26930644069745385,0.8750798028839412,0.5247028455060951,0.7807669491608829,0.3686698050553425,0.8914646424918082,0.38038874789792404,0.548270798674168,0.020967039646691034,0.5200900675667632,0.289306441114764,0.9400571513035922,0.23656420116121285,0.6009512003207863,0.18747265759993037,0.7822189423579486,0.5952348694526761,0.8505170724125304,0.3159740178335342,0.40488713312533653,0.0288730927515572,0.5236006683375104,0.020683234326810632,0.6121138772331779,0.048632148726794125,0.49541417872684956,0.025587408802024307,0.5146524053004313,0.022696103523000707,0.7399282362922663,0.09572516045882072,0.5831783430740529,0.04595845617247793,0.7258728644823325,0.17145196120525089,0.8499623413719108,0.965431151719145,0.5916329456350409,0.11426869448768466,0.5690197108749145,0.05340883980894999,0.8110395597282081,0.4401482383302826,0.9097005487051697,0.3039291810117651,0.6654382979967604,0.2188361098277836,0.48214285714285715,0.32043675717460623,0.10294545053579368,0.8464264461709398,0.2897855798792655,0.7750147516633772,0.421179838668153,0.8937044801615033,0.33521697885043017,0.5281271442395097,0.3050216525373476,0.5857638256195336,0.14826620374499194,0.7655439935964534,0.5852679654248956,0.8489444270161618,0.3135206988468685,0.8532262379243388,0.9670103328020287,0.6095460983892349,0.06099536210531364,0.7915708663921482,0.3780415750526669,0.8926353893122598,0.27586440371669063,0.7259117014716723,0.34859300351370387
9,4.212088257308662,0.473551637279597,0.3812849008312005,0.027797936541339798,0.34055625706120823,0.11609608163978903,0.5659712999208828,0.021813782127438446,0.8395793698668276,0.2982615413298501,0.9235592371397842,0.6554940171445807,0.8527941166339261,0.49039970835004865,0.8506194196437736,0.4779835134944817,0.5620445626912869,0.025056270294093946,0.5528301042926566,0.3690886005710742,0.9386186797607234,0.23492273205665465,0.5838088555048508,0.22948949925827491,0.7437701523312098,0.5887897564954665,0.7319523879775232,0.18610890569762462,0.41591710810797033,0.030312800235422356,0.4038242697554108,0.016103715470809615,0.6488603027109996,0.04893711418616268,0.499025192240492,0.026505750234314146,0.5963540889809019,0.02983929867166462,0.6974555394825702,0.10128480355371151,0.5872748192610718,0.04818483181608656,0.680386538834386,0.07906545806687962,0.8593928738913037,0.9675179906361018,0.6774672596955428,0.2556681901680283,0.35977735728866955,0.03486948593715523,0.7761124954984441,0.36091584356855627,0.9259500094335635,0.32610900196006154,0.6536610461091222,0.2325621780579104,0.5494505494505495,0.3409839166288037,0.10671821824302796,0.8417382764547017,0.2966113872606984,0.8466518810914196,0.49989960473231504,0.864904883919559,0.42607808213586984,0.5596781808052077,0.3740006237231107,0.5628194469752186,0.16523915874649345,0.7263971374355588,0.5621056911424398,0.7341826716395367,0.18912549460643152,0.860609899787793,0.9686182926222935,0.4041633373889989,0.03886531737717279,0.7521065920360174,0.3145948711644457,0.911925576606639,0.311729644468756,0.7005134833974545,0.35446553218525456
