epoch,train_loss,train_accuracy,train_1st degree av block_rocauc,train_1st degree av block_prauc,train_anterior myocardial infarction_rocauc,train_anterior myocardial infarction_prauc,train_atrial fibrillation_rocauc,train_atrial fibrillation_prauc,train_complete right bundle branch block_rocauc,train_complete right bundle branch block_prauc,train_left anterior fascicular block_rocauc,train_left anterior fascicular block_prauc,train_left atrial enlargement_rocauc,train_left atrial enlargement_prauc,train_left axis deviation_rocauc,train_left axis deviation_prauc,train_left bundle branch block_rocauc,train_left bundle branch block_prauc,train_myocardial infarction_rocauc,train_myocardial infarction_prauc,train_myocardial ischemia_rocauc,train_myocardial ischemia_prauc,train_nonspecific intraventricular conduction disorder_rocauc,train_nonspecific intraventricular conduction disorder_prauc,train_nonspecific st t abnormality_rocauc,train_nonspecific st t abnormality_prauc,train_normal ecg_rocauc,train_normal ecg_prauc,train_premature atrial contraction_rocauc,train_premature atrial contraction_prauc,train_prolonged pr interval_rocauc,train_prolonged pr interval_prauc,train_qwave abnormal_rocauc,train_qwave abnormal_prauc,train_right axis deviation_rocauc,train_right axis deviation_prauc,train_s t changes_rocauc,train_s t changes_prauc,train_sinus arrhythmia_rocauc,train_sinus arrhythmia_prauc,train_sinus bradycardia_rocauc,train_sinus bradycardia_prauc,train_sinus tachycardia_rocauc,train_sinus tachycardia_prauc,train_st depression_rocauc,train_st depression_prauc,train_mean_rocaucs,train_mean_praucs,valid_accuracy,valid_atrial fibrillation_rocauc,valid_atrial fibrillation_prauc,valid_left anterior fascicular block_rocauc,valid_left anterior fascicular block_prauc,valid_left axis deviation_rocauc,valid_left axis deviation_prauc,valid_myocardial infarction_rocauc,valid_myocardial infarction_prauc,valid_myocardial ischemia_rocauc,valid_myocardial ischemia_prauc,valid_normal ecg_rocauc,valid_normal ecg_prauc,valid_mean_rocaucs,valid_mean_praucs
0,5.241875697070338,0.48332188382566216,0.49358979468743436,0.038266334132649876,0.6192866668520911,0.021501333768426764,0.6558195997307343,0.19670620840067232,0.9359571894905683,0.2186818466292541,0.9442228983661342,0.4854662766432217,0.4926497234633957,0.02058124806971245,0.757938193768791,0.5440623076091861,0.9153406868324335,0.14619526476265038,0.6184409175618409,0.4137433748468331,0.7193638052086122,0.2762969245206947,0.41236101726355945,0.03154375109839218,0.3825784509844313,0.013314806097408045,0.8972171101647788,0.7350214088390196,0.6135678227014396,0.03104514412815874,0.4566560561816191,0.015724217054711918,0.3948131775827336,0.02006576637120027,0.34816997518610426,0.01092766983204658,0.735015980382104,0.11053557045972981,0.5338275564700364,0.036846373487864154,0.6850061842502144,0.06420595777704466,0.6848850134640591,0.19695274472707736,0.6667021818520066,0.09829936051124068,0.6347004546565965,0.16936290408032706,0.5059523809523809,0.6917193392468264,0.2018704528311266,0.9490945083098816,0.4925974570724379,0.753660702917548,0.49834911040511437,0.6222885835095137,0.4195056456245383,0.7235534279643804,0.2716767080769904,0.896380698265207,0.7302142645220314,0.7727828767022262,0.4357022730887065
1,4.769494020086274,0.34401954049309214,0.4110162201443857,0.03233771995887827,0.37962603770657144,0.01222382117184099,0.5883607828516064,0.1483377157758114,0.931249007118003,0.1768315069856622,0.8898418266496776,0.27776990474938246,0.33097273213105527,0.014422176739224794,0.5697481067069914,0.3230823064130387,0.9069313101265682,0.12810127550670122,0.39240335990160313,0.23812514563704335,0.56433957954091,0.17557286645564135,0.3625995388615922,0.026786858478453773,0.3550620072967474,0.014507537370220466,0.9191155663650961,0.7846055074816938,0.5174533964271264,0.023079079263587855,0.4048791746001773,0.014677987027504419,0.364794052813785,0.019024140918587486,0.31282265629728256,0.01087114216110396,0.5709982568435834,0.061610121765118826,0.5692648682996203,0.04765713277827298,0.7361370426477354,0.26582312937546826,0.6433899363118238,0.13765406313642123,0.46635975448399614,0.05449300057594871,0.5539711460966337,0.13579973362389122,0.39217032967032966,0.620267195612858,0.14916309106623482,0.8834505090798068,0.24674142592672524,0.573965266773332,0.30084629523549555,0.4085862913096695,0.25882426101512446,0.5508663796756592,0.16153194576315028,0.907761628024011,0.753235141447179,0.657482878412556,0.31172369340898487
2,4.5261386182233405,0.46240744981299137,0.5496068518119956,0.07888461105528168,0.5668113954124989,0.0254117508528914,0.7793277518114065,0.30512136196275774,0.9850088910981403,0.574321102394389,0.9019105869260846,0.48741486031192527,0.4574943158999851,0.017017276599366166,0.596486672237171,0.39162808309049657,0.9586026436352304,0.3024818508504144,0.6943042774572228,0.5771411579742448,0.7877570728735409,0.3899206675937853,0.3979776475780189,0.030363803571143808,0.45312205934989,0.02013224899380843,0.9261506074993576,0.7948843841045893,0.5939198983925552,0.03646242643260571,0.5234209972207423,0.022685154842927636,0.438033850366479,0.027291180809203786,0.4804303092658718,0.030472082260968824,0.75355800296493,0.1073278393426732,0.5877617575516119,0.052099604403641586,0.8232913691795168,0.33703758174896,0.7724773803152902,0.2347234740420046,0.6576921253429233,0.10510242725306736,0.6675066574632028,0.2249056786586885,0.4700091575091575,0.7919529590830051,0.29904539414091613,0.902719793713163,0.4422967149996003,0.586763882475843,0.3478756121751726,0.6839409702904194,0.5520585287994203,0.7851302418965956,0.35830520691764156,0.9162554300345831,0.7729248799400597,0.7777938795822683,0.46208438949546843
3,4.346513767750534,0.37439890084726357,0.5626750351398819,0.1085603935400935,0.5324399041452635,0.019734306992089674,0.6790902871543048,0.33593494764755927,0.9802858475240727,0.4279985780146267,0.9373912125879177,0.5421229212884557,0.4539143606138512,0.01940955847492755,0.6692629126920874,0.4717581385118617,0.9560889580382026,0.391913263999251,0.6265253736153222,0.4805237601744266,0.7581520233768879,0.40054895981150557,0.39813133805811574,0.029811104442080412,0.5437125607121275,0.026611895794775207,0.9325016913537905,0.8078524164831554,0.550027666056629,0.04322592140939212,0.5463624244958333,0.04428629424582376,0.46241626981584694,0.026187091101474193,0.4191159671367185,0.01627442082249435,0.7104387783653955,0.10605864209376463,0.6037964405847971,0.06380910000506824,0.826051743806903,0.30143089449318217,0.7302115013392007,0.3790945068220831,0.6156173883378095,0.09291795035780659,0.6588277129523165,0.23345750302390444,0.4693223443223443,0.695821400552224,0.3207289097732233,0.936277909786014,0.5013744069574246,0.6587274096732082,0.41413524119978185,0.6141254033604095,0.4644928251111689,0.7603274386198714,0.344151882786118,0.9182807473821095,0.7721591917459573,0.7639267182289727,0.469507076262279
4,4.221850792894508,0.575299595450729,0.7077956067840565,0.18289753624766783,0.5476699086686468,0.023923330894755818,0.813308491457392,0.48633773061303626,0.9854314104305136,0.5783111983061976,0.8936194477599636,0.5204477972512125,0.5264358874627253,0.027079436514851833,0.762131136566168,0.5976718643970496,0.9604586249649157,0.4934262037511815,0.6968321669859774,0.5270024255722504,0.7130580358439934,0.416505505664464,0.38721261721828937,0.030592087862093595,0.5069735539101792,0.02957992485094904,0.9373751912987179,0.8279095575494368,0.6154582249243705,0.0646197752613959,0.6828446590519951,0.06942141789373509,0.4440948123471027,0.026736109150629746,0.5632977516189553,0.051613485226468206,0.7196317994831358,0.11565217063712654,0.6406256461463203,0.07538332192572797,0.8947139826402872,0.5314061307648065,0.8327696561834125,0.39482868878095484,0.6146846315958722,0.12742069141024226,0.7021101474246815,0.2817621086602834,0.5618131868131868,0.8246545117014542,0.4791619435229219,0.8919317156055859,0.4734465526034354,0.7415275440531506,0.5326933019370194,0.6688427728941805,0.47854453146922804,0.7051585318451885,0.3509220114719607,0.9165156087073799,0.7738587052602365,0.7914384474678232,0.514771174377467
5,4.0863317001249015,0.49133653919548126,0.6222568971152084,0.21782078424937673,0.6114025855014588,0.028713232646548854,0.8246535927274193,0.48805107138010867,0.9809282101476383,0.6674047725206824,0.889959733022028,0.6467007700332622,0.4764599203751664,0.02492251730012693,0.768637427113822,0.6157353512507491,0.9398826033243237,0.6496962829833843,0.7754352999949917,0.6537497383510812,0.8094066690349339,0.4748878087923048,0.4083466487104398,0.03491331823485903,0.48391064461445704,0.032359012348186944,0.9493290664801662,0.860302990030734,0.6290829204637716,0.09527711441212527,0.6986547313696443,0.1541728916113887,0.47503861732191544,0.029108167701957073,0.5360446423167705,0.04742039668761258,0.6613205235378254,0.1067933433822255,0.6868673649669761,0.11716819664108753,0.9116338890171423,0.5203040344748356,0.8766076793936031,0.5657859656381817,0.6256796305252632,0.12137604586466236,0.7109790589579529,0.32512108211524915,0.5849358974358975,0.8366089162146795,0.464789069758792,0.8982719826899591,0.6077629092602435,0.7482308941942035,0.5360775836241075,0.7391533604094803,0.5906876835041358,0.8046158207445985,0.42813213687972684,0.9230064878596707,0.7837887316409787,0.824981243685432,0.5685396857779974
6,3.9610857243265287,0.6180444240897641,0.7456181430731255,0.29003301348579086,0.6025217861654739,0.032798818076930844,0.8521819209910905,0.5562830322356578,0.9935356335740164,0.7560948888769582,0.9202850085384529,0.7308026557399914,0.45742316583025805,0.030460972800530367,0.62685870244034,0.514868708256619,0.9679426630392745,0.7529654927721741,0.6926003589096091,0.5817628545962328,0.8613432890942593,0.4790208603355501,0.43441434551628955,0.04192803137085295,0.46019210935676796,0.027592258383450592,0.9504701985924712,0.8570771154535365,0.699139337783125,0.1543817998557455,0.786063847244983,0.20673001310523773,0.5088991868413997,0.04711483534545122,0.5191884040428494,0.019604785162974772,0.7585380774531493,0.1589366210356356,0.7073799785836641,0.17693921696735715,0.9277178895024457,0.48083701009214336,0.9234097770488067,0.6698340022055943,0.6573811849566435,0.13701501398254604,0.7296865912990225,0.35014009091531645,0.5508241758241759,0.8409051527845863,0.4888496739220214,0.9160673750862849,0.6727059395717151,0.6094869784915391,0.4534952955677916,0.6477186491598976,0.5061945900653517,0.8467719356695922,0.41484630746655016,0.9165344804679794,0.7609455867183008,0.79624742860998,0.5495062322186218
7,3.844995669231789,0.6252957789481719,0.7185940626220597,0.29678002376078777,0.6579989225857357,0.03089777723996368,0.896100103751503,0.6678085369235128,0.9907717063221602,0.7472344018488094,0.8457760304446091,0.605104300653115,0.4756353701226627,0.04486858204427367,0.7255710361813325,0.5929914103149379,0.9792669558856354,0.7473598454892951,0.8548023835231311,0.7297258549281854,0.86434397645989,0.5276542256159916,0.4865882454574251,0.05694592677479092,0.5543233673168404,0.04282017394408995,0.9627788551001202,0.8866778945210856,0.7113033593157574,0.20503624986927532,0.7345808895872626,0.21615201104226509,0.5588245622776983,0.05073764932354199,0.623959215941415,0.10318876544360808,0.7380796255776486,0.1485478290249261,0.7236011720148672,0.2289189840665008,0.9196220193009269,0.5333115456218992,0.8712584097148213,0.6082048216836619,0.7030436213224068,0.18258416191449828,0.7544010859466322,0.37516140782040974,0.573489010989011,0.8643803327450026,0.6135318698565563,0.8274654197419423,0.510311515722268,0.691017253096031,0.4845379329369171,0.7929954378546791,0.6115932581844447,0.841443605682539,0.4486139972328707,0.9190595220361774,0.7590660182499496,0.822726928526062,0.5712757653638344
8,3.7395758102544527,0.5120983131058697,0.6875831998150673,0.27622733067790173,0.5816803710052597,0.03583564458877627,0.8936968043617374,0.579467779378107,0.9946248571531062,0.807693480309564,0.885437358346554,0.6210294436384745,0.5242697631177012,0.04011421486865596,0.8508969174377558,0.6919689202416776,0.9726791945774759,0.7270553982372605,0.7046427748210818,0.5541200736503629,0.729173292713808,0.4114434199380315,0.5249562869451488,0.06289646344889312,0.46010519443279113,0.02404793457127314,0.9670251213610707,0.9094881884345302,0.653713581957176,0.15314880920089832,0.6885093917029903,0.16834691995116394,0.4461735038902058,0.024285972379522132,0.7707101464625068,0.17487751319526534,0.6475146552008801,0.15427091110820293,0.7170436378857336,0.24808388290970262,0.919908272572092,0.6344374089062603,0.8411293433954058,0.48027512210416606,0.5624083830610345,0.09431499629081427,0.7283582751007537,0.35788317400134106,0.4892399267399267,0.8696178404401771,0.5124387420044758,0.8744184078479265,0.5495889587392435,0.8076667131985341,0.5602835630405292,0.653584622232113,0.4596192934905198,0.7255027457031717,0.35992178200162106,0.9069056049632225,0.7339300860944076,0.8062826557308574,0.5292970708951329
9,3.6186616874616497,0.5745362949393176,0.7439069836031597,0.281177955067451,0.5563940730504437,0.03312038373443195,0.8726854447571886,0.5955155604145104,0.9447721880300708,0.5624045676178251,0.8650045911708821,0.6217538281363657,0.5066122131466355,0.043953025164618485,0.7393983565918931,0.5834692693414457,0.9635559788986547,0.7774115092141642,0.647281255045125,0.500640911323145,0.7118110799517411,0.4117616169785989,0.4893919247874283,0.06809320649379907,0.5205853206852729,0.03623439315303334,0.9774282064530688,0.9375917478487199,0.737020064254919,0.1987339196447105,0.7427734803814678,0.2120409378830888,0.4699112335475971,0.034083225959209096,0.6679019397203897,0.1377302729450801,0.7162881717365348,0.2026489529889938,0.7311052106920299,0.42096655695804636,0.9100703437398369,0.4656422289945289,0.9296050127828321,0.6717059905657192,0.6287961846641908,0.15945398244109665,0.7305590571677892,0.3616424564940265,0.5531135531135531,0.8673286620975978,0.5590196355413494,0.8380834174056178,0.4946212657660173,0.6970060578355317,0.4493099910914543,0.5921910815622566,0.3991733222698985,0.6851182595836584,0.3001847155421569,0.9157076457302517,0.7525994620072642,0.765905854035819,0.49248473203635673
