epoch,train_loss,train_accuracy,train_1st degree av block_rocauc,train_1st degree av block_prauc,train_abnormal QRS_rocauc,train_abnormal QRS_prauc,train_anterior myocardial infarction_rocauc,train_anterior myocardial infarction_prauc,train_atrial fibrillation_rocauc,train_atrial fibrillation_prauc,train_atrial flutter_rocauc,train_atrial flutter_prauc,train_bundle branch block_rocauc,train_bundle branch block_prauc,train_complete right bundle branch block_rocauc,train_complete right bundle branch block_prauc,train_early repolarization_rocauc,train_early repolarization_prauc,train_inferior ischaemia_rocauc,train_inferior ischaemia_prauc,train_left atrial enlargement_rocauc,train_left atrial enlargement_prauc,train_left bundle branch block_rocauc,train_left bundle branch block_prauc,train_low qrs voltages_rocauc,train_low qrs voltages_prauc,train_myocardial infarction_rocauc,train_myocardial infarction_prauc,train_nonspecific intraventricular conduction disorder_rocauc,train_nonspecific intraventricular conduction disorder_prauc,train_nonspecific st t abnormality_rocauc,train_nonspecific st t abnormality_prauc,train_normal ecg_rocauc,train_normal ecg_prauc,train_premature atrial contraction_rocauc,train_premature atrial contraction_prauc,train_premature ventricular contractions_rocauc,train_premature ventricular contractions_prauc,train_prolonged pr interval_rocauc,train_prolonged pr interval_prauc,train_prolonged qt interval_rocauc,train_prolonged qt interval_prauc,train_right axis deviation_rocauc,train_right axis deviation_prauc,train_right bundle branch block_rocauc,train_right bundle branch block_prauc,train_s t changes_rocauc,train_s t changes_prauc,train_sinus arrhythmia_rocauc,train_sinus arrhythmia_prauc,train_sinus bradycardia_rocauc,train_sinus bradycardia_prauc,train_st interval abnormal_rocauc,train_st interval abnormal_prauc,train_t wave inversion_rocauc,train_t wave inversion_prauc,train_ventricular premature beats_rocauc,train_ventricular premature beats_prauc,train_mean_rocaucs,train_mean_praucs,valid_accuracy,valid_1st degree av block_rocauc,valid_1st degree av block_prauc,valid_abnormal QRS_rocauc,valid_abnormal QRS_prauc,valid_atrial fibrillation_rocauc,valid_atrial fibrillation_prauc,valid_atrial flutter_rocauc,valid_atrial flutter_prauc,valid_complete right bundle branch block_rocauc,valid_complete right bundle branch block_prauc,valid_left atrial enlargement_rocauc,valid_left atrial enlargement_prauc,valid_low qrs voltages_rocauc,valid_low qrs voltages_prauc,valid_myocardial infarction_rocauc,valid_myocardial infarction_prauc,valid_nonspecific intraventricular conduction disorder_rocauc,valid_nonspecific intraventricular conduction disorder_prauc,valid_nonspecific st t abnormality_rocauc,valid_nonspecific st t abnormality_prauc,valid_normal ecg_rocauc,valid_normal ecg_prauc,valid_premature atrial contraction_rocauc,valid_premature atrial contraction_prauc,valid_premature ventricular contractions_rocauc,valid_premature ventricular contractions_prauc,valid_prolonged qt interval_rocauc,valid_prolonged qt interval_prauc,valid_right axis deviation_rocauc,valid_right axis deviation_prauc,valid_s t changes_rocauc,valid_s t changes_prauc,valid_sinus arrhythmia_rocauc,valid_sinus arrhythmia_prauc,valid_sinus bradycardia_rocauc,valid_sinus bradycardia_prauc,valid_st interval abnormal_rocauc,valid_st interval abnormal_prauc,valid_t wave inversion_rocauc,valid_t wave inversion_prauc,valid_mean_rocaucs,valid_mean_praucs
0,4.699292223058616,0.5119375916126307,0.8817598858616422,0.26918422106524975,0.6772233472439635,0.08557043734390535,0.7843623578044078,0.021582338690326837,0.8929555127439815,0.17187747996675362,0.9628386008350789,0.7381334914579226,0.9497262012030352,0.6526771633318759,0.9807431294819828,0.5571926912848214,0.38461174454426617,0.005362752481042588,0.7401291942753643,0.041737008481751145,0.7931445763317397,0.06678428759267316,0.9282832272894186,0.11410110493256312,0.5838925554012907,0.03209874910695701,0.8673130343051956,0.4550633036159983,0.5316956673896044,0.0279702811001211,0.6715155506829252,0.09233839706266135,0.9408622042646052,0.7727338921291983,0.8825668836081068,0.3256477856407905,0.844663209814011,0.19476530720124507,0.748371698887121,0.01535064410217329,0.7399631541123758,0.08053522042537778,0.6051477099271216,0.04211950522621376,0.9735541252171461,0.6991926929145099,0.6126326546217298,0.13114032853017576,0.8473661136353421,0.4765220724758672,0.9639490995305221,0.9123925613536834,0.6048652759716571,0.057523351897666386,0.6622400762441356,0.11058840661972064,0.7572524239127052,0.03819051610641687,0.7790581862550171,0.25672771400491645,0.5136766788402772,0.8728866440556653,0.25386705944748084,0.6726374955631527,0.08084333939581814,0.8914170162056404,0.1643262012389938,0.9642827121147388,0.7359302257304172,0.9782179539710235,0.5586498656316292,0.7744511171323757,0.06404210331958819,0.5904037253812962,0.028769520961614635,0.8669286116019973,0.43575236272956874,0.5723094207738872,0.038063902061561274,0.6753780923747392,0.08493340253298187,0.9384893821027753,0.7656144460489211,0.8813955471472114,0.30128305747821016,0.8607693931203257,0.19860734750002476,0.7341422866911774,0.08582402011569193,0.6203728252910135,0.03534455834065052,0.6175396560050521,0.13265902916734948,0.8426937355449533,0.4802427145549552,0.968372168228669,0.9212821974496043,0.6200868663211855,0.06508623372368301,0.6698872464462887,0.10727629759358348,0.7806330948036584,0.27691989425111635
1,4.246288341953575,0.5678865121363444,0.9308256332690873,0.40310180662777123,0.7587113971753632,0.15822741924005407,0.7888951150016963,0.019168325465274094,0.9196753426494512,0.4451413230062587,0.9674285113405386,0.7754840693390882,0.9204236872690987,0.496225273030109,0.9769891764286668,0.4679217336716988,0.3840257201077055,0.005546587249815893,0.7787720697945574,0.06672231402796262,0.8020637276480699,0.07417882201106915,0.9398582486512062,0.23753725971015033,0.5912156073651517,0.04619744902642806,0.8569341728318777,0.4865027222015098,0.6066161165090905,0.035295902620863025,0.7009361425316991,0.09900533952709041,0.9387273958806627,0.7543470509080659,0.9041916179334116,0.41229757871960565,0.918445548035544,0.2620349460629353,0.8673418627150086,0.042050286555901366,0.7823433816751131,0.15594844648309308,0.737431981917276,0.11441300637299556,0.9565032920459082,0.496320804305538,0.6290529676219327,0.162017581944848,0.868044088522158,0.5361935277643426,0.9704206473980117,0.8823122067256265,0.6056556679603643,0.07996532662601159,0.7542564830200968,0.15504254862346037,0.7729858367252339,0.039240153275761316,0.808170408572285,0.2824442789686903,0.5719609450696878,0.9259366078617963,0.3793028962432401,0.7599523739468326,0.15402439884406555,0.9165748517016772,0.3930835669762596,0.9687403680347875,0.7828847573778844,0.9753074199741266,0.5000385311327311,0.7715399589544597,0.05965695749615999,0.5855664259979209,0.036680936462824464,0.8531617220548289,0.45104137876153483,0.6298363201434125,0.045863926622943474,0.7034196957045826,0.1010695542010434,0.9355020061138709,0.7500745377215068,0.8907690660193829,0.39515117924219234,0.9249142862243919,0.257299981945486,0.7823062152555778,0.16164364553085916,0.7413399167290917,0.09586212086781079,0.6297665944693985,0.1517498813350405,0.860318562816625,0.5316791172459464,0.970630504259539,0.8728867490153168,0.6115753470447551,0.10275336417185288,0.7590494437762436,0.15429892361219705,0.8098103843541651,0.3188523202403448
2,4.053059127149468,0.5687808998534198,0.9116766162563441,0.5083742057857685,0.7548905095300332,0.20361734194894837,0.7802310623219184,0.02218923970481617,0.9257865654986708,0.49759308810271075,0.9669684630847546,0.7373345387519762,0.9236873102053165,0.4587032940795985,0.9810376375217139,0.4694491826311387,0.49571504199622307,0.008237225471644904,0.7327620718344541,0.055257403945947775,0.805288096838165,0.09618337190417867,0.9694843776481554,0.5453584679865031,0.5829739977917514,0.04777251179968142,0.8683262252978182,0.5692032352097545,0.5929351840252295,0.03353231088695569,0.7030049837020197,0.11832170841763776,0.9450205782878864,0.7734104792420116,0.9360548277814494,0.4405027219704185,0.9111726412739226,0.1914136944102983,0.8572876795741073,0.10455677269419986,0.7705564609865153,0.1367929521410395,0.7601771131182895,0.1320269010004675,0.961930296069776,0.3964032662282678,0.6006794476375547,0.15489784057067763,0.8977945858914579,0.6162145456230574,0.9544492581844963,0.8812653714111274,0.6243203175226181,0.086737165783903,0.7321005184095376,0.1511325872465717,0.8146312867335205,0.04679968462664745,0.812890826965132,0.30297432534199814,0.5700231050160245,0.9060748765748401,0.4766684805965466,0.7584707588410021,0.18931726557951925,0.9145057572421138,0.43553804141232083,0.9677493270539095,0.7362527740854556,0.9807845827329187,0.4689627617490615,0.7874474533161264,0.1016036105349967,0.5861548539610657,0.03866839958775566,0.8644182131477121,0.5327550698625362,0.622610147542138,0.03909741662694736,0.7075343378188208,0.1256486253960878,0.9423665421248533,0.7750899044796995,0.9195045819525999,0.3988446859577819,0.9109603322321418,0.20830939747896526,0.7709585514247803,0.1446322484002728,0.7558816391575274,0.12027221482335884,0.6000422362094335,0.14399382833100494,0.8902998072137417,0.6074374278921648,0.9573924710464388,0.8871515575037098,0.6380040155186208,0.10540851458129008,0.7369726682047177,0.14793500996250583,0.8109066576657751,0.33417936174209906
3,3.92734586278867,0.492534346972746,0.9129725341841756,0.48720064150770787,0.6106955010183639,0.0610484644628343,0.7320429591978805,0.013268563611157897,0.9181212236658841,0.26712986768373176,0.9815698478149183,0.8822098757401079,0.9220601261570899,0.4372770208437744,0.9729104526047203,0.42572704917710913,0.6394874239594883,0.015198231633721512,0.6862763241013415,0.0385654076679931,0.7896375439787692,0.09646764615746316,0.9584614084303146,0.5135583595485961,0.6006725919408169,0.0426176809574224,0.8259283922067859,0.2495276990710386,0.48369437482836514,0.02171966016789396,0.6949663634989451,0.13921173299777534,0.9356813913082431,0.7756180435541066,0.9054930151783654,0.5133678038243121,0.872680230980679,0.2804187199676618,0.7636476116679581,0.02573658230774,0.7601085359795012,0.15670961504240358,0.7177821607968667,0.1893269061438001,0.960393638909173,0.4176311718545845,0.5756286221447389,0.16960568886285898,0.9071795213929371,0.6817765029738643,0.982082543067334,0.9629397738324229,0.6543762515548214,0.08700179576711595,0.7321417879297825,0.16250787782673243,0.7411009316792265,0.045361606193763324,0.7942069039349103,0.29138321390641764,0.4872922411865544,0.8974351967075779,0.4640519244180612,0.612256615572867,0.05925299416306803,0.9083515420948166,0.229924249518901,0.9810265499018695,0.8693620057248932,0.9728595697271317,0.434155729199634,0.7640767599727927,0.08282158481286234,0.6152803292462369,0.040037358655264366,0.8167597510158295,0.2302990184925684,0.5046588623288936,0.024292014033437094,0.6964465280885856,0.14806418726742543,0.9291391224047892,0.7602724559398836,0.891736223899925,0.4681446520872165,0.879634394162855,0.28629297411697635,0.7466570825760059,0.17462057485718926,0.7067891882489262,0.15340643265288817,0.5735275068361284,0.15471008061307498,0.9013149319913262,0.6661222651639112,0.9808246562567438,0.959416398474745,0.6621396115169043,0.0982972073475207,0.7386622593941676,0.14919760451711897,0.7889788340972186,0.322637085602832
4,3.848411084589717,0.5777744652306775,0.9378843022299054,0.5071076688528441,0.8092355963231419,0.24803029408983368,0.847665992089405,0.03226942723459362,0.9422498869288716,0.5529094213136801,0.9815976404467046,0.8780872472352583,0.9325035551268993,0.5378553100854594,0.9849051839879865,0.5704296408543741,0.6410160039542383,0.018037112139309544,0.7659513379822586,0.057465786048619655,0.8512805552471736,0.14668617108451468,0.9725184135077114,0.6238835970327054,0.6192444421817654,0.06407371567013488,0.9197442469094239,0.6543596792270855,0.6095842055179118,0.04256890354368474,0.756146260064053,0.15928780303709097,0.961598457008377,0.8373708366613712,0.9389290702789787,0.5660693237694828,0.919384569206979,0.38201583830909985,0.8761276202894,0.09783765309134977,0.8002046424140628,0.2240227202508435,0.7794505073916839,0.20991001438545956,0.9664061533959111,0.5582080583343356,0.626773201031477,0.20473558759874716,0.9420284628439256,0.7374960031671048,0.9819475175797995,0.9613425921970704,0.6935322186782719,0.12913109156182756,0.7245876470104844,0.20047176012159873,0.8099991958340094,0.04605674173589338,0.8425891744807432,0.3659899999511919,0.5727062681672505,0.9218127841625389,0.4735112819752592,0.8139410996842834,0.2287743018760174,0.9314010957362225,0.4924871100491562,0.9816722600808302,0.8720883470469842,0.9837146829580453,0.5724226996841806,0.821722592242428,0.11383208618104476,0.6376690733541248,0.04505328038826595,0.914342985286538,0.6162500479442327,0.623138239161752,0.0467779515438026,0.744816490580952,0.14988117918428331,0.9559167975770956,0.818511548457817,0.9122260099432635,0.5130877397606688,0.9239144781518344,0.3601844839131148,0.7956186386069278,0.2044061041670582,0.7823158739377207,0.1933875976581767,0.6234056032832799,0.17578516152419094,0.9331704291194072,0.6966962680104528,0.9812283233652926,0.9597594393091443,0.7025969320747638,0.13053263411277607,0.7209374692354116,0.18283409533345044,0.8352780929271356,0.39231316790600385
5,3.778959646251275,0.5665200864574793,0.9036272880715222,0.4493290570272357,0.7273069266400702,0.12246805655675136,0.8396334731512367,0.029974147290527407,0.9529081021716955,0.585800495851829,0.9784628480310105,0.8720087219745747,0.8864363276419984,0.4420248473840091,0.9803347353283659,0.5289809750487857,0.6832418081685221,0.02159165687657707,0.7784032172647773,0.058682421092638805,0.8637689286760248,0.17187375168356772,0.9485742772301001,0.5117253456993237,0.5858804753663907,0.05239795784280703,0.922733525353093,0.5361006271298616,0.5880648151875834,0.0333746988210639,0.7425490033455912,0.18185176410348375,0.9598815118582135,0.8134070727180488,0.9532957713003473,0.595565852712314,0.9318288581922342,0.43732952866852365,0.8745905941870009,0.08784961896979332,0.7722569714041239,0.21636944540527558,0.8135302804420451,0.2802196433524009,0.9572633342651615,0.5270042518749658,0.573261170320464,0.17137844859906684,0.955072282429748,0.7642729486574338,0.9905434763657133,0.9754589289109731,0.6648502183758739,0.12258761606591748,0.7275295394353268,0.187114817097207,0.8063443483008794,0.06282478234873433,0.8343633610180398,0.35141312427727467,0.5624208094208839,0.8759057820722413,0.38880303827469903,0.7173855526910646,0.11588646648755016,0.9461397110897495,0.5313811732764498,0.9776775876090289,0.8612209397332969,0.979973044643227,0.5327845902597909,0.832454792099115,0.1312970460110172,0.5851819256347817,0.050649456281981836,0.9116447558696901,0.46863770676945726,0.5998755654386395,0.03687403157944799,0.725841016162232,0.16053666610400566,0.9546053227472792,0.804616948272857,0.9297429307441979,0.5433973351790137,0.9241918483760452,0.4077573446116554,0.7632319278760541,0.20715090435641695,0.8116290292261809,0.25629517336681457,0.5731471386785154,0.15982450893088657,0.949700987781138,0.7266337975974899,0.9889822322245174,0.9724669594985323,0.6800528789025687,0.13610625753215722,0.7223424746071764,0.16691942709041463,0.8224853252236721,0.38296198856069674
6,3.72726177088249,0.6032893592705771,0.8692044984340559,0.41253822451588307,0.8469182090771912,0.2275584952580283,0.8276782580218806,0.033090453057364744,0.9467218179513449,0.5951087123291305,0.9769931926238679,0.8653065406485927,0.8895572169898187,0.3457022922127562,0.9770840115298715,0.5290633786650423,0.6029635277705347,0.026813917400321435,0.7647449130231984,0.0538287134903373,0.8347842506357748,0.1449398802156367,0.9667599552991356,0.6230490907901853,0.6073750593388246,0.06573117353888762,0.9351139699323883,0.6003301707471028,0.5594953067904336,0.03380826927069208,0.7500589353005442,0.20769936770382705,0.9663033255633131,0.8457535525282147,0.9383082223626309,0.5673023759240385,0.9542620728245573,0.48532883085132483,0.8398764335093816,0.0762550038936432,0.7984355527861847,0.23294272026329865,0.7684707372207373,0.2590258119325124,0.9434543859518588,0.4680042137263859,0.6413967135700336,0.19637074026734236,0.9508797674435007,0.7515830634570866,0.9831825140927829,0.9644435480719511,0.6482910563296416,0.10578072837277297,0.7405934955881953,0.20555651715482431,0.7829266870778425,0.058263612048108857,0.8325655031085545,0.35647069279768895,0.6013266751136618,0.846199074412968,0.3584509189589424,0.846204510639093,0.22021361267545903,0.9393396121297738,0.5337292903199661,0.9761222466711333,0.8571025540744467,0.9759878643346792,0.523545867799687,0.7981855218517326,0.10446557777064971,0.6209826120391335,0.050101074808760304,0.9231746392433707,0.5306169839111097,0.5805206507611179,0.04284413730776025,0.7359099143920633,0.1856573684498582,0.9603529274402413,0.8276554609581818,0.9138571097110425,0.5063779270413507,0.9607208692719065,0.4667946130629072,0.7896095309992367,0.21385644154382072,0.7618362245284448,0.23122593247146175,0.6400847066158217,0.17882799027028107,0.9396251599142661,0.6939017436179032,0.9825923135616734,0.9612606944279075,0.6663934302492338,0.11573346128823887,0.7395930620770538,0.17584168191847221,0.8298645990421992,0.38891016663385825
7,3.6858082150516176,0.4983727112369879,0.8932897887398739,0.4275246718088311,0.7002336055873243,0.08885855951143928,0.7910496441801043,0.0228830258855763,0.9297040881782337,0.5121569320794649,0.9771068406962838,0.8612963782674257,0.8363540558748033,0.270756079655592,0.9756875481206693,0.4533129997344421,0.6093608514605836,0.040022319399050564,0.7154978433088061,0.06305286328551524,0.7864094076637103,0.14759349331485308,0.9501400653564771,0.6509078465142787,0.5960629930238128,0.04325103258005267,0.8567405444177463,0.35795395657929696,0.5429678775928538,0.0290158699671791,0.718380446857233,0.1729523395693898,0.97086418809955,0.8824329072154267,0.9243802833606172,0.5436384395380077,0.9142421914240808,0.37362643235222737,0.8215025485294172,0.0669402314875524,0.7615299525468218,0.19921989502908047,0.7037219831337478,0.14605026439627536,0.9300246349838028,0.3407793732745718,0.589840436989013,0.17290759887006726,0.9368522122567985,0.6988881800209858,0.9818142359900072,0.9481577537503763,0.6328490293913056,0.06531528039463842,0.6730274721745756,0.1411967471819056,0.7340070501185,0.04738010933690363,0.8019157792877412,0.3131454136071575,0.5233658791085936,0.8714918380792037,0.3815390585663924,0.6985468157447364,0.08519488653339129,0.9204237148895102,0.4334154440129238,0.9753294030677967,0.8399067687060893,0.9758308741270009,0.4576688890125911,0.7586866718193668,0.11227705586236247,0.591004115577961,0.037699844662834735,0.8448888238998248,0.309327085781151,0.5581714328124733,0.03924479441746421,0.7107481612355873,0.17164656907137493,0.9605835951541912,0.8498215969593523,0.8998145801479789,0.4794764548297674,0.9107091049486035,0.35706514107992593,0.7525949061542089,0.18683312750056766,0.7055906609207495,0.13898042023376833,0.587019916432066,0.15807308103057827,0.9286779758175109,0.6409221947199586,0.9785758900586778,0.9364587837900147,0.6524482371183156,0.07536743569152529,0.6723236948324052,0.12906109260858253,0.7976730206419085,0.34099898625353076
8,3.6511543923581016,0.6204814787210255,0.9280506872388122,0.5532637744947945,0.8327228359339693,0.21990499499104693,0.836013601360136,0.027302612141209427,0.9438897495645238,0.6093566234827906,0.9786603778557659,0.8663270518423167,0.9221743083299195,0.48855463746292854,0.9862618146185027,0.5367412814985308,0.6415379388269503,0.022876097316093066,0.7991083530437009,0.08654567905715708,0.8582636941109983,0.22919301161810263,0.9645449939268967,0.6130311662117329,0.6113760000078892,0.07226292266133219,0.9380422329981395,0.6858704692385194,0.7158957930696497,0.0659407689670897,0.767252812373814,0.1999855426300324,0.9735343219444142,0.8793634954449874,0.9539418853766405,0.6160638264216732,0.9520567550592856,0.31379149012419616,0.9243739927479904,0.12787332849785527,0.7728622184710401,0.29570333140363414,0.8604642942878238,0.3059559682710276,0.9716397765171526,0.5310903431594414,0.6370878053927327,0.2045449639296803,0.9613089812237751,0.8115606912357806,0.9892123246950779,0.9739644123151083,0.6491597674650978,0.14624514627018093,0.7187726390287642,0.195868182138136,0.8246989235708951,0.07914894595136852,0.854032459965727,0.384226098527741,0.6019974659014683,0.9068055047214699,0.489762714548545,0.8254539011563824,0.2053679081785322,0.9309384011920521,0.5433710491782511,0.9775390549987987,0.8579279746702304,0.98569455506397,0.5499272705470213,0.8241787810871258,0.16412391458424422,0.6227128636732602,0.059691511231555694,0.9256494911929127,0.5947769597680702,0.6979861868359605,0.06650538267589926,0.7529309104428362,0.16833669603598858,0.9642848221741038,0.8432211181905477,0.9244258429662416,0.5292425620880672,0.9562077050260122,0.33660830867094066,0.7613855563692332,0.25066407575087035,0.835672171300154,0.31569599546776145,0.6294249899456825,0.1629342348531284,0.9511334430286795,0.7568097940934269,0.9863959688524422,0.9690360490753409,0.6624041138578525,0.16594247360518355,0.7117430841205501,0.17191615028583188,0.8416483674002858,0.4100931071749718
9,3.5997936897628966,0.5063228242776577,0.9353678952567872,0.5555725288085265,0.7492049253464541,0.18072112682407526,0.8154312490072537,0.03152550309634435,0.9325661648046812,0.46560903115732694,0.9849264744465205,0.9013826046139277,0.9339762021426128,0.37703551650996636,0.9889048912870569,0.5956841115611731,0.7411242538613962,0.02985399109162369,0.8015246254002404,0.0920237378860564,0.838688022422958,0.19303551111875447,0.9727135384300323,0.6019139223592896,0.6456924697536868,0.09288874541635445,0.8927162278972665,0.5523664881999014,0.6328272966577609,0.052193007302060265,0.803577424340088,0.22527790036768916,0.9681501839046991,0.8759364418378615,0.9498634321668598,0.623054221167041,0.9335796385058726,0.39481236703564526,0.8934932800694304,0.09735022757622308,0.8514172337714511,0.29443410375375495,0.7152803660156603,0.2895527606293638,0.9750279105544235,0.6013930497743813,0.6124905226614006,0.19542946210766277,0.9445301584462104,0.7977668148624018,0.9827362019730029,0.964920192732642,0.7269055562384669,0.13966428843241918,0.774807621938741,0.2403422986024522,0.7947690187231645,0.07613853221276859,0.8497247423580064,0.37635280310848884,0.5036893493329359,0.9165226232014901,0.48589516107220376,0.738790772291655,0.15113999442342266,0.9288111394183646,0.3874797342300162,0.9828815399590037,0.8866396424957969,0.9884955181827809,0.60062131545618,0.8177933649889875,0.1281471644455433,0.6668526509163926,0.07452304823923855,0.8777719480204343,0.4692383178318576,0.6274741806016249,0.05686637454222306,0.7918075709211001,0.20009856226236458,0.9596430214127006,0.8448775033623463,0.9232464933833867,0.5138675354817309,0.9273159297864376,0.3589575582647184,0.8253644906300754,0.26014393146784687,0.7245526433182671,0.2979491829750368,0.5969004840608783,0.16295882292678124,0.9345448288198197,0.7281385454510696,0.9815946745486122,0.961705989954016,0.7189990964004822,0.1509145577970034,0.7740187433923014,0.21182798343874126,0.8351690857127398,0.3965995463059069
