epoch,train_loss,train_accuracy,train_abnormal QRS_rocauc,train_abnormal QRS_prauc,train_anterior myocardial infarction_rocauc,train_anterior myocardial infarction_prauc,train_atrial fibrillation_rocauc,train_atrial fibrillation_prauc,train_atrial flutter_rocauc,train_atrial flutter_prauc,train_bundle branch block_rocauc,train_bundle branch block_prauc,train_early repolarization_rocauc,train_early repolarization_prauc,train_inferior ischaemia_rocauc,train_inferior ischaemia_prauc,train_lateral ischaemia_rocauc,train_lateral ischaemia_prauc,train_left anterior fascicular block_rocauc,train_left anterior fascicular block_prauc,train_left bundle branch block_rocauc,train_left bundle branch block_prauc,train_left ventricular hypertrophy_rocauc,train_left ventricular hypertrophy_prauc,train_low qrs voltages_rocauc,train_low qrs voltages_prauc,train_myocardial ischemia_rocauc,train_myocardial ischemia_prauc,train_nonspecific intraventricular conduction disorder_rocauc,train_nonspecific intraventricular conduction disorder_prauc,train_normal ecg_rocauc,train_normal ecg_prauc,train_premature ventricular contractions_rocauc,train_premature ventricular contractions_prauc,train_prolonged pr interval_rocauc,train_prolonged pr interval_prauc,train_prolonged qt interval_rocauc,train_prolonged qt interval_prauc,train_qwave abnormal_rocauc,train_qwave abnormal_prauc,train_right axis deviation_rocauc,train_right axis deviation_prauc,train_right bundle branch block_rocauc,train_right bundle branch block_prauc,train_s t changes_rocauc,train_s t changes_prauc,train_sinus tachycardia_rocauc,train_sinus tachycardia_prauc,train_st depression_rocauc,train_st depression_prauc,train_t wave abnormal_rocauc,train_t wave abnormal_prauc,train_ventricular ectopics_rocauc,train_ventricular ectopics_prauc,train_ventricular premature beats_rocauc,train_ventricular premature beats_prauc,train_mean_rocaucs,train_mean_praucs,valid_accuracy,valid_abnormal QRS_rocauc,valid_abnormal QRS_prauc,valid_atrial fibrillation_rocauc,valid_atrial fibrillation_prauc,valid_atrial flutter_rocauc,valid_atrial flutter_prauc,valid_lateral ischaemia_rocauc,valid_lateral ischaemia_prauc,valid_left anterior fascicular block_rocauc,valid_left anterior fascicular block_prauc,valid_left ventricular hypertrophy_rocauc,valid_left ventricular hypertrophy_prauc,valid_low qrs voltages_rocauc,valid_low qrs voltages_prauc,valid_myocardial ischemia_rocauc,valid_myocardial ischemia_prauc,valid_nonspecific intraventricular conduction disorder_rocauc,valid_nonspecific intraventricular conduction disorder_prauc,valid_normal ecg_rocauc,valid_normal ecg_prauc,valid_premature ventricular contractions_rocauc,valid_premature ventricular contractions_prauc,valid_prolonged qt interval_rocauc,valid_prolonged qt interval_prauc,valid_qwave abnormal_rocauc,valid_qwave abnormal_prauc,valid_s t changes_rocauc,valid_s t changes_prauc,valid_sinus tachycardia_rocauc,valid_sinus tachycardia_prauc,valid_st depression_rocauc,valid_st depression_prauc,valid_t wave abnormal_rocauc,valid_t wave abnormal_prauc,valid_ventricular ectopics_rocauc,valid_ventricular ectopics_prauc,valid_mean_rocaucs,valid_mean_praucs
0,4.881734262303279,0.31696106929020396,0.7232077535101351,0.1651285955907343,0.6676665895766722,0.015918055728960274,0.6955278017076366,0.057653213590456207,0.828434603758146,0.35658915919862855,0.8434175687778686,0.16320366035576628,0.775356933658794,0.018802769262437784,0.4343055435719258,0.008983021849553251,0.49811058246916023,0.015179622767525741,0.8218071168033764,0.1960268522410344,0.8957463655103772,0.12150394140841664,0.5366730822070327,0.07735109548845366,0.4209263813647577,0.016619734143340642,0.7639085791841067,0.09724603884288853,0.4180308122070908,0.021021321619626245,0.905980320718913,0.6920229937131092,0.6202620800590413,0.05656930449198919,0.5883349156381685,0.00922374732910863,0.5070944938024214,0.03544213181029804,0.5144906075018385,0.03700234975817736,0.43429420953951137,0.0150187377513297,0.7815099835088645,0.047286266150507586,0.4051005345609597,0.06861564670828794,0.9283081338462857,0.7218699583791736,0.4408568460627471,0.034274664404795915,0.5303120064977727,0.2330408512895968,0.8732107583656171,0.26376693320302796,0.6249405195031995,0.014797473157357808,0.6473264860708303,0.13185770889757711,0.3298054706715361,0.7353002786058732,0.16774411841154474,0.7036272605905398,0.05934565019039702,0.8268511957249248,0.3574085520808195,0.5035915552191101,0.015570692107469294,0.812098519650992,0.1923441660724892,0.5431742993796034,0.07649318307619385,0.40265563589777,0.01633830836559471,0.7472217983814804,0.09648585275869424,0.4111444992426336,0.01950546289555459,0.904290887763035,0.7093277023804666,0.6871018385412726,0.06554146360204983,0.47597881480173393,0.032481420639513064,0.5263368528136806,0.03382360576005204,0.40170839553449733,0.06887560577309011,0.9206527122213145,0.6965824354194191,0.41901815061835346,0.032356409906052194,0.5293544735188846,0.23026263366723648,0.8693384854701067,0.28326932559552787,0.6344136474431004,0.17520869937234249
1,4.390101696013788,0.3345258502894338,0.7864399163023905,0.255470638294074,0.747213092992312,0.01999076346437271,0.8901217112744789,0.15580260803692814,0.9453196551131698,0.7345702874522888,0.8787900016696639,0.31364358686300753,0.802632648731387,0.023606831573633365,0.7422769818533821,0.033439982082497634,0.6769554165076881,0.037218631878252174,0.866724052144998,0.23091385704738845,0.9203315998511953,0.4469471106078063,0.6601058864508165,0.1276983178664331,0.5708454353290945,0.035142878751638615,0.9265261479053519,0.37862938653565914,0.4974958696333917,0.02425418315862175,0.9343105572762553,0.7577036419022583,0.9229882503531951,0.3678085238195826,0.6151470433107369,0.008428150084421347,0.7867621273205034,0.14184642755182372,0.6153136546720445,0.05507365103723749,0.6793976929543823,0.04691385057692449,0.8598111656025517,0.052990539484903613,0.6858956752687042,0.15171093625021445,0.988869918822631,0.9320676767698488,0.62381504440075,0.06458768804612977,0.749265146864582,0.38821008677437546,0.971755475086309,0.39397894940619244,0.6926516534372285,0.02429181961267203,0.7791763637455256,0.22973855573811797,0.33576805545203847,0.7873271515750072,0.2395928583063954,0.882327031461329,0.17565031591854316,0.9423086893239985,0.7043457662614278,0.6775638423533628,0.04024279683868525,0.8487862796033576,0.21357853427175744,0.6653594499709666,0.13051585271158994,0.5681211307066301,0.03808769935082824,0.9161320615490608,0.34724921220210236,0.4953554568413966,0.02414544231912591,0.9310890976101535,0.751274620461795,0.9414295982446849,0.3789656067702087,0.7733621933381534,0.14204175930871538,0.6122080878317187,0.056879848995544616,0.686550269358084,0.15167007714161482,0.9879405130901262,0.9147357190589588,0.6173261025639486,0.06492299677600048,0.7439089243238323,0.37395908630975727,0.9611464020773811,0.4121809752209322,0.7799023489901774,0.2866688426791102
2,4.241040568088633,0.45283346997590124,0.7885168354297766,0.3075823433933985,0.731582042248774,0.017513846988740214,0.8983531889293163,0.16173042419210237,0.9770560548516053,0.8076741206591201,0.8788743280227475,0.41527271234599006,0.7733279136542485,0.01780091912029147,0.734156028783131,0.03441490778348096,0.7224517405973044,0.04864012483985786,0.8566742618188455,0.2630636468174796,0.9421753271310794,0.6523445760104765,0.6050648473937186,0.11224377320359148,0.6354830672224586,0.05415031196372046,0.8988553263552068,0.34399893540444737,0.5227650537111563,0.02970344279511723,0.9336195736120421,0.7758549261229087,0.8769002516871237,0.2132409497508836,0.7571096009815841,0.016541720627235978,0.8117855116660029,0.2041655938504221,0.6549285387826476,0.06090716441629457,0.6779870248164128,0.07992799251646805,0.8602393737347993,0.06583789039900446,0.5153401847677325,0.10809348767296402,0.9899687497151585,0.9378501874525291,0.6103351260573189,0.07168822324246521,0.6764674407614405,0.3745376002471894,0.9574786309799231,0.531365859318515,0.7562922091152146,0.04571211010775875,0.7793995641787694,0.2500688070830538,0.45352910486695985,0.7852985716114637,0.29149788712603164,0.8941150689297953,0.16439895964126672,0.9726859455841576,0.7749766381367885,0.7268710207096805,0.05099999455470845,0.8429577697346452,0.24337303909540264,0.6060025480578222,0.10893416597559968,0.6210805294252626,0.0505074427665589,0.8806138004054339,0.2865328625709065,0.5260770084932014,0.02920218987702376,0.9366941732831443,0.7860593962063692,0.9074101535900734,0.24232860960013136,0.8096503730087596,0.19036052472321388,0.6520178510849557,0.0633103978795506,0.5158879892256767,0.11292539494842559,0.987187776078902,0.9164770764170582,0.5939679897400704,0.0647960549482351,0.6765867983353929,0.3653608355957617,0.9387897643114337,0.4834241446013384,0.7707719517561039,0.29030364525913166
3,4.1366469259513945,0.39030086209038284,0.8433599224062491,0.43442643614144205,0.7029662708804127,0.02145160865257111,0.8988930153994532,0.25126344251920796,0.9565882724818309,0.7314949490086347,0.8685004482277205,0.4564140858285009,0.8514557037404856,0.07526560687695842,0.7050125501844757,0.03842485733484267,0.7591830511132973,0.07098105488972596,0.9014278347553283,0.40200722438688763,0.9239498386148197,0.5831866042953968,0.7029363709680571,0.19625346094555823,0.5532841835014701,0.04331969784301138,0.8917646459298296,0.35127219722123215,0.5172421498448927,0.030172758375797484,0.9456824005656114,0.783904968852118,0.9062679199355526,0.22812785166931135,0.6667866997562695,0.013880733097974959,0.7743092306340326,0.21823453719817223,0.6392636176023255,0.06710770747678202,0.682460390859979,0.09328882399761985,0.839019679927005,0.06719141709784279,0.5322719031794569,0.10997324786126103,0.9821588469419423,0.8894900822007652,0.5648061043381056,0.07028682688239847,0.6656710364672114,0.3729731430544323,0.9840271414734799,0.6147371601524682,0.7725087006598781,0.050701306446187686,0.7789554789033027,0.2691048811224852,0.3716180964448088,0.8399995122873116,0.4369317401443504,0.8858820455776825,0.2302704353168653,0.9529391938551106,0.7103479966726121,0.7661985686440151,0.07465974521038096,0.8939183740726124,0.3472794787368692,0.6999451327129367,0.18339040438518173,0.535096460541057,0.046085368623300545,0.8751818395895204,0.3144188170099182,0.5208404584336572,0.028539541609514198,0.9411620747633627,0.7725103661142629,0.9211901339184384,0.26047739124307134,0.7625374008336471,0.21149326809718516,0.6382000298601833,0.062189028141127145,0.5322149428831051,0.10621073461196996,0.9803383850399828,0.8601838419580957,0.54939300085266,0.05869465911738282,0.6631443840241704,0.3542655412345016,0.972699665958093,0.5955890796437868,0.7739378668804192,0.31408541321502087
4,4.059491428362592,0.38210230801719214,0.8202308177235115,0.3578178581315469,0.6834256166248893,0.017103032831748927,0.8932853428957359,0.27909775918409324,0.9557714249731117,0.7660936677581187,0.8829364620030722,0.4363193956421538,0.892055211853794,0.17077187831317345,0.6526030264532678,0.0232567381503004,0.6769591344737534,0.034704087626281514,0.8989700931396513,0.3705601101684558,0.952783364814549,0.6136133933582385,0.6559294772096322,0.1392802286305204,0.5539345532833696,0.037608333427748435,0.8788934693542665,0.285598160452147,0.4746610886684813,0.02309248870383625,0.960645190821542,0.8439346738688116,0.9271704857633316,0.2869248339120284,0.6400018321424408,0.009851986502400996,0.7633188421008128,0.21128397084259398,0.5697696614576411,0.049144183741894075,0.808721196379852,0.13593235389373973,0.8840069088903848,0.17814200362990681,0.4816097949808522,0.10476557827379449,0.9833834156647842,0.8836916068852136,0.5062218862463995,0.043931117645346254,0.6334005026588156,0.3553385512373458,0.9842733739675399,0.5714723231376201,0.791868573258101,0.05070042500747509,0.7706233610297624,0.26963076818357534,0.3666244316911381,0.8156068060305673,0.33271760778743353,0.8847734233403233,0.26495835767826753,0.9517048774528032,0.7357113104455674,0.6927591087121088,0.03754836287482798,0.8815326537069716,0.32269497521209567,0.6471048791296109,0.11888428436159504,0.5263179438966032,0.033145220875784476,0.8617931572212516,0.2505883617802808,0.472852570409076,0.022352427152192635,0.9591259660895134,0.8445010326525839,0.9360040099871378,0.3032152314748599,0.7604101763586748,0.20492352461384752,0.5668675598198293,0.04741866927107101,0.477214293827481,0.09262521536015347,0.9799996450661701,0.8563508095353303,0.49784650854610646,0.04525929995457244,0.6261119238253875,0.33446901161739095,0.9664194921819319,0.5228579297709709,0.7502469442000862,0.2983456462454903
5,3.9912482283490984,0.4164617028148369,0.8379741234027839,0.3567473508361918,0.7237348339263732,0.016917841805226312,0.9358388670950292,0.3683366618606543,0.9561248382754853,0.706086054943335,0.8897666467778192,0.4566791816961535,0.8862833712162127,0.1249461442283569,0.6818673368607957,0.03671398531311016,0.6892318357040954,0.04149131188525522,0.9050533672039096,0.41153295180222327,0.9578761010492994,0.6295325471084953,0.6665681417466722,0.15349265397929152,0.5706067603399483,0.04866710986545149,0.8856260353022448,0.2961506165992147,0.5207216832227348,0.02844865424049229,0.9621734293040374,0.8475453528122231,0.8381636887667717,0.19590506518724904,0.642226885857526,0.013251998139348872,0.7587004280952954,0.25687417288987213,0.5468600549330006,0.04572557996181809,0.7432584372740353,0.10422718779795838,0.8913152568822422,0.14503058903093766,0.4599863447548638,0.10863699030163335,0.983162592820858,0.9084789608213598,0.5317963262355535,0.05732895675153862,0.5697242960346689,0.2644885358473377,0.9791571685962495,0.513534094084068,0.8000691063164503,0.04257568130859843,0.7708839984442576,0.2659017122628665,0.3955429678765745,0.8273689729380421,0.3175597922805767,0.9232557234089855,0.33098903904503196,0.9513963581119126,0.677991778598168,0.7060443157174883,0.048366974044485304,0.8905599487264335,0.3550725886940793,0.6640461687448427,0.14065068523863525,0.5411519101669582,0.04152151066302325,0.862123157439227,0.24009207903508906,0.5170254118900894,0.028114601628172906,0.9572344190230195,0.834657563770391,0.8566910040099871,0.20956679889928823,0.7342689511440156,0.20175467503788017,0.5555706353759324,0.043343820182529184,0.4582761893944311,0.10283793483277584,0.980792700342123,0.874903558039483,0.5273543933993385,0.0635878292737351,0.5641524501758076,0.2501174464235773,0.9622994354134001,0.4720712453022171,0.7488673414123351,0.2907333289438411
6,3.938071604086116,0.481329656406052,0.8358470458460221,0.417005743250801,0.7102599868705023,0.01719213190050901,0.9176805312346785,0.2776515444460102,0.9733549108058341,0.8358601736558688,0.831670504950491,0.31739411170941456,0.8839626494016376,0.19496225913006496,0.6844529166491259,0.031178914878953155,0.7363649994331626,0.09378979426132997,0.90028787733987,0.4273016053152978,0.9357028114929506,0.6202448468150621,0.7102608553980077,0.22476326428152377,0.5755787751105652,0.05600174865589253,0.9178036766891892,0.369597511964544,0.5383213337806076,0.040436470709037095,0.966170778042954,0.8514573985448255,0.9072724596332514,0.2984691763153692,0.6476224898260574,0.00964919539908133,0.816978818716929,0.36523240847089566,0.6042102046105159,0.08981748424779241,0.8097198838608372,0.1815930605843247,0.8633128078467676,0.12510508862315056,0.5955485366153175,0.14930204952572862,0.9857674039755895,0.9402161003560224,0.5582217577253303,0.06017586135657507,0.6833338128846949,0.39113982495785893,0.9805426913158464,0.5694603820624524,0.8235215115239564,0.06945445679355028,0.7923619270955812,0.2972019484522939,0.4536036371767161,0.8290084191402844,0.4142660253559221,0.8984232038718726,0.24782395850501407,0.9683664623328058,0.8050263876369832,0.7451067300061804,0.0905369107542815,0.8798242087659063,0.36372118881119525,0.7114059491610891,0.21021071488311446,0.5423269664035738,0.05787559779455042,0.9034396492671208,0.3053135898333917,0.524975919818762,0.03074026374352331,0.9620936960164225,0.8472113749391048,0.913620715744874,0.3419817425325818,0.7922077570495157,0.302513697974816,0.6125282933792957,0.08755919222906311,0.587713214772506,0.14029265864703397,0.9838803473693026,0.9226608630642488,0.5565862558693313,0.06075783651335204,0.675219590590301,0.36946565824156563,0.966519890677194,0.5411815757939111,0.7807359594575742,0.3410632909585363
7,3.898992618185633,0.4779260142605153,0.8391433909210462,0.4577219271942707,0.6980828444341196,0.021003308094449547,0.9189988428147196,0.42348196802841487,0.9682130817873147,0.7782290767902557,0.8054780380908206,0.37588902892190235,0.9065461480998562,0.23747224584767043,0.6715843596877593,0.027063907953445893,0.7245813021658067,0.059396816202322344,0.8675874259768991,0.5091897214012682,0.9330649411770355,0.6574677991001294,0.6812085202403101,0.19559655040988422,0.5696963522010217,0.06580522431135527,0.8732196933252506,0.3661536875324454,0.5474006827124489,0.03934563954702244,0.9695952438852703,0.8713784871722008,0.9019830449268738,0.2654231418032903,0.6500243730464088,0.010802175978394103,0.7856611845803723,0.320997449209397,0.6059651500716774,0.061964692479389336,0.7589851165702205,0.20676671952497166,0.8427416441676288,0.11350667499387615,0.4437821456356097,0.12338188048568866,0.9908888250658744,0.9521076888872436,0.5161830152553551,0.06773837591994084,0.6317325958327777,0.3847562637580685,0.9752993844931553,0.6413273975619577,0.8103311448280449,0.05207725368942335,0.7736288330368027,0.30689055936291404,0.4536036371767161,0.8333564996860351,0.44314962204637487,0.9031647994655472,0.3712247048457095,0.9644129208409914,0.753914305040972,0.7382611621264815,0.06611705106195072,0.8584170903801069,0.48257995530153025,0.6739636338284282,0.1677695548977472,0.5361495949731243,0.04795854074504391,0.8440338926482669,0.2988164514254163,0.5382910456073481,0.03686162920947958,0.9630155780957734,0.846538907392584,0.9117010289778316,0.29441515446822836,0.7739950504286519,0.26589464794400786,0.6156048975834214,0.06481669324491837,0.43658243817745185,0.11607959853987233,0.9887104422087309,0.9288759902482382,0.5095780017079875,0.07172140690831466,0.6207413847028846,0.3519266724648158,0.9610066498509516,0.5887276884112863,0.7594992284050008,0.3442993652331384
8,3.8629892749468415,0.43800154033440164,0.8821401552761938,0.5059713831064149,0.7133820797912555,0.019588533050344054,0.9256356715462635,0.38895806943252986,0.9754382504273444,0.83639094188718,0.9105354437162971,0.3648540328449598,0.9112720869840855,0.24441808719043376,0.7157523133246741,0.04222263609871229,0.7631394342921622,0.10013654314203298,0.9323812355119043,0.5766296446154348,0.9758661450612568,0.7212671860191457,0.6488311777534971,0.17121739512565348,0.6124481605748984,0.0782969102009373,0.9048905420276391,0.3255399043811241,0.6055409332443156,0.053419727567491415,0.9702460567458174,0.8751244347174724,0.9278946394094817,0.3704178168794887,0.6932250703709255,0.012822563671022415,0.83159004226121,0.38465467692505706,0.6366539070697861,0.08293638294762781,0.8380604336049394,0.27712827523076816,0.9102349086686712,0.23408510543865693,0.4710113361114919,0.11435761169531108,0.9926707758734821,0.9572193259389568,0.5277295997766209,0.054520319191804806,0.6367017762532988,0.38084273764101784,0.9820640829364601,0.589498128563328,0.8275991168362447,0.06553144536916042,0.8045531620537119,0.3269648081063728,0.4221510024595662,0.875351488438161,0.4706340970851824,0.9098778450574206,0.35679833657512816,0.9717659120124937,0.8022046191762078,0.7744828065402071,0.102787126906566,0.9163551085367994,0.5270428482512205,0.6485650461477339,0.1552593046505734,0.5674870199494002,0.05942858366694401,0.8828065062392733,0.2608595921713508,0.5969986010678204,0.04117488309950362,0.9628290633383705,0.854053452276294,0.9310739956117122,0.3653402643578158,0.8049963015656705,0.31284984741912814,0.6391612881973989,0.07636769097171599,0.46520376289998056,0.10226213131620136,0.9898853841021811,0.9365165333760754,0.5205176916092197,0.05511180698203151,0.6252053718460753,0.34917017758041535,0.9703979374926406,0.542066418267495,0.780720062814031,0.35388487300721383
9,3.817359587393418,0.4583240167946138,0.8689399716067532,0.5185786058522117,0.6976088446767976,0.022755925805240225,0.9227174146778749,0.46120263314394644,0.9688907371690563,0.8189810694395662,0.8099305444811363,0.3662014785187873,0.907602422779652,0.2875164582358152,0.6594004753986068,0.028132560554001176,0.7034069368713742,0.054635560307804594,0.8711862007901562,0.49468505602325696,0.9406692498243278,0.6572248679695277,0.6725548866645045,0.19466003729628173,0.5829820194001292,0.07634607414273063,0.8680784947740785,0.3634501037330507,0.5597535793778882,0.05578181704337441,0.9711657299750744,0.8835824311960749,0.864542702745451,0.2627784016701718,0.6256196805409817,0.009608722660093721,0.8108673535982585,0.3595796659688819,0.5968949515596907,0.09978300416980432,0.7660296096367163,0.223665570446205,0.8312066432604032,0.20293757580391547,0.45343084245259807,0.13573749649103378,0.9837961904688922,0.895344911661116,0.5076043260015035,0.06339293000569139,0.6122350361312289,0.3587749334182101,0.9823978128064843,0.6334777305921945,0.8090660668027726,0.05522648562765489,0.7721695823878663,0.317927485473209,0.4299023626742193,0.8551771311520383,0.4854430524466246,0.9090928855689352,0.4014829108822602,0.9633931284328621,0.7811013454833017,0.7011430002889043,0.052347406544472126,0.8583343639041641,0.441706899362493,0.664850650194065,0.162327518051184,0.5471510204752339,0.051978424925464624,0.8378338371181815,0.28120569192118694,0.5456024412372429,0.038732365947340065,0.9634907516034436,0.8590581990145827,0.8740788378603314,0.27546543304186516,0.7910045164213816,0.3089562081149583,0.6038561132736215,0.08887721933454823,0.4448544492763029,0.12110922728673301,0.9823989977555982,0.8680939935298614,0.498653484284481,0.05802213960056557,0.6016061096884855,0.3211850945629071,0.9723634549477247,0.5949033300686606,0.7563825096379444,0.34399980333994495
