epoch,train_loss,train_accuracy,train_1st degree av block_rocauc,train_1st degree av block_prauc,train_anterior myocardial infarction_rocauc,train_anterior myocardial infarction_prauc,train_atrial fibrillation_rocauc,train_atrial fibrillation_prauc,train_atrial flutter_rocauc,train_atrial flutter_prauc,train_bundle branch block_rocauc,train_bundle branch block_prauc,train_complete right bundle branch block_rocauc,train_complete right bundle branch block_prauc,train_early repolarization_rocauc,train_early repolarization_prauc,train_left atrial enlargement_rocauc,train_left atrial enlargement_prauc,train_left axis deviation_rocauc,train_left axis deviation_prauc,train_left bundle branch block_rocauc,train_left bundle branch block_prauc,train_low qrs voltages_rocauc,train_low qrs voltages_prauc,train_myocardial infarction_rocauc,train_myocardial infarction_prauc,train_nonspecific st t abnormality_rocauc,train_nonspecific st t abnormality_prauc,train_normal ecg_rocauc,train_normal ecg_prauc,train_premature ventricular contractions_rocauc,train_premature ventricular contractions_prauc,train_prolonged pr interval_rocauc,train_prolonged pr interval_prauc,train_prolonged qt interval_rocauc,train_prolonged qt interval_prauc,train_right axis deviation_rocauc,train_right axis deviation_prauc,train_s t changes_rocauc,train_s t changes_prauc,train_sinus arrhythmia_rocauc,train_sinus arrhythmia_prauc,train_sinus bradycardia_rocauc,train_sinus bradycardia_prauc,train_sinus tachycardia_rocauc,train_sinus tachycardia_prauc,train_st depression_rocauc,train_st depression_prauc,train_st interval abnormal_rocauc,train_st interval abnormal_prauc,train_t wave abnormal_rocauc,train_t wave abnormal_prauc,train_t wave inversion_rocauc,train_t wave inversion_prauc,train_mean_rocaucs,train_mean_praucs,valid_accuracy,valid_1st degree av block_rocauc,valid_1st degree av block_prauc,valid_atrial fibrillation_rocauc,valid_atrial fibrillation_prauc,valid_atrial flutter_rocauc,valid_atrial flutter_prauc,valid_complete right bundle branch block_rocauc,valid_complete right bundle branch block_prauc,valid_left axis deviation_rocauc,valid_left axis deviation_prauc,valid_myocardial infarction_rocauc,valid_myocardial infarction_prauc,valid_normal ecg_rocauc,valid_normal ecg_prauc,valid_premature ventricular contractions_rocauc,valid_premature ventricular contractions_prauc,valid_right axis deviation_rocauc,valid_right axis deviation_prauc,valid_s t changes_rocauc,valid_s t changes_prauc,valid_sinus arrhythmia_rocauc,valid_sinus arrhythmia_prauc,valid_sinus bradycardia_rocauc,valid_sinus bradycardia_prauc,valid_sinus tachycardia_rocauc,valid_sinus tachycardia_prauc,valid_st depression_rocauc,valid_st depression_prauc,valid_t wave abnormal_rocauc,valid_t wave abnormal_prauc,valid_t wave inversion_rocauc,valid_t wave inversion_prauc,valid_mean_rocaucs,valid_mean_praucs
0,4.600349133757864,0.601691928093056,0.8007983522052244,0.10633229587624433,0.7891090615399423,0.022084998529400594,0.8922411450440351,0.1344925824522745,0.9724412972539068,0.7930702996397503,0.9478523859440605,0.5359309088211817,0.9835671871729207,0.6192334208949777,0.3724528084983586,0.004583122001387773,0.808285778297051,0.034905933870311996,0.8014586446823816,0.48439647999254726,0.9701385944878321,0.4548047610630402,0.40052080703395254,0.014744603404992675,0.8342322198227381,0.3639165229626284,0.5048159022833695,0.008235213155912486,0.9390781253018475,0.7428516804844285,0.8822750623800508,0.28997829972742173,0.7905985627646672,0.03350761706231829,0.5428321213120044,0.010594215326244062,0.5053606554410383,0.017903629571966263,0.5929919215851674,0.11636560284148728,0.8008721298623996,0.33148078338122766,0.9718627068412149,0.9260916228037995,0.9261171905629503,0.7984495994065909,0.6166687633488894,0.07055142144901815,0.3675891211135737,0.009807847330784292,0.6494432854428379,0.26146280002129874,0.640927424077359,0.09706027653208221,0.7424819713192221,0.2801090976385891,0.631333157106353,0.7853946190625626,0.10036345798902944,0.8826924973717827,0.122351055198039,0.9733921516783806,0.8057771417311892,0.9823664852464089,0.5719687881280432,0.8069540023117493,0.504408539362508,0.82957584413211,0.38230876640703665,0.9325428897578946,0.7290447931729419,0.8789022083682062,0.273009888871687,0.48640953914091434,0.01834197442534089,0.5753729634628362,0.11599937600829999,0.8049583665265748,0.36241330849772446,0.970713759295107,0.9199019838405956,0.9214946034260818,0.785082879767344,0.6236237746864639,0.06984509663641125,0.6536809149448901,0.2403855357353848,0.6751740290784182,0.10934236401731354,0.7989530405306489,0.3819090593618055
1,4.062603199920368,0.658500763717542,0.7790830848340236,0.16109798302459416,0.7887222184900575,0.01906192820568704,0.8387081351865381,0.08295363649245817,0.961259050088162,0.7650477023406805,0.916154900023886,0.48696429855513634,0.9823621619844857,0.6729471920753624,0.44603659302988646,0.005671801637285172,0.8178707657826453,0.027897103020943774,0.846729908879067,0.45828311843814484,0.9561684900472703,0.24148772071107666,0.44719128322539536,0.018055120168291364,0.8585590873245964,0.4376206659455697,0.6196741467305698,0.014651479808637426,0.9557335290344364,0.8088763452915976,0.9073681168943349,0.38993686552597945,0.7504618875875302,0.03656452427176825,0.47045585349649266,0.008268371932602063,0.5803410286878979,0.021702578093506054,0.6132794886092947,0.12619716211091478,0.8478144536422549,0.5712756706794249,0.9435187446656143,0.8874145867855608,0.9379637638643917,0.8255696689374323,0.6238829084382778,0.0772936767965384,0.3601295324378068,0.009478298221134647,0.6687428480815515,0.27997752084256905,0.671004810530293,0.09178132617167407,0.7534314150614138,0.2894644748494065,0.6669310071371927,0.7605064227790085,0.1287189774286588,0.8256009415874191,0.07781061022342899,0.9623147170454104,0.775285073873436,0.9822273450548741,0.6701961801466477,0.8528979538721801,0.4887956022570871,0.8517826865348364,0.42995657831756917,0.9509283824809451,0.794855475273796,0.9069932025988728,0.39320134637525417,0.5639075818752803,0.026188230235698887,0.5993742325204305,0.12023463118434098,0.8431580636353144,0.5802583788707978,0.9423444953445994,0.8813961291373746,0.9324524804436083,0.8089582534715846,0.6363992654671262,0.07409687807277213,0.6740352851267646,0.2626589441231156,0.7049000497425921,0.10916982217503945,0.8118639441318289,0.4138613194479126
2,3.8635870246430035,0.6035424744448361,0.7870531759441973,0.17173150375405627,0.7925678382210208,0.019259029020186644,0.8588159117707455,0.12515284350708689,0.9576010854799467,0.7589268443476784,0.9168889916916799,0.6009060282788072,0.986661652279136,0.7200564320976222,0.4781493942690883,0.005277450977777787,0.8499002095455928,0.03340144706569996,0.8936597136276366,0.5716580625831689,0.9432415736291256,0.1283735180262778,0.4775321434996558,0.015629962395602444,0.8782821050559034,0.44227508292276024,0.5898584443719779,0.009571897253640412,0.9627309681688242,0.8555182274003108,0.9313934219714948,0.4402711642528413,0.7474293323633452,0.03965000314222434,0.462779110400379,0.007526419757174315,0.6769827341505708,0.02877212163057133,0.5931579299344754,0.12126685772981415,0.8626490257318981,0.5129401097504225,0.9420945500834759,0.8711197903624237,0.9343724029655676,0.8038272856605071,0.6253072818464477,0.06292472563047868,0.3879352486691386,0.009925766015371623,0.614526945751471,0.23941206466741857,0.6106458974489388,0.07526364585141776,0.7600852726489129,0.2950245493877439,0.6309807031456516,0.7697306636311948,0.15061518773126606,0.8446314601822069,0.11022604171708296,0.9570792254011729,0.762757340316927,0.9846091468535673,0.6835985123196535,0.9012660655097713,0.6064060097716187,0.8705888449680352,0.4237642480390058,0.956083171163809,0.8329746734719591,0.9289037094640062,0.4122837617393337,0.6513476543600842,0.029363056687346362,0.5848088630160584,0.11961992234876286,0.8593026463575636,0.5183826513057789,0.9406006442830204,0.8658002587569935,0.9315300128725617,0.7954114283656902,0.6255731371302764,0.0583203535608555,0.6165371956892806,0.23507163285247315,0.6392276179333399,0.09024370623747172,0.8163637536759968,0.41842742407638867
3,3.7355340764183875,0.6846140289037715,0.8326984525062093,0.3175721124257288,0.7493396157363215,0.01975632567424393,0.9032190045622941,0.2355786468909432,0.9781586551141649,0.8666901823946443,0.8893632746062398,0.48088090003203476,0.9799942387758792,0.6543780032913038,0.5029490140527454,0.007031745248144452,0.7584342432496448,0.020178329113216834,0.8093917917494501,0.4308406971150136,0.9536364282406103,0.5029634809422147,0.4661353377658812,0.01530251199816658,0.8429184867285997,0.4445402428045407,0.5304998893749564,0.01166595118221331,0.9661396087133958,0.8611411301409511,0.9457403033696187,0.5313298348150346,0.79424426204026,0.06490968926876024,0.4685608899086349,0.0085238330851241,0.5531080826639598,0.026192432621148086,0.5995265875409564,0.1343054747077722,0.8896672502459115,0.6764887150172362,0.9689028919598004,0.9370349283771846,0.9409342764811817,0.8258377836685743,0.5636078716419555,0.0770410603351542,0.3571223097955548,0.009418355778135497,0.6115539531291945,0.2492989714192353,0.5558300938592593,0.06731246297484637,0.7466029543774108,0.32600822312775257,0.6952154374834787,0.813175468724488,0.2633072970179922,0.8976035710075755,0.21603453335731082,0.9770275236415287,0.8616849778869825,0.9806255631699252,0.6881208197533376,0.8143503371939037,0.4582478088175851,0.8261743563883973,0.40915525769259264,0.9614158686122648,0.8433318174879969,0.9417922644506098,0.5207358266297766,0.525984350671628,0.0295722406382944,0.5924933386329263,0.12528843396671804,0.8915609878308651,0.6739319144166287,0.9675647099393468,0.9353507614544131,0.9360268937518567,0.8159865066590958,0.5739267039721127,0.0691001446684339,0.6071606248390836,0.2305818464433205,0.5812698764274553,0.07480831233003726,0.805509527453373,0.4509524062012823
4,3.637422487439091,0.5741980965808953,0.8589939643751007,0.31058665554273884,0.7741950180280267,0.01940598754398402,0.9015897726787919,0.2678340820269332,0.9744675841061019,0.8441448889480193,0.9043365520759288,0.45533714447348994,0.9756112225683616,0.6009556709595727,0.5637803212757534,0.009624489933696835,0.8085805208325969,0.027197532275312276,0.7905790516055151,0.35512417559559906,0.9613618395580268,0.3522000726863753,0.4362398975488195,0.014508806531997116,0.8806384402819697,0.46612298186794177,0.5261975081629604,0.00916783220685696,0.9524468830051089,0.8222174258220917,0.9517563870172191,0.631002949851307,0.8059363520855267,0.0445774381318068,0.42397007157106126,0.006562757138917247,0.568259087171454,0.037650468181136335,0.5233302897396195,0.10815635919307343,0.8966840871069711,0.6965552536532001,0.9656867092153736,0.9268390359825439,0.9247526942905816,0.7942168981112505,0.5604344845230158,0.06100673532779553,0.4086523473910971,0.010732376154523483,0.5679640043694292,0.21799028253146124,0.5377695654249786,0.0640178788180798,0.747854409846515,0.3136052376726809,0.5949422856639351,0.8418078736218498,0.2693639773632835,0.8843485148467214,0.22006451864073656,0.9732976941504495,0.8435222741165134,0.9772733976754684,0.5979289610047004,0.7966746021418128,0.36551466865026344,0.8641311962528895,0.4342524397910246,0.9462169130468285,0.7993577883408256,0.9412504054789265,0.5904367729410607,0.5476653559584445,0.03087125022055674,0.5211779418667316,0.10183195028805592,0.8877634464296271,0.6760351433941666,0.9636465971760589,0.9233889004476957,0.9192552133874641,0.7774942567597177,0.5665455413657987,0.05923643190114711,0.5654889064771135,0.2058075087060445,0.5666759940507984,0.07440072193088319,0.7977012246204365,0.43559422278104226
5,3.5719080423443175,0.6740394783221713,0.8415678888814174,0.3197556887893179,0.7922418447744792,0.02231837684901565,0.9376883380204627,0.52806542603816,0.9711406943997767,0.8325021024441528,0.8387657993340681,0.27848121133419124,0.9830009591822036,0.671629290243322,0.5371817154513459,0.007231363614823554,0.8088394148101274,0.030788677773799067,0.8099475922250581,0.45014296432452194,0.9295733791741304,0.3855555203269139,0.4845650303387542,0.01736621613382358,0.865215806932373,0.5231598875330822,0.6151444224858633,0.011049541717852376,0.9717551914933951,0.8729745545725861,0.8999976667138823,0.34025029716942135,0.8287099683264495,0.0872849257371811,0.4836716177566275,0.009521123526574696,0.649852903559798,0.06389986052295285,0.6067073071273791,0.12554625152258353,0.9162243275006248,0.715065172713477,0.9652321349873747,0.927368601008459,0.9366382479954787,0.8390459133134606,0.5992342498988682,0.07370394761924073,0.41670389755991466,0.010422880319744199,0.6707151816114366,0.2922620431028111,0.6296704390341624,0.07897330746802322,0.7688456161375173,0.32747558252767284,0.7082562340294299,0.8133358500266916,0.2566771245177664,0.9295093473120012,0.432474548616936,0.9706161862262871,0.834379789114162,0.9822713133553992,0.6709674194566891,0.8145924967658473,0.46085949754891264,0.8482155790050797,0.4889452575461505,0.9662996802964587,0.8517558893683362,0.8748346048713121,0.3091634170468019,0.6134439958127711,0.050518850780151045,0.5988399600634053,0.11995109604388077,0.9059448039792479,0.6981354557405445,0.9640108122936629,0.9243191697769351,0.9332356074858897,0.8273082952649448,0.6054496556672389,0.06834823788321881,0.6616735029159067,0.2652839369436503,0.6471270153293666,0.08366020145296729,0.8205875257129103,0.458921761693878
6,3.506993066296708,0.6407883914933615,0.8823971903172996,0.39753595568036665,0.7783378670778955,0.024046903155451587,0.9448426719841141,0.4167267853342347,0.9838551293018438,0.9007130223420112,0.8855883147520887,0.41080007505918914,0.980025621695176,0.6225195126962925,0.5116062714527707,0.007069925456798179,0.7966333398438882,0.027447541575654492,0.8646871710223755,0.5065064836292963,0.9622664208400824,0.605868339373393,0.5241172352492349,0.018293774081778014,0.8584956373719199,0.4487096925594857,0.5457260969618669,0.01174718722664203,0.9734111982893748,0.8834915132840372,0.945740609760725,0.5516291140017137,0.8291618812314234,0.10860083176298896,0.4716333253504733,0.008611646332241048,0.7286825807558795,0.09433068639830791,0.5303240809200456,0.1140739785848633,0.9204176177884335,0.7428346490585392,0.9734760344792477,0.944738120397231,0.9534787226980016,0.8369214448275224,0.5362117108052818,0.059725876251798336,0.4613523908900718,0.011737742573583723,0.6827017397444661,0.3023044867196317,0.6252883524438042,0.08791717057264622,0.7750176620395303,0.35172701765137304,0.6740681998413958,0.8638278790180727,0.32012844418540926,0.9383326697635928,0.3384672551392507,0.9828575613185696,0.8983283322946893,0.9758947966577414,0.6239077187214503,0.868804396916647,0.5189060120888753,0.8408874851513296,0.408245898550102,0.9673892524648189,0.857268434377344,0.9272561652933471,0.4958033420270117,0.6971498693690128,0.07835062472402698,0.5259332531809411,0.10459191123944364,0.9107367351362305,0.7208622423223175,0.9708592217522055,0.9397382721005106,0.950891929894049,0.8278653160721546,0.5509721421363701,0.05939431214832624,0.6750114429412718,0.2858438645941227,0.6418429925939844,0.09789639982308683,0.8305404870992614,0.47347489877550764
7,3.4486453314951397,0.6459581717776994,0.8613901852012543,0.3059189680620804,0.808536817080703,0.025470200121214395,0.9302939453444364,0.5380227553325927,0.9729677613374644,0.83461856586151,0.7727525699098949,0.21004096339001205,0.9724716558972771,0.6269264731314459,0.5484941218912088,0.008496544125640975,0.7482933545500824,0.01700341602658587,0.8618436505365132,0.520570477302452,0.920828404242806,0.22769972376756265,0.4927934516096045,0.01741077358824446,0.9123807613906771,0.5969817483670803,0.5463610326679625,0.008991525137076293,0.9740902517330325,0.8831935011014153,0.865599891396137,0.37081740853176165,0.7680302928277313,0.06798004443176221,0.5263029873063941,0.009849194706881576,0.6567678646661916,0.07463762197896656,0.5909168923357198,0.116184227835819,0.917112854336219,0.6932223629159637,0.9590589886982007,0.919832196169361,0.8942560058372497,0.7040675179921297,0.611764216609382,0.05995457889001078,0.4889877361372911,0.012395943480620735,0.6395208117196246,0.2589777704959845,0.6335350955713235,0.0814244911405006,0.7644366000320917,0.31502649976479524,0.6862278614855934,0.8352904291155172,0.2542782858474388,0.9195124987670834,0.45936329424519085,0.971652242705609,0.8295983331774147,0.973112827668194,0.6013312644013175,0.8630395676569427,0.5340338774341863,0.8941366788389101,0.5474598873639209,0.9678311556701455,0.8643568838374796,0.8220081147042219,0.29832379662750197,0.6344082900095883,0.06582464687814125,0.577591789371208,0.1100918725432061,0.9107391278645883,0.6590851478837235,0.9580714249473057,0.9160850680897396,0.8942785622338846,0.6936217065394471,0.6196706847012726,0.06218322759883846,0.6324693118024403,0.24224311926152492,0.6515613854385172,0.09435562910958045,0.8203358807184642,0.45201475255241574
8,3.4122590841074385,0.7175420044648102,0.8686054309744444,0.30329073626929726,0.7829663849495054,0.024004622848378204,0.9402131461071261,0.588322533391248,0.9824374819312254,0.8840349704626116,0.8820324303634997,0.3112380664491643,0.9825401401651015,0.6381488387836762,0.43983551203589655,0.005674367720407167,0.7452620247884217,0.01772431109115923,0.8716261976085553,0.527292729435405,0.9591134620992504,0.4771865397312853,0.5056222546618256,0.019751304189795864,0.8602251094396166,0.4568340359916826,0.5763319782029949,0.014335956410915455,0.9773916831448684,0.9017426493250715,0.929168975402215,0.448245920834536,0.7799501958121438,0.07559603866260123,0.5052227110651024,0.009173081374036714,0.630687793410047,0.06122117923359337,0.5902844187675325,0.13119342768099113,0.9232349884919832,0.734381361843855,0.9614916645163437,0.9245986693556271,0.9461410578208923,0.8366759507789228,0.6000346763604276,0.0874422355501679,0.4334966378917497,0.01102345684130394,0.6197599852361859,0.27278124538871684,0.5473001661524546,0.0664846322381172,0.7631144810538234,0.33955380238009875,0.7353951890034365,0.8500718531393626,0.2451785983525086,0.930575068381764,0.4897814588992504,0.9814619251778633,0.8829925610257198,0.9768025472673145,0.5919831375205796,0.8755048722796758,0.5525892299924011,0.8378160947742832,0.4033991897747804,0.970683408922382,0.8739393000165006,0.8989733236970304,0.41608252491111664,0.6002559839548202,0.05601050408552358,0.5806746471371926,0.12183940129812565,0.9087134721866441,0.711366845044122,0.9588209672328938,0.9176314837196111,0.9408249529656402,0.8262259061171888,0.6134946662822546,0.08667689324837607,0.6149299732861812,0.24646814357270466,0.571036248008663,0.07286985967364734,0.8194150002933729,0.4684396898282598
9,3.3647594723630325,0.7394548231700153,0.8667228996946454,0.3219589360855538,0.7843106535811402,0.02083002411218952,0.9396551062983165,0.4747157467615768,0.977685301560959,0.876565936704367,0.8785748331573057,0.43387844062341224,0.9846317479991643,0.6929420303602941,0.5221650515851438,0.008278582322591597,0.8198018928038632,0.03280653880783395,0.8723417981637709,0.5876581431461516,0.9663174899958098,0.5849399646395989,0.5260930286965311,0.01906059784033856,0.8863317566259236,0.4967130865027213,0.6298794498019349,0.01518353965793861,0.9784676452644876,0.9091255924999045,0.9239610336504639,0.4464193972502097,0.8512119711294299,0.08179464153413356,0.5081529249885837,0.009087078652513028,0.6409933383922675,0.0662275606343139,0.6408937702807582,0.1579039677874456,0.9392514216593746,0.7704760554074153,0.9770506778451886,0.9519902511958065,0.9541245341964634,0.8753367587169345,0.6162997750632452,0.0902809218572444,0.47031635147171524,0.011873094112615312,0.7005490485222687,0.3187198616240622,0.617374816961056,0.0880728576242418,0.7874291661303775,0.35933998486390034,0.7348665080623844,0.8430894765548012,0.25395043315465615,0.927374898058848,0.3784522479245865,0.9740690536860219,0.8638478643081433,0.9821394084538241,0.677332793438953,0.8737457228809603,0.6024828896486794,0.8667191799134292,0.4495908086664773,0.9707045030864376,0.8745888902787315,0.8857948009363908,0.4218880375761342,0.6123932300600815,0.0635365733298013,0.626729051462419,0.13659264086191714,0.9257839000346243,0.7310912573095166,0.9754982830872267,0.9475445642371931,0.9513867115555996,0.8656702483715016,0.6244120174099361,0.09200993524875069,0.6869041326727305,0.2893823558398377,0.6371053917672431,0.10266289407650955,0.8352406101012859,0.4844140271419618
