epoch,train_loss,train_accuracy,train_1st degree av block_rocauc,train_1st degree av block_prauc,train_abnormal QRS_rocauc,train_abnormal QRS_prauc,train_anterior myocardial infarction_rocauc,train_anterior myocardial infarction_prauc,train_atrial fibrillation_rocauc,train_atrial fibrillation_prauc,train_complete right bundle branch block_rocauc,train_complete right bundle branch block_prauc,train_left anterior fascicular block_rocauc,train_left anterior fascicular block_prauc,train_left atrial enlargement_rocauc,train_left atrial enlargement_prauc,train_left axis deviation_rocauc,train_left axis deviation_prauc,train_left bundle branch block_rocauc,train_left bundle branch block_prauc,train_left ventricular hypertrophy_rocauc,train_left ventricular hypertrophy_prauc,train_nonspecific intraventricular conduction disorder_rocauc,train_nonspecific intraventricular conduction disorder_prauc,train_nonspecific st t abnormality_rocauc,train_nonspecific st t abnormality_prauc,train_normal ecg_rocauc,train_normal ecg_prauc,train_premature atrial contraction_rocauc,train_premature atrial contraction_prauc,train_qwave abnormal_rocauc,train_qwave abnormal_prauc,train_s t changes_rocauc,train_s t changes_prauc,train_sinus arrhythmia_rocauc,train_sinus arrhythmia_prauc,train_sinus bradycardia_rocauc,train_sinus bradycardia_prauc,train_sinus tachycardia_rocauc,train_sinus tachycardia_prauc,train_ventricular ectopics_rocauc,train_ventricular ectopics_prauc,train_mean_rocaucs,train_mean_praucs,valid_accuracy,valid_abnormal QRS_rocauc,valid_abnormal QRS_prauc,valid_atrial fibrillation_rocauc,valid_atrial fibrillation_prauc,valid_left anterior fascicular block_rocauc,valid_left anterior fascicular block_prauc,valid_left axis deviation_rocauc,valid_left axis deviation_prauc,valid_left ventricular hypertrophy_rocauc,valid_left ventricular hypertrophy_prauc,valid_normal ecg_rocauc,valid_normal ecg_prauc,valid_ventricular ectopics_rocauc,valid_ventricular ectopics_prauc,valid_mean_rocaucs,valid_mean_praucs
0,5.065488713832768,0.31707503244027174,0.5796327015505419,0.04729444390585397,0.3677424457065574,0.11821047429368312,0.44263761755303177,0.01504395010266613,0.7911492876736053,0.23951237545575826,0.919035813992197,0.13631109224400775,0.88383063243735,0.26382201987334913,0.4171437319767194,0.01647421752905289,0.5036819715893149,0.24829458502284701,0.9571560907337338,0.4594482089907166,0.6328847474654893,0.18965435781881199,0.4257810532985402,0.032551600350487646,0.42594318858592917,0.0157014414411274,0.905325074642022,0.7582423823529232,0.591661828227983,0.033076091903013825,0.5039626691964636,0.03526201215123079,0.5732504564841464,0.05878600271197354,0.5940439387902965,0.05436335419064222,0.8048988618074547,0.2623243953147733,0.7255481679411949,0.08427022114858027,0.7957630598515747,0.13342627831277765,0.6420536669752074,0.16010347525571383,0.35233516483516486,0.377807444511451,0.12498264102662818,0.7828232563315793,0.22660696684031628,0.8669222258692503,0.26843478558481737,0.4858532429469744,0.24418057888720193,0.6585671147922607,0.19179224687948418,0.8981719622486012,0.7361285659029813,0.8081554257171093,0.13908581521478183,0.6969000960596039,0.2758873714766016
1,4.642152232929419,0.283108159682467,0.5165122221538083,0.06456397689244874,0.5590977325520313,0.3197498903512543,0.4981957230658938,0.023673837148845488,0.7708429495317447,0.3835536066971103,0.9594404836061644,0.33456598154420913,0.9153718166424331,0.48925487897216086,0.40113705097090424,0.015781206839023686,0.7128342245122032,0.48107841193617185,0.9582790403211633,0.6237321889455057,0.5777963535423633,0.20909863936332837,0.4614445546783163,0.04292948925251497,0.4691464591331509,0.020052492499029084,0.918242451937363,0.7789807296251685,0.6162611239781678,0.06035368657332043,0.6884851048431265,0.07498265790879675,0.5586005460382306,0.061047360243168654,0.6194446545733291,0.06751413653342271,0.8384882643287724,0.3616761395710516,0.7288276207452119,0.3463353027973089,0.8537707848818012,0.46593457026722046,0.681110958101809,0.26124295919805307,0.4823717948717949,0.5650758278530319,0.32570361968021394,0.7652673333439323,0.3451142085672889,0.9032272897048171,0.4570921788061911,0.6872655106936297,0.44214368585356634,0.5907505779745394,0.21330878482977325,0.9126961361599626,0.7615895667660739,0.8534241788958771,0.48817929724653175,0.7539581220893987,0.4333044773928056
2,4.425043706393098,0.4879780169452714,0.5502390464220908,0.06995686314406814,0.592836311627926,0.369941870129871,0.5748299542756227,0.024371639395894894,0.947922644303517,0.630301664886261,0.9445310588846492,0.3296389724640441,0.8872846721916486,0.6539761105715681,0.47458576258084595,0.021385224949694557,0.5996704016711023,0.4650456747566678,0.9568328735101623,0.6609951793529764,0.675543058410695,0.2588613495027677,0.47438668745362533,0.04698097315015841,0.47761311244397014,0.02297524272071859,0.93195891019457,0.8105581014056568,0.7355892509387989,0.11194849119922695,0.6020389151866051,0.061590819028570706,0.5635884142301391,0.06518668127460132,0.6305039058757079,0.09167818982480497,0.8594032246720095,0.370208645709041,0.8449769530593618,0.5594331231763949,0.882624144981792,0.3996322754036874,0.7103479651457419,0.3012333546023337,0.4423076923076923,0.5919031828444953,0.3811285856168315,0.9397780568848472,0.5919467036244404,0.8630676159000361,0.6021801371150585,0.5633278791158893,0.42154435136097856,0.6988381053868828,0.28241850111580474,0.9169382181117836,0.7619542532998493,0.8804018375861627,0.420686148338425,0.7791792708328711,0.49455124006734114
3,4.257996400397531,0.3653919548126097,0.5792609119258811,0.12611289526915406,0.6229503355458925,0.37824363381771126,0.4902365777532982,0.017581548111080716,0.8845066440745628,0.46047393612247395,0.925230441767271,0.4323063172215777,0.8822513681117067,0.6186513056279394,0.4180045828386996,0.017395149682365156,0.7793634436643588,0.5911335411954733,0.9211870848622543,0.5679305831502267,0.6702837330660646,0.2467059894401813,0.4940979766063344,0.04493944406636158,0.4984945711205692,0.028145173986500134,0.923772315266371,0.8050652041113787,0.7471389408179194,0.11854489861181092,0.6755225041076598,0.08456182578994412,0.5229097826862542,0.06329370672066874,0.664430895333962,0.09738544951799126,0.8985752940641045,0.4498082759171065,0.8762005330943523,0.579114407180387,0.9360954258551982,0.6514435632614375,0.7205256681281357,0.3189418424400885,0.3692765567765568,0.6108422452873121,0.3758131592658031,0.8741235949697134,0.46966654077723474,0.8591755138536762,0.5739394913082102,0.7432935485054604,0.5419810330316883,0.6620549710383876,0.23162650246808167,0.9067500439683002,0.7612285320877552,0.9300578070534529,0.6345054458299421,0.7980425320966147,0.512680100681245
4,4.116562084117634,0.5536981909777879,0.6881733593628327,0.27341112695845443,0.5746997366012296,0.2850195059380217,0.5446931017097828,0.02372077893945026,0.8164584492169326,0.5444471132518041,0.9533800227478495,0.5589866760509614,0.9384964258327387,0.6818028005173294,0.5059302710801796,0.0262172336325378,0.7736811931255159,0.5522355082093551,0.9413718046171471,0.7212717598174955,0.6767129744805102,0.31922451747328023,0.4679405070572837,0.046513606515050224,0.5237909550930071,0.02966067773628114,0.9470450748750834,0.8522128817097162,0.7831858407079646,0.23016319926845993,0.6859393337766997,0.09432682578153381,0.6184142728856145,0.08788314992857069,0.6788610342039393,0.15660554209318187,0.9151351474354465,0.5324440750658946,0.8811942565508334,0.5606365447054745,0.9401263932129235,0.6838142730398427,0.7427615077286756,0.36302988983163476,0.5052655677655677,0.5669116558970059,0.2413139352097317,0.791914418353233,0.504830335813706,0.9104438071577328,0.5784835777172131,0.7401199163406367,0.49313557625360044,0.6753738254711265,0.28576307628701414,0.9232281665893352,0.7832284123989196,0.9133152634604013,0.6304227070969377,0.7887581504670672,0.5024539458253032
5,3.997497803345408,0.5618655064498893,0.6848254417831415,0.25460623375905694,0.5778587841632223,0.35555061718480263,0.5278142057392982,0.02658131378592326,0.932881656366174,0.6667868912066556,0.9902161550081837,0.7329513677140919,0.9173361214652769,0.5918966238145636,0.4712154561631149,0.023308230997543658,0.621709895734505,0.4262721308375286,0.9696080527988515,0.7324144925675948,0.7176378967817041,0.33985130083448234,0.5791983959582149,0.08651769718673255,0.6269549962453715,0.045283303600875485,0.9442785964053635,0.8440939988317566,0.7893189605119599,0.2308254590050249,0.71354097390658,0.11717815342850559,0.6702483642034881,0.11174998720941767,0.7052783535309216,0.20189237882123823,0.8826621127931848,0.5177080566280763,0.8561111458892758,0.568979683798929,0.9189799334115362,0.6443606303055562,0.7548837749429684,0.37594042757591783,0.5176282051282052,0.5698282953809533,0.336061694313753,0.9048418893782096,0.5799374132575815,0.8871849250724374,0.4896965589322814,0.5869760396648122,0.3621424713807294,0.704455491958665,0.3032229169867634,0.9201283696198008,0.7684437028344331,0.9062465111086301,0.6107971529621172,0.7828087888833583,0.49290027295252276
6,3.9131619195229823,0.48286390351881536,0.6881219281629282,0.32468466101888344,0.6276622528070004,0.4289641522990848,0.5705112372975699,0.031218836033101292,0.8967216621487352,0.7060564720410591,0.9853084704214908,0.6877793818615633,0.9079382273675675,0.6491175449794473,0.45095189274250014,0.022442128342602837,0.6994140762472856,0.5699391741292584,0.9600921481399924,0.7888544823825181,0.682166889060032,0.3574563252104459,0.5368277655964718,0.09836262827714574,0.552576554218608,0.03323709149163332,0.9562202239995916,0.8711962641101091,0.7966682475777678,0.31746018440110113,0.706995858109694,0.11803753006509264,0.6833281599011436,0.13368795893451707,0.7245460795833732,0.28858423032089514,0.919116545786288,0.6167258486571136,0.8447337987750031,0.6308370860028624,0.8947120042935512,0.6607679764054042,0.7542307011118297,0.4167704978481919,0.4803113553113553,0.5952385025053186,0.38735560255495016,0.8652728978203151,0.6240964171311978,0.8725516966226006,0.5383348755215495,0.6490355838955726,0.48737335472262533,0.6571547645454068,0.2676656131656595,0.9204371021696034,0.7634291067428859,0.8628984572380799,0.5853836387371836,0.7746555721138424,0.5219483726537216
7,3.7746731396367847,0.6147622318906953,0.7687066501990242,0.3666510927396727,0.6203827886138207,0.3978989800353281,0.6594976438394489,0.0443695803783414,0.8768014548864842,0.6800561195112155,0.985602780180621,0.7032016304779368,0.9341571348132337,0.6037777123129681,0.520396581192291,0.04020226386545153,0.6749517109174683,0.5378009526197288,0.9684551423616773,0.8036500983231614,0.7518720025996812,0.42918018075801717,0.6828879421744604,0.19812495414560571,0.6252194174942524,0.04889001076896905,0.9553601031906361,0.8664335836716826,0.7966292564968002,0.286858967247092,0.7606239241843361,0.14124796361884573,0.664041889675024,0.13149012434958446,0.7430974342422668,0.2717001429680289,0.9066771066491793,0.5767775169974125,0.8295564246435879,0.6128785404994459,0.9036669880426521,0.664828050763816,0.7814292188198473,0.4203009233026152,0.5096153846153846,0.5795207912001183,0.35929080380249445,0.8426254789424313,0.5900145007665101,0.8886739971930461,0.4762111250714903,0.6201410834437937,0.4361618106275541,0.7029931191873827,0.2679701435278863,0.9178450722543611,0.747695772341584,0.8770959191859047,0.5883758478232874,0.7755564944867198,0.49510285770868656
8,3.6822757262163024,0.4954583619571025,0.6338605634976113,0.26717417999328247,0.6497376989467782,0.39963766270158063,0.49482431522717935,0.0356958737450137,0.8750288027310126,0.6606419447529319,0.9709183120187834,0.5530502322616648,0.8940879659844712,0.6177163869746518,0.4606342688916608,0.02322745391681661,0.6682342657059126,0.4647321481503305,0.9604579245918231,0.809374089099357,0.7331215934236636,0.41249888544664604,0.5713636022576638,0.12587243215649252,0.5626118381870936,0.036356836085622804,0.966403682034558,0.9065532262667341,0.7976345174570159,0.24756036769607767,0.711475774587278,0.1986064597965555,0.6391743958510827,0.14068424482838815,0.752099355660788,0.34768172791872093,0.9208780342492108,0.5113523072430909,0.8025541084178168,0.5326553259873031,0.8944382543881029,0.6281462349077896,0.7479769637054754,0.3959609009964525,0.4413919413919414,0.6076035900283708,0.3340496548000041,0.8266848439561838,0.5476447132361489,0.8373982762133284,0.4663104142901343,0.6222953464479171,0.39668107354571847,0.692484958941512,0.27885163539144864,0.9214705799259704,0.778262242286013,0.8710143938736101,0.5367853633764269,0.7684217127695561,0.47694072813227056
9,3.5725781663702914,0.5246927715441569,0.8303060156394311,0.35589999314985976,0.6102999238619874,0.3387171503774665,0.5335350349562719,0.030897324179647623,0.9157153204111196,0.6949850927061978,0.988346644944404,0.7121591833560355,0.925664748273258,0.7223217031927117,0.5132613071380349,0.03076702982937221,0.7011427524209413,0.5486120394832839,0.9663735514511427,0.8283237134585011,0.7137276024487472,0.40114891350109516,0.595870926325794,0.13962063702621555,0.5428700557811059,0.038075852399385754,0.9739224039267489,0.9314112679422436,0.8450547612008971,0.33031593247767216,0.7047101165792974,0.17714310937325933,0.6353503854919424,0.1663272310873435,0.7780793547530314,0.42028811969579083,0.9152793350406911,0.5706653722226731,0.8059024219880004,0.47048699058187204,0.9456234834195205,0.7361591055365482,0.7720518073026184,0.43221628807885876,0.429029304029304,0.5732230855277081,0.2533079134727219,0.8834297842573015,0.5896518911779353,0.8714308249954729,0.5891105013453157,0.6346754071743408,0.4276009648254841,0.6434763196227786,0.2166487357179145,0.914858536607714,0.7609191952286244,0.892033542976939,0.5908984238457301,0.7733039287374651,0.4897339465162466
10,3.4354021256592935,0.4650026715517899,0.859722126643897,0.3814059693759632,0.6281229828893016,0.37596405733604527,0.520724049448772,0.029156161113842335,0.8623178089670791,0.5862187302372914,0.9900091041836372,0.7311278213004118,0.9422995661221797,0.687788625436096,0.48132637541630796,0.023227156443552888,0.6391077993963662,0.48382425603512075,0.9780517189905205,0.8528527554316568,0.7386483859717201,0.347427900136729,0.6175297423028505,0.13336792684041923,0.5760808015143896,0.041684481746368234,0.9736082984227026,0.9308940022032086,0.8046741798935048,0.27750353573395553,0.7675551111024176,0.2241785299217299,0.6509851113663483,0.1292650769063192,0.768509412933517,0.37068769414589503,0.929379724367912,0.5370694419803138,0.8683237180860002,0.4901713449378669,0.8765427548125353,0.5928598115267126,0.7736759386415979,0.4113337639394749,0.41552197802197804,0.5707778341763954,0.29646793483465317,0.8419323041701776,0.5126045947255936,0.8970219972383195,0.5751009873197291,0.5759114696803607,0.36303863952693244,0.6602018508905725,0.17508577442636203,0.9091997973004101,0.7462855136453067,0.8427962404740343,0.5307147767196401,0.7568344991328957,0.4570426030283167
11,3.308531655208654,0.5340050377833753,0.7540965675106938,0.31420353536290657,0.6978757930006003,0.4376059155379727,0.5727834313974057,0.043110668982240044,0.8940348443331636,0.6849066828081305,0.9658126555718362,0.6183925050163943,0.8339150678440501,0.5273981825827146,0.6018903582193689,0.058139645578393837,0.6521189135888965,0.47959294550399534,0.8977140824463299,0.5992750651619959,0.7970092655305362,0.5006700331402455,0.6448455567875812,0.1490555069603193,0.6182150931979213,0.08067557970220814,0.9850652280129616,0.9589998140423388,0.8040637922441778,0.358442886673811,0.7785629058759096,0.2917278024248873,0.7681783117665879,0.2510165428402796,0.760154688479726,0.4217009132903845,0.9125016032337744,0.6266965648797584,0.796621045036259,0.49769095251105055,0.8872236236563141,0.6559238333926763,0.7811341413867048,0.4277612788196351,0.48305860805860806,0.6321656963098862,0.32083321943200827,0.8778569611599548,0.5894824033463624,0.7606442129210431,0.388111976674884,0.5888584040050086,0.3544369194290217,0.6740235031545634,0.22692243743021145,0.9091273864097102,0.7437257210254221,0.8570360859910933,0.5531918444399793,0.7571017499930371,0.4538149316825556
12,3.165219510951012,0.7045263720326692,0.8122607272081913,0.47876822855174506,0.6101162451284915,0.4050600008787666,0.6448179039059518,0.0876992725137185,0.8972202062348922,0.6879247033612207,0.9787153769913826,0.6947948507880264,0.9440139151328008,0.7353802187033165,0.6158704005340789,0.08478083570105621,0.7869505789013604,0.6762269536269939,0.9432797708153797,0.6742204069595221,0.8038660735647891,0.5590517619271843,0.6984149666102528,0.24531029785950417,0.7181529476219095,0.1414252111518569,0.9905244932097332,0.9725797165014255,0.8253415795924937,0.3751428251903981,0.7830321864486347,0.3997497212658523,0.8102144760305131,0.33453781341112915,0.787281907230619,0.5038284462305385,0.9190358669253906,0.7024155008938123,0.8057210447067816,0.523330524406265,0.9345994666679474,0.6949353684965021,0.8154715066730798,0.4988581329209417,0.5331959706959707,0.5321279852592754,0.27302409673016936,0.8739057854655878,0.5610428987838624,0.8888062805595799,0.5987742372694177,0.7126250418526145,0.5095867913482629,0.7050226044641817,0.27921015299065416,0.9083301030525327,0.7309337247912131,0.8904787896079622,0.563535468011146,0.7873280843231049,0.5023010528463894
13,3.0415080550262723,0.5830089306159835,0.8981799874681724,0.4978138082494323,0.7606764763761507,0.5803028113177383,0.6542603958116587,0.07929769853753826,0.9450298961340496,0.7686556869355142,0.9855427581389131,0.7620495944928614,0.8972870072208128,0.6965734943229535,0.5339465117971705,0.06865260958027208,0.6149250323143567,0.5011303315761012,0.9277033050099199,0.7056054345393218,0.7616473218164915,0.45605596435177936,0.7307579180804854,0.2839032640047088,0.6070292302261908,0.15185268456330137,0.9862590564404946,0.9670596971211984,0.8554464159752839,0.40600296634893407,0.7934443705500351,0.4059376309878669,0.7344765796423032,0.32050776019410543,0.8470186073329937,0.53486705223011,0.9460550105709995,0.6951895540321903,0.8784981433951323,0.5168913131084333,0.927994469771647,0.7405409528611286,0.8143089247036629,0.5069445154677743,0.451007326007326,0.6417657045840408,0.3771070351562595,0.8978417780886818,0.6269841600251073,0.8323375531963058,0.5763271651829457,0.5283763593499888,0.3664341457770121,0.6359732268015541,0.1791749999370626,0.8837974459953468,0.705362512545855,0.8654145940067566,0.6132170392056193,0.7550723802889535,0.4920867225471231
