epoch,train_loss,train_accuracy,train_1st degree av block_rocauc,train_1st degree av block_prauc,train_anterior myocardial infarction_rocauc,train_anterior myocardial infarction_prauc,train_atrial fibrillation_rocauc,train_atrial fibrillation_prauc,train_bundle branch block_rocauc,train_bundle branch block_prauc,train_early repolarization_rocauc,train_early repolarization_prauc,train_incomplete right bundle branch block_rocauc,train_incomplete right bundle branch block_prauc,train_inferior ischaemia_rocauc,train_inferior ischaemia_prauc,train_left atrial enlargement_rocauc,train_left atrial enlargement_prauc,train_left bundle branch block_rocauc,train_left bundle branch block_prauc,train_low qrs voltages_rocauc,train_low qrs voltages_prauc,train_nonspecific intraventricular conduction disorder_rocauc,train_nonspecific intraventricular conduction disorder_prauc,train_nonspecific st t abnormality_rocauc,train_nonspecific st t abnormality_prauc,train_normal ecg_rocauc,train_normal ecg_prauc,train_pacing rhythm_rocauc,train_pacing rhythm_prauc,train_premature atrial contraction_rocauc,train_premature atrial contraction_prauc,train_premature ventricular contractions_rocauc,train_premature ventricular contractions_prauc,train_prolonged pr interval_rocauc,train_prolonged pr interval_prauc,train_prolonged qt interval_rocauc,train_prolonged qt interval_prauc,train_qwave abnormal_rocauc,train_qwave abnormal_prauc,train_right bundle branch block_rocauc,train_right bundle branch block_prauc,train_s t changes_rocauc,train_s t changes_prauc,train_sinus arrhythmia_rocauc,train_sinus arrhythmia_prauc,train_st depression_rocauc,train_st depression_prauc,train_st interval abnormal_rocauc,train_st interval abnormal_prauc,train_t wave abnormal_rocauc,train_t wave abnormal_prauc,train_t wave inversion_rocauc,train_t wave inversion_prauc,train_mean_rocaucs,train_mean_praucs,valid_accuracy,valid_1st degree av block_rocauc,valid_1st degree av block_prauc,valid_atrial fibrillation_rocauc,valid_atrial fibrillation_prauc,valid_incomplete right bundle branch block_rocauc,valid_incomplete right bundle branch block_prauc,valid_left atrial enlargement_rocauc,valid_left atrial enlargement_prauc,valid_low qrs voltages_rocauc,valid_low qrs voltages_prauc,valid_nonspecific intraventricular conduction disorder_rocauc,valid_nonspecific intraventricular conduction disorder_prauc,valid_nonspecific st t abnormality_rocauc,valid_nonspecific st t abnormality_prauc,valid_normal ecg_rocauc,valid_normal ecg_prauc,valid_pacing rhythm_rocauc,valid_pacing rhythm_prauc,valid_premature atrial contraction_rocauc,valid_premature atrial contraction_prauc,valid_premature ventricular contractions_rocauc,valid_premature ventricular contractions_prauc,valid_prolonged qt interval_rocauc,valid_prolonged qt interval_prauc,valid_qwave abnormal_rocauc,valid_qwave abnormal_prauc,valid_s t changes_rocauc,valid_s t changes_prauc,valid_sinus arrhythmia_rocauc,valid_sinus arrhythmia_prauc,valid_st depression_rocauc,valid_st depression_prauc,valid_st interval abnormal_rocauc,valid_st interval abnormal_prauc,valid_t wave abnormal_rocauc,valid_t wave abnormal_prauc,valid_t wave inversion_rocauc,valid_t wave inversion_prauc,valid_mean_rocaucs,valid_mean_praucs
0,5.1094754855501465,0.2182802911728901,0.8185386382630527,0.15108546821918617,0.743038907009201,0.012922864308998791,0.8856453960892179,0.1780467987705954,0.8714942643967544,0.3413483755191102,0.6089074057323864,0.007965371658256707,0.8035228570133329,0.10181416284452742,0.6899744561067659,0.022167842095613066,0.7480070192660224,0.058998259293720504,0.9660857241036702,0.5359779116474579,0.6209097927358448,0.03247520317907781,0.7199790087486334,0.047299878235139134,0.7161946563402823,0.0786929944347039,0.9299100502361206,0.7448886065446709,0.9513721508216765,0.7107298053693751,0.751104151920409,0.09324728120986062,0.933952913760135,0.24009238762815954,0.6737764655149766,0.01026421769042829,0.5984366946078985,0.04505402984102441,0.643189886890543,0.042383003492652636,0.8502069926543474,0.13928441345661807,0.8541494747790538,0.3889067870370059,0.8485499679604285,0.43444843287769785,0.7799874502323613,0.11236597921319026,0.5978083169823192,0.035325977237829,0.8159097897659856,0.4424778228140733,0.7850577223313204,0.1838521224070956,0.7771426982408746,0.19969676911638723,0.22061563687858687,0.8205024649750716,0.1618280061689485,0.8818286550248832,0.18625474739986783,0.8008895180288831,0.10493081445528349,0.7063048670990157,0.051057369943307854,0.5964740716240016,0.029850319672443053,0.7038647978218631,0.04460153119811604,0.6931596070262068,0.07294462654396444,0.9302684137397956,0.734056197207885,0.9584311650106714,0.6841749055126397,0.7467987457037322,0.08854537214812447,0.9290678849502378,0.22528437762188303,0.6041108217814198,0.042794481804077016,0.6366245490898589,0.04533575160814124,0.8540266627437835,0.37919165527743615,0.825878520659856,0.3732999052461799,0.7690958216856554,0.1218069905030346,0.5816846492987222,0.038356505747584396,0.8201989077880897,0.45413823298010964,0.777962637248645,0.19384049725137625,0.7703775137526523,0.21222590991002122
1,4.767309441352873,0.3032719683983007,0.8938477146443895,0.364374815291886,0.7288531548008444,0.01394206827818971,0.9091485150377314,0.2812572961710304,0.9088418267222633,0.4596829867664622,0.6810948370864399,0.011554869832451665,0.862219930205528,0.2561453872689103,0.7357432462422302,0.026900181191913862,0.782508357677039,0.07682056520638729,0.9672444492763386,0.5194905397622408,0.6488810404863206,0.047814247216368955,0.7628513307108453,0.06700396965810604,0.6848024385004767,0.09453306331303969,0.9374732001924715,0.7854663673643625,0.9652157442765505,0.7676413116399192,0.8439219387055457,0.2862176499921241,0.9569871968703246,0.40113274631993545,0.7030112629482896,0.011141570938986588,0.7079339365258979,0.08174034454022566,0.6598067034350812,0.051017883110873026,0.8977997032216554,0.20311664057308587,0.8781907942731759,0.43336138224333204,0.9038743996223136,0.5732847333982597,0.7873483525121565,0.12586087821406552,0.5528962934348802,0.029412171305937866,0.7998241907215637,0.4128609403033358,0.771808275184348,0.17058948950328862,0.8050818782044116,0.2520140038232584,0.29976894983975555,0.8879714530947213,0.3414966861205944,0.8950125836033307,0.2793993794890782,0.869349579677106,0.24308155244457416,0.7678914320709325,0.06469588161549479,0.6425940271745281,0.045765417994500575,0.7501423070809378,0.06309896187748945,0.6689678515979789,0.09612119485047951,0.9360819090372047,0.7807372763304204,0.9721367929099054,0.770839425451992,0.8488972318487145,0.26131465696901135,0.9519048783754668,0.38995358521885626,0.7051826180933174,0.0822004442730683,0.6662921318525696,0.0587413990362846,0.8829605388498074,0.4205814060883811,0.8780847145488029,0.5213852447110463,0.7761622014667381,0.1335091652293059,0.5674374037967189,0.036124773816639914,0.805598902548521,0.41212767126556743,0.7666621341830104,0.17686592110274632,0.802070036411069,0.2725284233623964
2,4.605755172922923,0.3446870885195399,0.9298387872281649,0.5491021390946353,0.7654314646713125,0.018513713036267025,0.921985404846728,0.3684233796362417,0.9042695820214615,0.4633593306285403,0.8486082524657161,0.05390532595320876,0.885719135727219,0.30653077490201697,0.7498973677117728,0.027485302059590266,0.8379897158521217,0.08304139767327193,0.9711633988007166,0.6420237061452394,0.6705631726735427,0.056848188895417526,0.7273544075489261,0.09565193669153157,0.72981952844019,0.15181884489982628,0.9510053527277996,0.8217294977294476,0.9708123751060742,0.8337304917882159,0.870790974842501,0.36117953070903486,0.9703580270968067,0.5093043520862545,0.868997022419318,0.059563166880632276,0.7688630228727862,0.10741667310252832,0.6489016751999072,0.05628080115455292,0.9120002945182526,0.23366027097993125,0.8544036169453255,0.3670200390171545,0.9047464851041419,0.6306073000630158,0.6907402416109477,0.07230693316579426,0.6311194505267854,0.04980759035778416,0.8002247522323389,0.4175590309519944,0.7572440325843006,0.14871442876113675,0.8285710592990445,0.28790708255243325,0.34091078482522175,0.9321727669157094,0.543996564654629,0.906943154559095,0.3319828313812551,0.8880412654709836,0.2835698571551616,0.8265926708047255,0.07825731164735719,0.6356109336420425,0.05075479808421185,0.7184973927787237,0.09577247310613357,0.7121871687938309,0.15352785173982786,0.9477246790712969,0.8053618798235659,0.9759171331529504,0.8535916412438624,0.8717615767480997,0.3245048179214768,0.9685139648374943,0.49365743147444785,0.77209149200514,0.10911555758241848,0.6647877724427216,0.06065018725539688,0.8615112103621995,0.36605822291930734,0.8835233594203175,0.5737992712161886,0.6674867425589313,0.06475232534409484,0.6334512231580909,0.058506443385252065,0.8024022363961083,0.4177348701675774,0.751557849343848,0.15481519523928097,0.811619715392753,0.306337343754813
3,4.5045853459533856,0.3929343370351047,0.9394773107950751,0.5838990176122468,0.797487248414934,0.021063427535780718,0.9458837090458388,0.5145772859540891,0.8704684782080819,0.3815216217879035,0.8555065355556006,0.08471176833979319,0.9021866201167014,0.351575759412665,0.7885096222192632,0.04149808259320835,0.8622656795146241,0.10479983880041187,0.9773089737961566,0.5860722754201033,0.7116331175513791,0.07493356750015223,0.7844813043092475,0.15175071885353236,0.7408061636482449,0.1146625918264435,0.9500663389311297,0.7806563079158944,0.9656875182493407,0.7924695536751285,0.9173439465081332,0.4618106229958207,0.9755375905587989,0.5453241450384453,0.8922984441014277,0.05804065232307591,0.7964937101935318,0.15329832810045466,0.7005315753786787,0.0619973252896855,0.8967738597747041,0.21136818221327985,0.8817579036350063,0.3803354276104387,0.9343145068803079,0.6660134478617193,0.6783729145171575,0.07932588224705471,0.6677945816357872,0.0510416126831381,0.8312133342132918,0.4278870143489056,0.8184740792681215,0.16180186688671933,0.8493336564238678,0.30163216633946505,0.3771334873667735,0.9449930704090619,0.5496081921892394,0.9330305025973,0.4347890726294198,0.9022726024381627,0.3142682726792488,0.8455678729498798,0.09288739724004917,0.6703204017861029,0.07147627935382546,0.7516040231949604,0.1577899390279685,0.7275825452064697,0.11964184985780853,0.9446457623670869,0.7525608901560489,0.9673621101330014,0.8154018008754489,0.9156011566051998,0.4408109212408301,0.9661317749553043,0.50791229198356,0.8061257052411224,0.1571703502879121,0.6997790927794011,0.06735769937333408,0.8802445049490225,0.3543114620962811,0.906852350205875,0.6065339760142426,0.6506238602297445,0.07731762003841652,0.6643308929028727,0.06582933681208132,0.8307356671995325,0.421874430615835,0.8156084018228995,0.16573357199882885,0.8328111735775263,0.3249092291826516
4,4.404358399610028,0.39365481602941543,0.9389572791836993,0.5201998507463844,0.7949619364027246,0.0215303874551374,0.945809144805114,0.5389866635926424,0.86646299269826,0.35639560111133595,0.8982583542693857,0.1294138328489588,0.8944414923201699,0.3460547857915713,0.7221431654486521,0.03296456120466966,0.8068567611110453,0.07343576553407245,0.9742386232239971,0.7153112882478605,0.7310108781935766,0.08563980327705986,0.8034050025196198,0.2058003021150273,0.7378978088242157,0.12954880669298124,0.9616601167094657,0.8452853667225845,0.9814146717856067,0.8292073599455817,0.9130887220335396,0.4258821177518527,0.9701850488870958,0.5078515853328576,0.8655280373362687,0.036773649828551885,0.7723474666005498,0.12262999086323684,0.6861381212876821,0.06146408249761508,0.8998048022013296,0.19792724879744505,0.8512810560655919,0.3972189904244029,0.9516877945746324,0.7186457549814798,0.6642087106066112,0.07879556404384257,0.6909334471268296,0.07096709902637541,0.8079921672733624,0.41405172059919826,0.7862557966381991,0.16563612854661353,0.8429603614664317,0.3087545503068977,0.382872475218007,0.9474383564143617,0.5041393888661792,0.9293545824648569,0.4901483921955287,0.8754596909976903,0.3050277348659755,0.779764257516091,0.0657741014208955,0.7036522844186026,0.08132942629405632,0.7792149996281301,0.20080648471005866,0.7328800673274884,0.13972630395144553,0.9575550753674082,0.8291228533908287,0.9797685333571856,0.8421411081307836,0.909331279681684,0.388833076847049,0.9612061560590973,0.46892240016596937,0.7734208130164322,0.13337449715664412,0.6836364689432837,0.06814919974499348,0.8490506703065879,0.3621554404137654,0.9247197683129255,0.6516380706458628,0.6407914082195352,0.07191476311264565,0.6844223476543452,0.07556600821187726,0.8056872210359686,0.41479979653377763,0.7810809893417212,0.15875472125005988,0.8262334194770208,0.3290696719951788
5,4.3366409417238385,0.37084792924399396,0.9568899511492344,0.6108617013983079,0.8041097601759735,0.02492315114376825,0.958857197199687,0.6604272250061707,0.869833882457582,0.3206205385378229,0.9313483309920643,0.21210516906410254,0.9256063135215981,0.4182846735519665,0.7961390511514692,0.03281767005061189,0.8431438138077761,0.08430342036256094,0.9814099902004856,0.7565920074751752,0.7692995847716796,0.08923042364823511,0.7907646306761901,0.17481075814234176,0.7698821787573455,0.16141602536320102,0.9587702829203083,0.8335842615546949,0.9859979081693173,0.8945307996077898,0.9217514544017392,0.5351763320480076,0.9657540571505479,0.6322376703475501,0.9078947537040348,0.07044116291192118,0.8421386623628531,0.18718788368261363,0.7681981920333971,0.11101855453877343,0.908965555843168,0.20629029470233298,0.8832187507525415,0.4490291943044684,0.9574308492103591,0.7597477780116617,0.7397257191905728,0.09436445870889724,0.8063536735498378,0.15552510257423194,0.8493784306654794,0.5110313265528768,0.8611640080795264,0.30580758978885825,0.8751548839574911,0.3573986605030362,0.3537303421033018,0.9577699939268035,0.5947157697429317,0.9456205379843294,0.5976772087462866,0.9147765435734949,0.3412515501406936,0.8223333796913047,0.07555464463955923,0.7595386481209071,0.09234413732734058,0.7680341109222325,0.19388428862466817,0.7512028325191499,0.16250727990334818,0.9557907820933296,0.8250763254513223,0.9846937837441642,0.8911990768172299,0.9128347880032515,0.48574672699090976,0.9474873629285394,0.5328290076768908,0.8390088756137618,0.19830868092491463,0.7562841904500862,0.1116878233553117,0.8807922616305849,0.4277652628037613,0.9320262370185822,0.6718317452520507,0.7377508669381179,0.0975615591367438,0.7980499943286595,0.1552182789825095,0.8493062114204779,0.5106925714658017,0.8510672597211261,0.2950358261415021,0.8612825610857319,0.3821519875854619
6,4.270677286243886,0.4159399766465429,0.9422419773894738,0.5988095207968699,0.7922182892176891,0.027189450905248623,0.954509229349572,0.6313671665868519,0.8722346406703733,0.3257434829892871,0.940726359489708,0.27302630274946266,0.9171220647064582,0.4259184066641034,0.6661036203370816,0.024020315089485073,0.8352659804435614,0.1334103082902146,0.9684366766868948,0.699090897237382,0.7738955357218009,0.10541208712492957,0.7973463910840615,0.24979699272382744,0.7594120956330332,0.19192084332035714,0.967666528564784,0.8668903246271957,0.9816191784603032,0.8666955171922024,0.9089368057142907,0.5088987479696792,0.9784108890598249,0.6420447407904857,0.9030295671348225,0.08392637264002797,0.8145772999318635,0.1750796784484835,0.7010119559380096,0.0755998927670936,0.9159621388664154,0.2745379049861823,0.8747532504486919,0.44954533981187095,0.9539177304714898,0.7451584180903446,0.688209309332878,0.08337316956503851,0.7209050663495881,0.10202051214544021,0.804875773201934,0.4428218893802747,0.7747550044300123,0.16621759810151,0.8541593599474854,0.35263522619207105,0.39084743236192887,0.9481095454835041,0.5631210552839675,0.9372945985378506,0.5605567113252802,0.9016040691114032,0.368503675512894,0.8161099745275147,0.11038231696106247,0.7347866454284064,0.08763517119172957,0.7690104517320145,0.2405383789260842,0.7394553769270024,0.18010170819615348,0.9622882356841083,0.8485101930986978,0.9805874621406936,0.8518968432872573,0.8956175394686176,0.47352369944676337,0.9724481268598916,0.5469611368805368,0.8212870065439569,0.18169463826046484,0.6956472793660582,0.07969981633434983,0.8687880381001991,0.4134659534807895,0.9260122838103269,0.6678213264248962,0.66739134725426,0.07727007604022583,0.7218199663149655,0.1020572658113135,0.7981321643273404,0.4294334860053185,0.7701762441917958,0.17707076018289095,0.8382403345163109,0.3663286427710883
7,4.227377415965031,0.3973317433107252,0.950946793928098,0.6004190700079981,0.7853838142145803,0.023305853050020357,0.9443186751287762,0.6205815172133238,0.8722167552153985,0.2628017303103421,0.9283151723463208,0.1929963709655196,0.9365496284180568,0.45367040429163713,0.7205441151591523,0.03543809313429636,0.8693189643050973,0.15336114026344294,0.9752939437174696,0.6868321188079721,0.7362233194564602,0.10708166214655704,0.8461407264875942,0.2796614782647737,0.7665207228857945,0.2089181246883451,0.9664180720106021,0.8561667976753858,0.98805603460075,0.8873231865347917,0.9279555160645203,0.5740901931983888,0.9807878201403109,0.6604242862447642,0.8780062276951099,0.07311127659883775,0.7699482428528951,0.16876485131716362,0.6741417730075575,0.0723570177821693,0.9388705295643002,0.38194061102136384,0.8837928869055628,0.47634140716954665,0.9613181515172884,0.7433684953223091,0.680306746047045,0.09075646343081308,0.6983003065104157,0.09099688217953442,0.8190260642236696,0.4842107570176986,0.805562871278749,0.24834028311110318,0.8578563028339067,0.3628176950672346,0.37907132742043675,0.9535582945234622,0.575950214407511,0.9331253754266151,0.5471618724750802,0.9295357439890388,0.38758311524051897,0.8435200400630467,0.11403536759406703,0.7108413774694555,0.082370232405364,0.8087468178386726,0.26236389203027116,0.7484600393623515,0.19190904323199565,0.9613845844808915,0.8340691130446125,0.9872872238662085,0.891015657873802,0.9108721423579914,0.5201155384720931,0.9727316602316602,0.574652241408543,0.7687295235420762,0.1657297460747334,0.6682965508127395,0.07866326379017186,0.881466949307185,0.4378874895134508,0.9395395842776526,0.662919142428744,0.6616853295805958,0.08164424520660639,0.7090970641165514,0.10243430235685026,0.8090921688647715,0.4629302097180988,0.8014968911100506,0.25181521424107,0.8420772295379482,0.3802763106059781
8,4.1880284943511565,0.42093364140021367,0.948721872344592,0.6068492593710424,0.793949137317811,0.025379893235147638,0.9661413240560858,0.7253767933174956,0.8567409370962373,0.25849856319691283,0.9545220949958374,0.3166204539934949,0.948566172366936,0.5175469964247575,0.6320407004082776,0.022755753559719524,0.892985727558126,0.21120748927525532,0.9681367811629431,0.6941137483336343,0.7785118481254172,0.12158682572127118,0.8143325211768049,0.27269300309168343,0.7784068235543758,0.21392500974971637,0.9704508771025776,0.8755348594978385,0.9911307063407334,0.8981738646374687,0.9450959688184415,0.6135112496061366,0.9843104909950168,0.7469175899270076,0.9191693423457423,0.07554692265202866,0.8521423255133304,0.2556791312228547,0.6799075534147258,0.09559655414372877,0.9341254220457155,0.3530599797939914,0.8594956457055194,0.41625306573662735,0.9711832024646072,0.8160479092619413,0.6578596457731318,0.08707429388271096,0.7215729889983683,0.11890080397819763,0.8021892908638354,0.4782700507331924,0.7619843893365277,0.1879134505779673,0.8609105303800662,0.38480898134314706,0.3982261310278006,0.9489935525510786,0.5379111282707751,0.9529857783663506,0.6639126159021167,0.9328367827187759,0.4249471968716662,0.8768689582143886,0.15716923647413442,0.7545096486112441,0.09074332145641342,0.7831670288955075,0.2482921286416054,0.7627898032829933,0.19396498162809744,0.9633430019653443,0.8490696466540661,0.9859996968770887,0.8726174757848608,0.9333044538570144,0.5372060208868722,0.9799863292510351,0.6231937302214959,0.8563260022295406,0.25968866937733254,0.6766535819110595,0.10913384301697264,0.8568669346767599,0.37027636058323493,0.9495902050718,0.7249877304249437,0.6433622255270317,0.07719341377904732,0.7368312836601857,0.1304619676609438,0.7982097434631309,0.4603596924990109,0.7574354426470933,0.20092241913635436,0.850003181777759,0.39642376732999707
9,4.145795183547111,0.3309234553178803,0.9580326289544817,0.6016353712371388,0.7748263938501986,0.028186378423716282,0.9597412040844692,0.6017810245327526,0.8498746235432152,0.21305255178135593,0.9352083790972978,0.25137255781102197,0.9249932999821334,0.44733993472945077,0.6746344508706216,0.03891394247292383,0.8784630810129611,0.15628602075726966,0.9614703188174825,0.5636074103913145,0.6908314176409938,0.08221665117964208,0.8124766663113714,0.24302123005997672,0.7555281187508599,0.16902382567313953,0.9678921275381211,0.8707664162341511,0.9857991899573877,0.9053559900040519,0.9226196559756631,0.5842004747280582,0.9635171613430905,0.6138323637026408,0.8918299466316558,0.0609490659509838,0.7734910476517154,0.15317898513075018,0.6429126789073415,0.07903835942760848,0.9260279357978461,0.2995196034866151,0.8728942999485791,0.4187540539705944,0.9677619910682336,0.8037769038978521,0.6992837659583843,0.0882517508888972,0.6891710864278257,0.09578572376407238,0.8151285624972695,0.48009262068887554,0.7590744937716646,0.17855818923900788,0.8482109433227254,0.3472499000063023,0.31668778415443094,0.9591198955294934,0.5643685068461142,0.9470011073856801,0.5515501427184851,0.9098583959265637,0.36357932999836334,0.8638053123795302,0.12281352351602921,0.6482804843019663,0.0686281351315893,0.7757212453412964,0.2198304507395568,0.7404026350305979,0.1611844893039012,0.9612962867675069,0.8473568861562406,0.9830027554369567,0.8867860027409011,0.9009293130250003,0.5240395299377527,0.9562830849595555,0.5345234022464421,0.7826405376426439,0.14840014127931328,0.6390144136251136,0.07250654873606942,0.8603060491984214,0.3576602136769899,0.9429416693345335,0.7061661234006413,0.6882104718041867,0.0800814872956018,0.7036668042600147,0.0896199232899454,0.8142695948622588,0.4586198417636378,0.7532196320758061,0.18084089823664284,0.8331562994151118,0.36518713563232724
