epoch,train_loss,train_accuracy,train_1st degree av block_rocauc,train_1st degree av block_prauc,train_abnormal QRS_rocauc,train_abnormal QRS_prauc,train_anterior myocardial infarction_rocauc,train_anterior myocardial infarction_prauc,train_atrial fibrillation_rocauc,train_atrial fibrillation_prauc,train_complete right bundle branch block_rocauc,train_complete right bundle branch block_prauc,train_incomplete right bundle branch block_rocauc,train_incomplete right bundle branch block_prauc,train_left anterior fascicular block_rocauc,train_left anterior fascicular block_prauc,train_left atrial enlargement_rocauc,train_left atrial enlargement_prauc,train_left axis deviation_rocauc,train_left axis deviation_prauc,train_left bundle branch block_rocauc,train_left bundle branch block_prauc,train_left ventricular hypertrophy_rocauc,train_left ventricular hypertrophy_prauc,train_myocardial infarction_rocauc,train_myocardial infarction_prauc,train_myocardial ischemia_rocauc,train_myocardial ischemia_prauc,train_nonspecific intraventricular conduction disorder_rocauc,train_nonspecific intraventricular conduction disorder_prauc,train_nonspecific st t abnormality_rocauc,train_nonspecific st t abnormality_prauc,train_premature atrial contraction_rocauc,train_premature atrial contraction_prauc,train_prolonged pr interval_rocauc,train_prolonged pr interval_prauc,train_qwave abnormal_rocauc,train_qwave abnormal_prauc,train_right axis deviation_rocauc,train_right axis deviation_prauc,train_s t changes_rocauc,train_s t changes_prauc,train_sinus arrhythmia_rocauc,train_sinus arrhythmia_prauc,train_sinus bradycardia_rocauc,train_sinus bradycardia_prauc,train_sinus rhythm_rocauc,train_sinus rhythm_prauc,train_sinus tachycardia_rocauc,train_sinus tachycardia_prauc,train_st depression_rocauc,train_st depression_prauc,train_t wave abnormal_rocauc,train_t wave abnormal_prauc,train_ventricular ectopics_rocauc,train_ventricular ectopics_prauc,train_mean_rocaucs,train_mean_praucs,valid_accuracy,valid_abnormal QRS_rocauc,valid_abnormal QRS_prauc,valid_atrial fibrillation_rocauc,valid_atrial fibrillation_prauc,valid_incomplete right bundle branch block_rocauc,valid_incomplete right bundle branch block_prauc,valid_left anterior fascicular block_rocauc,valid_left anterior fascicular block_prauc,valid_left axis deviation_rocauc,valid_left axis deviation_prauc,valid_left ventricular hypertrophy_rocauc,valid_left ventricular hypertrophy_prauc,valid_myocardial infarction_rocauc,valid_myocardial infarction_prauc,valid_myocardial ischemia_rocauc,valid_myocardial ischemia_prauc,valid_sinus rhythm_rocauc,valid_sinus rhythm_prauc,valid_t wave abnormal_rocauc,valid_t wave abnormal_prauc,valid_ventricular ectopics_rocauc,valid_ventricular ectopics_prauc,valid_mean_rocaucs,valid_mean_praucs
0,5.61876676108271,0.2869246622395237,0.5737615350482127,0.07306291037075482,0.3853962657002275,0.11720995434106773,0.6154031812998358,0.020029274969247106,0.6861950365535683,0.14472474371524052,0.6521365304419922,0.10643580557478474,0.5662039299838008,0.054279880816845386,0.8833638180140118,0.27121689771908836,0.7323407108050076,0.05803760251265318,0.7977324761110446,0.4859322428477859,0.9409172278295539,0.33957054310099144,0.7319256228790523,0.22302593383088964,0.6916698784379561,0.37453792669722497,0.7347472107327694,0.20186850509815177,0.5579759666930295,0.04923983284853392,0.40451454593111547,0.013470458606744043,0.4949480976739076,0.019183296759219697,0.587851219418986,0.022155532482688815,0.36713493876989295,0.018012335977648897,0.6952690945954125,0.029062972014197733,0.4402114728542057,0.029190614626743806,0.5135459165233588,0.03744370788000013,0.6030608668397807,0.03478543536083274,0.727925044702926,0.9243140279392892,0.4096372007595681,0.03057031822306878,0.4320761773670441,0.03923374912643951,0.49078648016716053,0.09833658513445384,0.7243338137966737,0.10741448694360911,0.6089283059233368,0.14527205835252577,0.3731684981684982,0.3985026727241729,0.12017603520755726,0.6621076114091464,0.1154804519962126,0.5497228135341974,0.05412059845361901,0.8820006770031327,0.2490380247562284,0.777317862254423,0.4400990358032184,0.7511697704505026,0.2366368895863341,0.6911139701791477,0.37782406085409004,0.7523621230320512,0.21467079655307375,0.7289048124048472,0.9257736086049511,0.45080488455842194,0.09328041144854554,0.6964995306795017,0.09671525016158614,0.6673187934754131,0.26580137849321966
1,5.246744030386917,0.5562934127165865,0.602339841186333,0.0481759702496076,0.49148759238270107,0.17123395560444826,0.6619997013688724,0.023561451698492185,0.6936204499058525,0.13328715695559168,0.7598166011544377,0.2787629660362965,0.6538223356313606,0.08794727380685802,0.9142756032281414,0.43981574851672417,0.7352407876470829,0.042312053383258365,0.6811703480420499,0.3320145732716071,0.8557817641767755,0.08045918269820725,0.7470864675888004,0.23838555483579452,0.7587991490439189,0.42291292280260745,0.8462160799652999,0.36672031672908234,0.5330709936173248,0.0413292123178961,0.5611112860055338,0.022808880267334256,0.5946889209835986,0.02263130356562512,0.5887766395484849,0.02120700417529983,0.6218145751620029,0.037109083509668885,0.5850401712764025,0.01848542158238862,0.692507208116887,0.06541431686611263,0.512473082489876,0.03530158800507571,0.6232825856906223,0.037806811545978314,0.8040506423966947,0.9534106301213379,0.47767900713781813,0.05039698403149705,0.7507788647628981,0.10342912444903153,0.6913084719482441,0.17201727612027617,0.7955053470215984,0.1268778123475134,0.6753238710177635,0.16199313242568927,0.5604395604395604,0.4776726740279407,0.16035741227858538,0.7233881929248804,0.15371337572295177,0.6392493019167125,0.08365342652105051,0.9112022447299951,0.4289359885131943,0.6607437224164459,0.2968330891945992,0.7508984730745334,0.2305237964848732,0.7583601313007677,0.42655311386025685,0.8510966738852795,0.37958876554540877,0.7933646322834815,0.9507530904341438,0.7232038989178172,0.21032744478099002,0.7777932839616439,0.11980358473183289,0.733361202676318,0.3128220989152624
2,5.024782617368204,0.2960079383253187,0.3567754209478867,0.026795842432778418,0.3411677497603763,0.11240335165680101,0.5854652277721093,0.02269276655644669,0.5289834315959938,0.10774007388054672,0.8019773212540328,0.2125567312349769,0.7431056735392212,0.12364339969556987,0.9567891823988495,0.6006672760667014,0.44131257648632494,0.01921179330889275,0.5550770593936537,0.3414210479874003,0.7525478305262296,0.049441498127535816,0.6803076715030367,0.27331028244533123,0.5414173538924024,0.2993884360733308,0.7590963924732496,0.35214448657097025,0.42485699084085093,0.031080619927284957,0.3142852205620179,0.011627026793441337,0.4734965206416918,0.018733059188575023,0.36870873544149285,0.012602481945953396,0.46452450272041534,0.024113097680781494,0.46733227924711007,0.01425365699182152,0.6942938130981782,0.0939422279283443,0.5469225364069306,0.04354815888968443,0.553763377443158,0.031181636805816516,0.8105582664498678,0.9556043451300855,0.42076199827466154,0.0425499456387684,0.6037137245878542,0.08499215540447237,0.5631808578483416,0.11917034756421827,0.8199852529233932,0.1488460282584736,0.5766817395566418,0.1545800657105557,0.3347069597069597,0.3397009357041851,0.11076614998632238,0.5951088731129952,0.1287731524044926,0.7330316205874242,0.12585827248323678,0.9579046753039877,0.5721453014115865,0.5630344709096571,0.31368414616157314,0.6773524142274728,0.2598591647698588,0.5503413263602982,0.3111196038320313,0.7736213764462799,0.3396698617859289,0.7989338149976302,0.9528251234588787,0.5489758227087788,0.12360770318315592,0.7984361496698217,0.13394378860912665,0.6669492254571392,0.30656838800783565
3,4.782007268963584,0.4983589039004656,0.3575786894218991,0.02594127850216201,0.41364456268432676,0.1294766497772587,0.6837997736844493,0.028763586029781615,0.7105188919353634,0.1475055209696858,0.837784574006668,0.3190606224401361,0.7735300111011794,0.18199084675708838,0.9523168413281605,0.6168803986918906,0.7081724551201171,0.04457236778153516,0.6652403101552893,0.4453053608712794,0.8879244082098112,0.11678608850798945,0.8431995277196398,0.44869234987167467,0.8065781586487479,0.5839068884185674,0.9039868820730833,0.4366048048254586,0.4709212756510751,0.033930247610513976,0.6069455631984418,0.02707558264960351,0.4523241162269126,0.016999408754743185,0.44741384413527174,0.016092195750148162,0.6205268565381321,0.03736376751085968,0.5506967560370393,0.017722189644651654,0.7820951940673592,0.12264592261590193,0.5756253015349494,0.0496198297392399,0.6515796378085175,0.0595138082247626,0.8485791448123114,0.9641396988498498,0.3975731778651,0.030914999090347742,0.70625132537776,0.10797717848639342,0.7912447586590234,0.31704417101208393,0.8858625557754519,0.22032247074963474,0.6789597997694844,0.20543882348641634,0.6268315018315018,0.39976752815637195,0.12532497095255668,0.725015608034154,0.13976352061247593,0.7574957770270271,0.1479583407506126,0.9492214463972812,0.593515335661946,0.6618025013691107,0.41289632051440717,0.8392924777216979,0.42765605582275534,0.7974541003671971,0.5644309083121355,0.9031273836765826,0.47239156395876297,0.8371985848803993,0.9615393467598808,0.7930930277212758,0.3254341150711639,0.8723437907037327,0.20241169405072135,0.7759829296413482,0.3975747429515835
4,4.595882186543149,0.23005877413937867,0.2930071634874705,0.023287912987445866,0.3198421547446202,0.10576010618338721,0.46002990702910335,0.015127691874325147,0.4863239830813949,0.06990159563514661,0.8944700497134799,0.4818273846643339,0.8246263198245338,0.3716878166771864,0.938345670758397,0.5278772141761541,0.37934829698355327,0.014614714000008775,0.5716510461673393,0.33582656432904584,0.945644477251079,0.40927171016462427,0.5979991883799283,0.1922134148374173,0.5213139830723322,0.2901136744988805,0.5629452848951693,0.11314919591559837,0.3778508077288565,0.02712981057434402,0.38069113105059604,0.01305381493458178,0.47774222201976946,0.01843392622286947,0.3986871023409757,0.012898519859168043,0.4759364848864496,0.0246731086225279,0.5509880167039883,0.019978169072279752,0.6132991711751793,0.0521170361689561,0.5595114419380272,0.04207568716592382,0.5969267478089724,0.0373583208437099,0.8488659078922789,0.9650201473276967,0.41294925775730895,0.032783587396771195,0.41207241026661123,0.037956858750354816,0.6811390694119125,0.23967378064237882,0.8427776778248591,0.2691650012218055,0.5712957397849698,0.17566580610173788,0.25137362637362637,0.3284291602731895,0.10740405396297095,0.5250725545018621,0.07079360145989075,0.8148549538058467,0.35798661900306394,0.9376949702649604,0.5069835423044668,0.5692223911346055,0.31123433900479747,0.5698308806631998,0.16940884583996282,0.5120423945699343,0.2899687734977456,0.570739191807605,0.11748421724107129,0.8399753436065877,0.9622640499033884,0.6543288652884742,0.19602044346120764,0.827448219683343,0.24101925667840893,0.6499671750545098,0.3027788856688159
5,4.464390160318422,0.5916342263949317,0.4421656662760759,0.03647409217161371,0.31596440138788473,0.10678131189075715,0.6339000127357393,0.026904495117564528,0.6940566979147468,0.18378180894503604,0.8933035546842286,0.5329488449585432,0.8315859617295529,0.39032925213302705,0.908362361498839,0.30370855053005125,0.5421619502076,0.024068828224749574,0.5841507575776577,0.37833604238218344,0.9307501055288264,0.22356829687918628,0.7256771261828325,0.3131164640950301,0.7788257173137336,0.5883793318220696,0.8759514874563843,0.45574052056652736,0.4656740348807074,0.03544464203114557,0.6613816803871342,0.04177706291115056,0.6065213517648667,0.038958742442424726,0.49114144391017345,0.018899256987360454,0.5722883047055,0.03502031913620853,0.48225466017067126,0.02290784728135971,0.7722235932658201,0.11956332959545607,0.5771281433179856,0.0497521544907649,0.7313619420904789,0.09760661805115492,0.8554203554105291,0.9662771189593056,0.570871518618786,0.1009517333134705,0.59818978198486,0.08041970413526855,0.7881956095773837,0.3150132253327183,0.8749694684044228,0.30591399443219286,0.6742399144067932,0.21454235514134523,0.6243131868131868,0.3242956143254004,0.10813568988801843,0.7146442108342831,0.1952931731755699,0.8214371897407613,0.3349872923121428,0.9052403029257156,0.2789137209245546,0.5892137085949473,0.3576339484947447,0.7061514286200645,0.2821892688690713,0.7646842661622343,0.5682092951315875,0.8733241566351327,0.44035518646117844,0.8425229523408091,0.9631128951040113,0.7696530414564888,0.3166849819429143,0.8615142718916304,0.2885923214976084,0.7429710130479517,0.3758279794364911
6,4.324352719257664,0.2889092435691932,0.3486521463891612,0.027811467725025733,0.2858466077106012,0.10142738888664768,0.4829919325679203,0.01770987161617235,0.5464077501276112,0.10214446871501748,0.886356606658938,0.5337500029138726,0.800687536785805,0.3675982031099161,0.8632117343242449,0.24958733343514597,0.4102473492646245,0.016213069481777333,0.4342604763199224,0.24927807208548453,0.8540736337055758,0.11497005392189283,0.6016225604144771,0.26651233539964236,0.572760991023527,0.31527821755464736,0.6969724791611221,0.20895158613161957,0.38140644870521634,0.027626019210865646,0.4315680136654898,0.015605183534877977,0.5540235020806482,0.03608901651036997,0.40534862861728743,0.014061011861118994,0.42988114644210484,0.022395030450662635,0.45186028566241,0.018612464288503758,0.6067173218999884,0.06033138602523099,0.5638223620840078,0.051233029948630285,0.6610137789138973,0.08564454102859348,0.8699743427023301,0.969687308634759,0.4342599549211119,0.04297817598784642,0.3986074740612461,0.03852151777974176,0.7144053338731604,0.31345520170897356,0.7814605832792783,0.249995231581775,0.5729052215319151,0.16731359961217823,0.3257783882783883,0.29895638394961443,0.10381228176283876,0.5734814057592558,0.10575612926703598,0.7885173917539988,0.3471982190326965,0.8556514827696066,0.23043163675492678,0.4457835225032713,0.23707430929060033,0.5724603373875446,0.24293877857086016,0.5707284132636029,0.3226512354655401,0.6884622016477142,0.19131843162685566,0.8563200405693848,0.9666547544903625,0.6772872098315885,0.25681415512547046,0.7864002497529348,0.2708775932388781,0.6467316944716832,0.29777522951146046
7,4.196696800345201,0.47057476528509273,0.40528622729193076,0.03332341555771105,0.2887935203546983,0.1021537900899855,0.5923630212686846,0.022289492982137518,0.7620619965637843,0.23532226881662716,0.8969127358615784,0.605410247924276,0.8362546093867345,0.4190904013298377,0.9206521175212143,0.49423734765649235,0.5520679372488007,0.023891581438408735,0.6287193100549018,0.3692905714458882,0.9551456076802884,0.27941896033199626,0.673557606481608,0.2875968791835371,0.6924756830807621,0.47300556186896936,0.7255464802114756,0.21715508397397904,0.4303340139466577,0.03180386124032265,0.5856671473221648,0.02565962227495966,0.627660429634433,0.03720381134353504,0.4524689984256618,0.014594685368500546,0.506898085862145,0.02621515359061198,0.632511120861829,0.03006447628278265,0.7108505838618128,0.1014813387046837,0.5945843062300693,0.054840047862025426,0.7245970758775484,0.08896358778863779,0.851025589146239,0.9653593465348237,0.6366922956499069,0.22777123500017585,0.40825248797400854,0.03907162992876393,0.8087349244786041,0.4078354582813505,0.9030164871765001,0.38780932732302353,0.6593751999797793,0.222254043856446,0.5560897435897436,0.2978391551584078,0.10340985240224469,0.7822650936438512,0.251199669798262,0.8167218956839492,0.3685188194760054,0.9098888918387936,0.4235654928407752,0.628008093476897,0.34169529756056816,0.651245095369007,0.22865149093604983,0.6645321019250028,0.4481640051897392,0.6967194765190504,0.19505784603241258,0.8362389965197616,0.9617030531760695,0.7762492064009945,0.3351734398552004,0.8868058915228726,0.3635466146745122,0.7224103543689625,0.3655168710856218
8,4.06859907397113,0.5499580184718724,0.42412318023238815,0.04428718532284601,0.29642554138208854,0.10273757687496277,0.5238103428841618,0.019248953857281606,0.8013242731469673,0.3542013575245344,0.9407737881664895,0.7604015235291056,0.8377336861835085,0.4494882564207938,0.8976403530760676,0.454096344040241,0.4961593192361329,0.023326379663106855,0.4668288428135767,0.3153672619588148,0.9570571712086421,0.6925622884593224,0.6723885325215065,0.3363656667823287,0.6637514826251727,0.5122815668278948,0.8131000486953934,0.33753898022223533,0.40027789850535167,0.031170427016741574,0.48826853837157025,0.01792854340127782,0.6487978328032347,0.045259497761970024,0.48348256201251527,0.017769290398746022,0.4491208775563955,0.02288713237291891,0.48181739090964104,0.041899915164444704,0.7034265276080869,0.09290755128075992,0.6098581545977041,0.06398822741726817,0.7624580203996004,0.12542604811336916,0.8459844261723066,0.9641195001122185,0.6421190221510136,0.14655329712757573,0.4125887761535843,0.0386516991024079,0.7882248563242102,0.4276485056551457,0.9133763774258976,0.4504869003446753,0.6452191786356744,0.25513332876862915,0.5334249084249084,0.31212604426793433,0.10611172904045914,0.8181883883191822,0.3477567484816745,0.8287045814947601,0.3710973928170866,0.8895671826050019,0.41778141344147,0.4755255160818736,0.2870740675698622,0.636954639078738,0.283388157760744,0.6480752753977967,0.4799000101637373,0.8011868334838428,0.3107060044216211,0.8308370313673186,0.9608670051148511,0.7539289502242936,0.34746061383790317,0.8937014914881388,0.37657541527883487,0.7171632667098983,0.389883505266204
9,3.9718687438608153,0.5069841996794138,0.42740691584762175,0.044458578224258416,0.3079471388638177,0.10491422162722419,0.5936292758048768,0.02285468675599652,0.8067399211941363,0.33015011175790115,0.9264771593217099,0.6780559629055042,0.8578790362865211,0.35428167316759285,0.9499468350974656,0.6513185326086659,0.567984524069278,0.02698259807212985,0.6050077367758562,0.4039983668738057,0.9680728336755194,0.7235692298986399,0.609879327860284,0.2883824273232405,0.7134286101786865,0.527658246443058,0.7831865692138967,0.25881795720455153,0.38230356247166436,0.02871585174055992,0.5609607247199047,0.024434075521356298,0.6382430312351789,0.04210104702115422,0.4894153667698491,0.019181681359866212,0.46937023512076365,0.025735431099986848,0.45476835320462383,0.015030408928165128,0.7512209915657646,0.12052122059047712,0.5895314630181567,0.061200869915937574,0.7526443146182532,0.1137145142256055,0.8745590790371919,0.970986773714098,0.6145599502704275,0.22094290449259196,0.3994380011796024,0.03705014836189511,0.8296859859001953,0.45119885923084513,0.8836362481212872,0.362459028430067,0.6595527107934273,0.2558783484257472,0.5615842490842491,0.3174361905908074,0.10813727382687943,0.8240954959175304,0.32054107090299117,0.846977557915058,0.32370128241903146,0.9429102174374767,0.5522930634314005,0.6081781546688593,0.3800856692455853,0.5748083895787762,0.22240160310785984,0.6894711805941918,0.49203242653559104,0.7690043866955412,0.249835607545349,0.8551050720110225,0.96604707691196,0.7934818711767515,0.3746187981065154,0.8568241681449229,0.30917443957587776,0.734390244066449,0.3908062101462765
